name,period,range,return_pct,max_drawdown_pct,sharpe,cash_days_pct,variant,trade_events,avg_exposure
Rank 1 from SOXL/TQQQ top five,IS 2010-2019,2010-03-11 to 2019-12-31,304.48,-21.9,0.928,10.65,"cash=selected_or_qqq SMA150 exit=0% reentry=0%; unit=1.00, cap=1.00, add=10%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=200, trend_exp=0.5, vol_target=none",326.0,0.856
Rank 1 from SOXL/TQQQ top five,OOS 2020-date,2020-01-02 to 2026-05-22,453.55,-31.49,1.175,17.62,"cash=selected_or_qqq SMA150 exit=0% reentry=0%; unit=1.00, cap=1.00, add=10%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=200, trend_exp=0.5, vol_target=none",326.0,0.856
Rank 1 from SOXL/TQQQ top five,Full,2010-03-11 to 2026-05-22,2190.79,-31.49,1.034,13.4,"cash=selected_or_qqq SMA150 exit=0% reentry=0%; unit=1.00, cap=1.00, add=10%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=200, trend_exp=0.5, vol_target=none",326.0,0.856
Rank 2 from SOXL/TQQQ top five,IS 2010-2019,2010-03-11 to 2019-12-31,258.17,-27.36,0.854,13.2,"cash=selected SMA200 exit=3% reentry=4%; unit=1.00, cap=1.00, add=5%/15%, sell=extra_profit 15%, max_days=10, trend_sma=200, trend_exp=0.5, vol_target=none",357.0,0.844
Rank 2 from SOXL/TQQQ top five,OOS 2020-date,2020-01-02 to 2026-05-22,461.91,-28.03,1.183,18.31,"cash=selected SMA200 exit=3% reentry=4%; unit=1.00, cap=1.00, add=5%/15%, sell=extra_profit 15%, max_days=10, trend_sma=200, trend_exp=0.5, vol_target=none",357.0,0.844
Rank 2 from SOXL/TQQQ top five,Full,2010-03-11 to 2026-05-22,1959.13,-28.03,1.002,15.21,"cash=selected SMA200 exit=3% reentry=4%; unit=1.00, cap=1.00, add=5%/15%, sell=extra_profit 15%, max_days=10, trend_sma=200, trend_exp=0.5, vol_target=none",357.0,0.844
Rank 3 from SOXL/TQQQ top five,IS 2010-2019,2010-03-11 to 2019-12-31,249.26,-32.89,0.717,16.07,"cash=selected_and_qqq SMA200 exit=0% reentry=2%; unit=1.00, cap=2.00, add=5%/15%, sell=extra_profit 15%, max_days=10, trend_sma=none, trend_exp=none, vol_target=50%/20d",361.0,0.917
Rank 3 from SOXL/TQQQ top five,OOS 2020-date,2020-01-02 to 2026-05-22,599.57,-29.07,1.187,21.42,"cash=selected_and_qqq SMA200 exit=0% reentry=2%; unit=1.00, cap=2.00, add=5%/15%, sell=extra_profit 15%, max_days=10, trend_sma=none, trend_exp=none, vol_target=50%/20d",361.0,0.917
Rank 3 from SOXL/TQQQ top five,Full,2010-03-11 to 2026-05-22,2399.85,-32.89,0.934,18.18,"cash=selected_and_qqq SMA200 exit=0% reentry=2%; unit=1.00, cap=2.00, add=5%/15%, sell=extra_profit 15%, max_days=10, trend_sma=none, trend_exp=none, vol_target=50%/20d",361.0,0.917
Rank 4 from SOXL/TQQQ top five,IS 2010-2019,2010-03-11 to 2019-12-31,283.62,-22.59,0.897,12.91,"cash=selected SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=8%/20%, sell=extra_profit 10%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=none",261.0,0.843
Rank 4 from SOXL/TQQQ top five,OOS 2020-date,2020-01-02 to 2026-05-22,494.76,-28.03,1.215,17.75,"cash=selected SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=8%/20%, sell=extra_profit 10%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=none",261.0,0.843
Rank 4 from SOXL/TQQQ top five,Full,2010-03-11 to 2026-05-22,2234.37,-28.03,1.039,14.82,"cash=selected SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=8%/20%, sell=extra_profit 10%, max_days=20, trend_sma=200, trend_exp=0.5, vol_target=none",261.0,0.843
Rank 5 from SOXL/TQQQ top five,IS 2010-2019,2010-03-11 to 2019-12-31,283.62,-22.59,0.897,12.91,"cash=selected SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=15%/30%, sell=rebound_from_low 5%, max_days=5, trend_sma=200, trend_exp=0.5, vol_target=none",221.0,0.843
Rank 5 from SOXL/TQQQ top five,OOS 2020-date,2020-01-02 to 2026-05-22,494.76,-28.03,1.215,17.75,"cash=selected SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=15%/30%, sell=rebound_from_low 5%, max_days=5, trend_sma=200, trend_exp=0.5, vol_target=none",221.0,0.843
Rank 5 from SOXL/TQQQ top five,Full,2010-03-11 to 2026-05-22,2234.37,-28.03,1.039,14.82,"cash=selected SMA200 exit=5% reentry=5%; unit=1.00, cap=1.00, add=15%/30%, sell=rebound_from_low 5%, max_days=5, trend_sma=200, trend_exp=0.5, vol_target=none",221.0,0.843
Buy and hold SMH,IS 2010-2019,2010-03-11 to 2019-12-31,492.1,-27.02,0.919,,,,
Buy and hold SMH,OOS 2020-date,2020-01-02 to 2026-05-22,726.82,-45.3,1.087,,,,
Buy and hold SMH,Full,2010-03-11 to 2026-05-22,4908.77,-45.3,0.981,,,,
Buy and hold QQQ,IS 2010-2019,2010-03-11 to 2019-12-31,398.56,-22.8,1.037,,,,
Buy and hold QQQ,OOS 2020-date,2020-01-02 to 2026-05-22,244.45,-35.12,0.904,,,,
Buy and hold QQQ,Full,2010-03-11 to 2026-05-22,1645.93,-35.12,0.961,,,,
