oos_sharpe_rank,is_selection_rank,variant,is_return_pct,is_max_drawdown_pct,is_sharpe,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,trade_events
1,4,"unit=0.67, cap=2.00, anchor=rolling_high, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",1256989.43,-23.08,2.623,1133850.48,-31.73,2.573,14850429174.09,-31.73,2.533,0.675,17.72,852
2,1,"unit=0.75, cap=2.00, anchor=rolling_high, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",3515095.32,-25.35,2.657,2114720.88,-33.69,2.564,77817415151.11,-33.69,2.55,0.746,17.72,852
3,8,"unit=0.75, cap=2.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",18898653.41,-29.81,2.588,8908520.1,-42.83,2.557,1762371038784.51,-42.83,2.521,0.916,37.28,690
4,7,"unit=0.60, cap=2.00, anchor=rolling_high, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",465348.65,-20.82,2.588,458435.92,-29.99,2.547,2214114445.72,-29.99,2.503,0.61,17.72,852
5,6,"unit=0.75, cap=2.00, anchor=rolling_high, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.25, dd_guard=none, dd_exp=none",2862657.33,-25.35,2.59,1797291.6,-36.42,2.511,53861816167.1,-36.42,2.491,0.759,17.72,852
6,5,"unit=0.60, cap=1.50, anchor=rolling_high, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",412995.32,-20.49,2.59,273417.77,-29.99,2.489,1172170347.33,-29.99,2.483,0.606,17.72,852
7,3,"unit=0.67, cap=1.50, anchor=rolling_high, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",1031973.5,-22.53,2.624,482382.29,-31.73,2.48,5187650820.06,-31.73,2.499,0.668,17.72,852
8,2,"unit=0.75, cap=1.50, anchor=rolling_high, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",2885883.95,-24.81,2.652,899730.85,-35.94,2.466,27183697985.29,-35.94,2.51,0.739,17.72,852
9,10,"unit=0.75, cap=1.50, anchor=rolling_high, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.25, dd_guard=none, dd_exp=none",2350230.76,-24.81,2.584,764668.51,-36.79,2.41,18815368503.61,-36.79,2.448,0.752,17.72,852
10,9,"unit=0.75, cap=2.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=0.35, dd_exp=0.25",18898653.41,-29.81,2.588,2924134.03,-40.58,2.389,578494235180.47,-40.58,2.447,0.907,36.75,690
