Year,Period,Annual return %,Annual max drawdown %,Annual Sharpe,Cash days %,Avg exposure,Max exposure
2010,2010-06-25 to 2010-12-31,67.37,-19.23,2.483,0.0,0.856,1.0
2011,2011-01-03 to 2011-12-30,-30.78,-48.99,-0.653,43.65,0.495,1.0
2012,2012-01-03 to 2012-12-31,12.84,-30.25,0.51,19.2,0.696,1.0
2013,2013-01-02 to 2013-12-31,78.48,-20.51,1.61,0.4,0.859,1.0
2014,2014-01-02 to 2014-12-31,59.65,-26.04,1.345,0.79,0.857,1.0
2015,2015-01-02 to 2015-12-31,10.34,-21.94,0.446,17.46,0.737,1.0
2016,2016-01-04 to 2016-12-30,94.97,-21.27,1.791,29.76,0.602,1.0
2017,2017-01-03 to 2017-12-29,94.89,-20.14,1.982,0.0,0.877,1.0
2018,2018-01-02 to 2018-12-31,-17.49,-37.69,-0.197,25.5,0.638,1.0
2019,2019-01-02 to 2019-12-31,59.36,-41.19,1.182,25.4,0.641,1.0
2020,2020-01-02 to 2020-12-31,99.58,-48.74,1.402,18.58,0.694,1.0
2021,2021-01-04 to 2021-12-31,137.85,-40.06,1.54,0.0,0.922,1.0
2022,2022-01-03 to 2022-12-30,-40.98,-40.98,-1.833,94.42,0.054,1.0
2023,2023-01-03 to 2023-12-29,22.84,-31.88,0.671,12.0,0.785,1.0
2024,2024-01-02 to 2024-12-31,74.99,-42.48,1.2,1.98,0.881,1.0
2025,2025-01-02 to 2025-12-31,72.34,-25.93,1.418,24.4,0.645,1.0
2026,2026-01-02 to 2026-05-20,144.95,-31.69,2.994,12.5,0.776,1.0
