Year,Period,Strategy return %,Strategy max DD %,Strategy Sharpe,Cash days %,SOXL buy-hold return %,SOXL buy-hold max DD %,SOXL buy-hold Sharpe,TQQQ buy-hold return %,TQQQ buy-hold max DD %,TQQQ buy-hold Sharpe,Avg exposure,Max exposure
2010,2010-06-25 to 2010-12-31,67.37,-19.23,2.483,0.0,46.94,-43.13,1.384,67.57,-21.42,2.251,0.856,1.0
2011,2011-01-03 to 2011-12-30,-30.78,-48.99,-0.653,43.65,-49.21,-72.61,-0.259,-12.02,-43.91,0.17,0.495,1.0
2012,2012-01-03 to 2012-12-31,12.84,-30.25,0.51,19.2,-0.07,-52.34,0.331,44.09,-31.94,1.036,0.696,1.0
2013,2013-01-02 to 2013-12-31,78.48,-20.51,1.61,0.4,127.71,-22.61,1.881,119.28,-17.31,2.41,0.859,1.0
2014,2014-01-02 to 2014-12-31,59.65,-26.04,1.345,0.79,104.53,-43.29,1.571,60.85,-23.38,1.36,0.857,1.0
2015,2015-01-02 to 2015-12-31,10.34,-21.94,0.446,17.46,-20.58,-58.87,0.0,18.2,-37.24,0.582,0.737,1.0
2016,2016-01-04 to 2016-12-30,94.97,-21.27,1.791,29.76,131.34,-40.37,1.584,18.63,-34.12,0.6,0.602,1.0
2017,2017-01-03 to 2017-12-29,94.89,-20.14,1.982,0.0,141.32,-28.9,1.961,112.91,-14.66,2.663,0.877,1.0
2018,2018-01-02 to 2018-12-31,-17.49,-37.69,-0.197,25.5,-43.71,-66.51,-0.272,-23.7,-58.08,-0.063,0.638,1.0
2019,2019-01-02 to 2019-12-31,59.36,-41.19,1.182,25.4,223.25,-47.16,1.893,130.54,-30.5,1.991,0.641,1.0
2020,2020-01-02 to 2020-12-31,99.58,-48.74,1.402,18.58,60.06,-80.38,1.039,100.13,-69.92,1.208,0.694,1.0
2021,2021-01-04 to 2021-12-31,137.85,-40.06,1.54,0.0,121.9,-40.92,1.343,91.35,-30.43,1.479,0.922,1.0
2022,2022-01-03 to 2022-12-30,-40.98,-40.98,-1.833,94.42,-86.48,-90.34,-0.901,-79.68,-81.02,-1.194,0.054,1.0
2023,2023-01-03 to 2023-12-29,22.84,-31.88,0.671,12.0,237.81,-48.99,1.88,204.92,-33.14,2.387,0.785,1.0
2024,2024-01-02 to 2024-12-31,74.99,-42.48,1.2,1.98,-1.8,-62.15,0.497,66.72,-37.37,1.228,0.881,1.0
2025,2025-01-02 to 2025-12-31,72.34,-25.93,1.418,24.4,52.9,-76.46,0.946,35.21,-56.84,0.777,0.645,1.0
2026,2026-01-02 to 2026-05-20,144.95,-31.69,2.994,12.5,266.64,-43.47,3.501,46.39,-33.49,2.111,0.776,1.0
