oos_sharpe_rank,is_selection_rank,variant,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,max_exposure_used,trade_events
1,4,"cash=none SMA250 exit=0% reentry=0%; unit=1.25, cap=2.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",24539.55,-83.61,1.091,0.0,7761.61,-97.32,1.231,0.0,2087978.15,-97.32,1.142,1.684,99.98,2.0,813
2,10,"cash=none SMA200 exit=5% reentry=5%; unit=1.00, cap=2.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",22572.33,-82.08,1.084,0.0,8755.71,-96.93,1.23,0.0,2132918.32,-96.93,1.138,1.579,57.9,2.0,813
3,5,"cash=none SMA250 exit=5% reentry=5%; unit=1.25, cap=1.50, add=5%/15%, sell=extra_profit 10%, max_days=10, trend_sma=none, trend_exp=none",18368.9,-73.76,1.088,0.0,9324.09,-92.09,1.206,0.0,1876116.41,-92.09,1.128,1.388,99.98,1.5,834
4,8,"cash=none SMA250 exit=0% reentry=0%; unit=1.25, cap=1.50, add=10%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",16519.1,-72.32,1.086,0.0,7374.22,-91.37,1.175,0.0,1338885.74,-91.37,1.111,1.322,99.98,1.5,845
5,9,"cash=none SMA200 exit=0% reentry=2%; unit=1.25, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=none, trend_exp=none",16815.04,-72.95,1.084,0.0,7270.24,-92.29,1.174,0.0,1343769.7,-92.29,1.109,1.339,99.98,1.5,1133
6,7,"cash=none SMA200 exit=5% reentry=5%; unit=1.25, cap=1.50, add=10%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=none, trend_exp=none",16579.07,-72.32,1.086,0.0,7247.36,-91.37,1.173,0.0,1320909.95,-91.37,1.11,1.322,99.98,1.5,966
7,6,"cash=none SMA200 exit=0% reentry=2%; unit=1.50, cap=3.00, add=10%/20%, sell=rebound_from_low 5%, max_days=20, trend_sma=200, trend_exp=0.5",21814.66,-93.18,1.087,0.0,2850.84,-91.38,1.159,0.0,707064.03,-95.69,1.106,1.608,80.45,3.0,813
8,1,"cash=none SMA200 exit=0% reentry=0%; unit=1.50, cap=3.00, add=10%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.5",26854.9,-82.58,1.126,0.0,2033.13,-90.42,1.064,0.0,628673.83,-90.42,1.072,1.429,73.83,3.0,845
9,2,"cash=none SMA150 exit=0% reentry=2%; unit=1.50, cap=3.00, add=10%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=75, trend_exp=0.5",25399.24,-82.58,1.119,0.0,2033.13,-90.42,1.064,0.0,594717.76,-90.42,1.069,1.429,73.83,3.0,966
10,3,"cash=none SMA250 exit=0% reentry=2%; unit=1.00, cap=3.00, add=10%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=75, trend_exp=0.5",9694.89,-73.25,1.108,0.0,2881.96,-83.87,1.05,0.0,310195.94,-83.87,1.048,1.008,12.7,3.0,966
