Month,Period,Average exposure,Max exposure,Days exposure > 1x,SOXL days,TQQQ days,Verified DCA return %,Verified DCA max DD %,Base SOXL/TQQQ rotation return %,Base SOXL/TQQQ rotation max DD %,SOXL-only return %,SOXL-only max DD %,SOXL buy-hold return %,SOXL buy-hold max DD %,TQQQ buy-hold return %,TQQQ buy-hold max DD %
2022-01,2022-01-03 to 2022-01-31,0.938,1.34,8,16,4,-32.76,-42.87,-36.78,-50.18,-44.15,-51.88,-38.17,-49.57,-27.74,-39.74
2022-02,2022-02-01 to 2022-02-28,0.768,1.34,1,19,0,-1.48,-22.58,-10.67,-29.62,0.0,0.0,-10.67,-29.62,-16.74,-30.02
2022-03,2022-03-01 to 2022-03-31,0.68,0.75,0,2,21,18.47,-12.65,24.19,-18.79,0.0,0.0,6.03,-30.43,16.27,-23.97
2022-04,2022-04-01 to 2022-04-29,0.734,0.75,0,0,20,-28.18,-31.06,-36.94,-40.65,0.0,0.0,-38.72,-42.18,-36.94,-40.65
2022-05,2022-05-02 to 2022-05-31,0.678,0.75,0,3,18,-6.9,-24.21,-10.31,-33.74,0.0,0.0,1.47,-31.83,-13.59,-36.17
2022-06,2022-06-01 to 2022-06-30,0.704,0.75,0,1,20,-17.04,-27.55,-25.13,-36.93,0.0,0.0,-44.68,-49.94,-25.65,-37.36
2022-07,2022-07-01 to 2022-07-29,0.734,0.75,0,0,20,28.01,-8.34,36.78,-12.29,0.0,0.0,70.95,-13.98,36.78,-12.29
2022-08,2022-08-01 to 2022-08-31,0.694,0.75,0,0,23,-12.03,-20.86,-16.51,-28.49,0.0,0.0,-29.84,-36.38,-16.51,-28.49
2022-09,2022-09-01 to 2022-09-30,0.746,0.75,0,1,20,-22.8,-28.73,-30.15,-37.13,-22.17,-31.6,-32.76,-39.86,-30.6,-37.54
2022-10,2022-10-03 to 2022-10-31,0.723,0.75,0,0,21,3.31,-15.9,1.4,-22.19,17.73,0.0,-8.04,-39.32,1.4,-22.19
2022-11,2022-11-01 to 2022-11-30,0.681,0.75,0,1,20,16.73,-11.75,26.35,-15.52,0.0,0.0,51.87,-15.43,16.06,-15.52
2022-12,2022-12-01 to 2022-12-30,0.735,0.75,0,0,21,-19.55,-23.6,-26.59,-31.43,-26.87,-32.99,-28.11,-34.76,-26.59,-31.43
