Year,Period,Verified DCA,Base SOXL/TQQQ rotation,SOXL-only,SOXL buy-hold,TQQQ buy-hold
2010,2010-06-25 to 2010-12-31,-23.08,-21.42,-13.45,-43.13,-21.42
2011,2011-01-03 to 2011-12-30,-52.53,-53.36,-57.22,-72.61,-43.91
2012,2012-01-03 to 2012-12-31,-39.49,-31.94,-38.61,-52.34,-31.94
2013,2013-01-02 to 2013-12-31,-26.26,-22.61,-22.61,-22.61,-17.31
2014,2014-01-02 to 2014-12-31,-29.75,-26.43,-22.68,-43.29,-23.38
2015,2015-01-02 to 2015-12-31,-29.47,-38.48,-36.84,-58.87,-37.24
2016,2016-01-04 to 2016-12-30,-26.65,-34.64,-42.01,-40.37,-34.12
2017,2017-01-03 to 2017-12-29,-21.58,-23.82,-28.9,-28.9,-14.66
2018,2018-01-02 to 2018-12-31,-42.51,-58.4,-40.81,-66.51,-58.08
2019,2019-01-02 to 2019-12-31,-51.6,-45.83,-45.75,-47.16,-30.5
2020,2020-01-02 to 2020-12-31,-65.18,-70.33,-66.18,-80.38,-69.92
2021,2021-01-04 to 2021-12-31,-55.73,-40.92,-40.92,-40.92,-30.43
2022,2022-01-03 to 2022-12-30,-64.92,-78.98,-61.34,-90.34,-81.02
2023,2023-01-03 to 2023-12-29,-36.18,-33.14,-30.21,-48.99,-33.14
2024,2024-01-02 to 2024-12-31,-55.52,-44.3,-58.47,-62.15,-37.37
2025,2025-01-02 to 2025-12-31,-46.05,-54.94,-37.61,-76.46,-56.84
2026,2026-01-02 to 2026-05-20,-54.16,-43.47,-41.74,-43.47,-33.49
