Year,Period,Verified DCA,Base SOXL/TQQQ rotation,SOXL-only,SOXL buy-hold,TQQQ buy-hold
2010,2010-06-25 to 2010-12-31,80.02,67.75,34.64,46.94,67.57
2011,2011-01-03 to 2011-12-30,-9.17,-11.57,-19.73,-49.21,-12.02
2012,2012-01-03 to 2012-12-31,84.53,44.09,-31.02,-0.07,44.09
2013,2013-01-02 to 2013-12-31,69.6,76.7,133.05,127.71,119.28
2014,2014-01-02 to 2014-12-31,139.22,74.3,200.21,104.53,60.85
2015,2015-01-02 to 2015-12-31,40.77,22.7,-22.37,-20.58,18.2
2016,2016-01-04 to 2016-12-30,338.65,123.94,74.42,131.34,18.63
2017,2017-01-03 to 2017-12-29,83.39,91.71,136.21,141.32,112.91
2018,2018-01-02 to 2018-12-31,-11.33,-30.33,-16.16,-43.71,-23.7
2019,2019-01-02 to 2019-12-31,51.79,190.51,97.32,223.25,130.54
2020,2020-01-02 to 2020-12-31,236.55,238.38,7.28,60.06,100.13
2021,2021-01-04 to 2021-12-31,137.6,140.98,124.25,121.9,91.35
2022,2022-01-03 to 2022-12-30,-62.54,-76.8,-57.81,-86.48,-79.68
2023,2023-01-03 to 2023-12-29,176.98,246.85,203.52,237.81,204.92
2024,2024-01-02 to 2024-12-31,49.51,119.56,0.22,-1.8,66.72
2025,2025-01-02 to 2025-12-31,99.24,48.6,57.04,52.9,35.21
2026,2026-01-02 to 2026-05-20,284.29,266.64,168.93,266.64,46.39
