segment_id,entry_date,exit_date,symbol,entry_price,exit_price,calendar_days,trading_days,symbol_return_%,strategy_segment_return_%,segment_max_drawdown_%,start_equity,end_equity,avg_exposure,max_exposure,days_above_1x_%
1,2010-06-25,2010-06-29,TQQQ,0.219,0.1928,4,3,-11.95,-8.98,-8.98,1.0,0.910153,0.5,0.75,0.0
2,2010-06-30,2010-06-30,SOXL,0.4291,0.4291,0,1,0.0,0.0,0.0,0.877101,0.877101,0.75,0.75,0.0
3,2010-07-01,2011-01-03,TQQQ,0.1815,0.3835,186,129,111.32,163.9,-26.43,0.870688,2.297707,1.118,2.0,44.96
4,2011-01-04,2011-04-01,SOXL,0.7777,0.8407,87,62,8.09,14.66,-24.76,2.30344,2.641036,0.905,2.0,32.26
5,2011-04-04,2011-06-08,TQQQ,0.4192,0.3744,65,46,-10.68,17.66,-4.51,2.623145,3.086463,0.625,1.5,15.22
6,2011-06-09,2011-06-09,SOXL,0.6983,0.6983,0,1,0.0,0.0,0.0,3.088481,3.088481,0.2,0.2,0.0
7,2011-06-10,2011-08-05,TQQQ,0.3588,0.3367,56,40,-6.16,12.07,-12.42,3.060115,3.429581,0.714,1.5,30.0
8,2011-08-08,2011-08-08,SOXL,0.3519,0.3519,0,1,0.0,0.0,0.0,3.32233,3.32233,0.2,0.2,0.0
9,2011-08-09,2013-02-01,TQQQ,0.3155,0.5712,542,373,81.03,371.26,-26.65,3.413333,16.085808,0.809,2.0,37.27
10,2013-02-04,2013-05-01,SOXL,0.5076,0.5972,86,61,17.66,67.34,-13.45,15.561706,26.041077,1.197,2.0,55.74
11,2013-05-02,2013-07-01,TQQQ,0.6619,0.6729,60,42,1.66,11.4,-11.09,26.748147,29.798613,0.952,2.0,30.95
12,2013-07-02,2013-08-27,SOXL,0.7081,0.6343,56,40,-10.43,7.22,-14.97,29.856196,32.010742,0.964,1.5,45.0
13,2013-08-28,2013-08-28,TQQQ,0.7768,0.7768,0,1,0.0,0.0,0.0,32.321453,32.321453,0.75,0.75,0.0
14,2013-08-29,2013-09-03,SOXL,0.6802,0.6778,5,3,-0.36,-0.06,-0.55,32.568355,32.548621,0.2,0.2,0.0
15,2013-09-04,2014-03-03,TQQQ,0.8167,1.3019,180,124,59.41,116.67,-13.77,33.345098,72.248737,1.057,1.5,42.74
16,2014-03-04,2014-08-01,SOXL,1.2553,1.5021,150,106,19.66,61.4,-22.77,75.058276,121.147503,1.168,2.0,52.83
17,2014-08-04,2015-02-02,TQQQ,1.5431,1.8477,182,126,19.74,97.99,-13.48,123.008387,243.54082,0.926,2.0,29.37
18,2015-02-03,2015-04-01,SOXL,1.8516,2.0245,57,41,9.34,24.1,-15.39,253.396616,314.477823,0.974,2.0,39.02
19,2015-04-02,2015-08-24,TQQQ,2.0139,1.609,144,100,-20.1,42.33,-13.74,314.873888,448.159949,0.964,1.5,41.0
20,2015-08-25,2015-08-25,SOXL,1.038,1.038,0,1,0.0,0.0,0.0,445.221232,445.221232,0.2,0.2,0.0
21,2015-08-26,2016-02-08,TQQQ,1.817,1.4196,166,114,-21.87,6.16,-19.9,458.072315,486.305698,0.639,1.5,26.32
22,2016-02-09,2016-02-09,SOXL,0.9786,0.9786,0,1,0.0,0.0,0.0,484.413622,484.413622,0.2,0.2,0.0
23,2016-02-10,2016-03-01,TQQQ,1.4198,1.8418,20,14,29.72,5.57,-1.0,485.565355,512.624839,0.2,0.2,0.0
24,2016-03-02,2017-04-03,SOXL,1.4141,4.8918,397,275,245.92,1071.68,-27.59,519.166761,6082.977246,1.12,2.0,51.64
