date,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2010-06-29,BUY_EXTRA_1,TQQQ,2.0,0.1928,-11.95,,,,
2010-06-30,RESET_ON_ROTATION,,,0.4291,,TQQQ,SOXL,2.0,
2010-07-01,RESET_ON_ROTATION,,,0.1815,,SOXL,TQQQ,1.0,
2010-07-16,BUY_EXTRA_1,TQQQ,2.0,0.2035,-8.05,,,,
2010-07-26,SELL_EXTRAS,TQQQ,1.0,0.2319,,,,2.0,extra shares profit >= 12%
2010-08-11,BUY_EXTRA_1,TQQQ,2.0,0.2166,-10.18,,,,
2010-08-23,BUY_EXTRA_2,TQQQ,3.0,0.2028,-15.89,,,,
2010-08-25,SELL_EXTRAS,TQQQ,1.0,0.1969,,,,3.0,extra shares max holding days 10
2010-08-25,BUY_EXTRA_1,TQQQ,2.0,0.1969,-18.34,,,,
2010-08-26,BUY_EXTRA_2,TQQQ,3.0,0.1905,-21.0,,,,
2010-09-03,SELL_EXTRAS,TQQQ,1.0,0.2232,,,,3.0,extra shares profit >= 12%
2010-09-03,BUY_EXTRA_1,TQQQ,2.0,0.2232,-7.43,,,,
2010-09-16,SELL_EXTRAS,TQQQ,1.0,0.2516,,,,2.0,extra shares profit >= 12%
2010-10-04,BUY_EXTRA_1,TQQQ,2.0,0.261,-6.68,,,,
2010-10-13,SELL_EXTRAS,TQQQ,1.0,0.2949,,,,2.0,extra shares profit >= 12%
2010-11-12,BUY_EXTRA_1,TQQQ,2.0,0.329,-6.79,,,,
2010-11-29,SELL_EXTRAS,TQQQ,1.0,0.3322,,,,2.0,extra shares max holding days 10
2010-11-29,BUY_EXTRA_1,TQQQ,2.0,0.3322,-5.89,,,,
2010-12-13,SELL_EXTRAS,TQQQ,1.0,0.3613,,,,2.0,extra shares max holding days 10
2011-01-04,RESET_ON_ROTATION,,,0.7777,,TQQQ,SOXL,1.0,
2011-01-19,BUY_EXTRA_1,SOXL,2.0,0.9136,-8.06,,,,
2011-02-02,SELL_EXTRAS,SOXL,1.0,0.9985,,,,2.0,extra shares max holding days 10
2011-02-22,BUY_EXTRA_1,SOXL,2.0,0.9858,-12.93,,,,
2011-02-23,BUY_EXTRA_2,SOXL,3.0,0.9329,-17.6,,,,
2011-03-08,BUY_EXTRA_1,SOXL,2.0,0.9459,-16.45,,,,
2011-03-08,SELL_EXTRAS,SOXL,1.0,0.9459,,,,3.0,extra shares max holding days 10
2011-03-09,BUY_EXTRA_2,SOXL,3.0,0.8616,-23.9,,,,
2011-03-22,SELL_EXTRAS,SOXL,1.0,0.7892,,,,3.0,extra shares max holding days 10
2011-03-22,BUY_EXTRA_1,SOXL,2.0,0.7892,-30.29,,,,
2011-03-23,BUY_EXTRA_2,SOXL,3.0,0.8106,-28.4,,,,
2011-04-04,RESET_ON_ROTATION,,,0.4192,,SOXL,TQQQ,3.0,
2011-04-18,BUY_EXTRA_1,TQQQ,2.0,0.3963,-5.46,,,,
2011-04-25,SELL_EXTRAS,TQQQ,1.0,0.4445,,,,2.0,extra shares profit >= 12%
2011-05-16,BUY_EXTRA_1,TQQQ,2.0,0.4189,-9.24,,,,
2011-05-31,SELL_EXTRAS,TQQQ,1.0,0.4388,,,,2.0,extra shares max holding days 10
2011-06-01,BUY_EXTRA_1,TQQQ,2.0,0.4108,-10.99,,,,
2011-06-06,BUY_EXTRA_2,TQQQ,3.0,0.3849,-16.6,,,,
2011-06-09,RESET_ON_ROTATION,,,0.6983,,TQQQ,SOXL,3.0,
2011-06-10,RESET_ON_ROTATION,,,0.3588,,SOXL,TQQQ,1.0,
2011-06-15,BUY_EXTRA_1,TQQQ,2.0,0.352,-5.46,,,,
2011-06-29,SELL_EXTRAS,TQQQ,1.0,0.3931,,,,2.0,extra shares max holding days 10
2011-07-11,BUY_EXTRA_1,TQQQ,2.0,0.4274,-6.15,,,,
2011-07-25,SELL_EXTRAS,TQQQ,1.0,0.4606,,,,2.0,extra shares max holding days 10
2011-07-27,BUY_EXTRA_1,TQQQ,2.0,0.428,-7.63,,,,
2011-08-02,BUY_EXTRA_2,TQQQ,3.0,0.3884,-16.16,,,,
2011-08-08,RESET_ON_ROTATION,,,0.3519,,TQQQ,SOXL,3.0,
2011-08-09,RESET_ON_ROTATION,,,0.3155,,SOXL,TQQQ,1.0,
2011-08-10,BUY_EXTRA_1,TQQQ,2.0,0.2783,-11.79,,,,
2011-08-11,SELL_EXTRAS,TQQQ,1.0,0.3141,,,,2.0,extra shares profit >= 12%
2011-08-18,BUY_EXTRA_1,TQQQ,2.0,0.2753,-18.05,,,,
2011-08-19,BUY_EXTRA_2,TQQQ,3.0,0.2599,-22.64,,,,
2011-08-24,SELL_EXTRAS,TQQQ,1.0,0.3016,,,,3.0,extra shares profit >= 12%
2011-08-24,BUY_EXTRA_1,TQQQ,2.0,0.3016,-10.22,,,,
2011-08-30,SELL_EXTRAS,TQQQ,1.0,0.3409,,,,2.0,extra shares profit >= 12%
2011-09-02,BUY_EXTRA_1,TQQQ,2.0,0.3098,-9.63,,,,
2011-09-15,SELL_EXTRAS,TQQQ,1.0,0.3608,,,,2.0,extra shares profit >= 12%
2011-09-21,BUY_EXTRA_1,TQQQ,2.0,0.3473,-6.43,,,,
2011-09-22,BUY_EXTRA_2,TQQQ,3.0,0.3135,-15.53,,,,
2011-10-05,SELL_EXTRAS,TQQQ,1.0,0.309,,,,3.0,extra shares max holding days 10
2011-10-05,BUY_EXTRA_1,TQQQ,2.0,0.309,-16.74,,,,
2011-10-10,SELL_EXTRAS,TQQQ,1.0,0.3509,,,,2.0,extra shares profit >= 12%
