date,same_close_equity,next_day_equity,same_exposure,next_exposure,allocation
2010-06-25,1.0,1.0,0.0,0.0,TQQQ
2010-06-28,0.9932838293733433,0.9932838293733433,0.75,0.75,TQQQ
2010-06-29,0.9101526262240024,0.9101526262240024,0.75,0.75,TQQQ
2010-06-30,0.8771003073649762,0.8426818862053312,0.75,1.5,SOXL
2010-07-01,0.8706878675518537,0.8365210778787053,0.75,0.75,TQQQ
2010-07-02,0.8671152396760362,0.8330886440147289,0.75,0.75,TQQQ
2010-07-06,0.8705141346968003,0.8363541624999705,0.75,0.75,TQQQ
2010-07-07,0.9322104017762075,0.8956293973593612,0.75,0.75,TQQQ
2010-07-08,0.9440055994058895,0.9069617379175421,0.75,0.75,TQQQ
2010-07-09,0.9638432476906648,0.9260209341509967,0.75,0.75,TQQQ
2010-07-12,0.972051986184148,0.9339075523393271,0.75,0.75,TQQQ
2010-07-13,0.9969534149961014,0.9578318205493174,0.75,0.75,TQQQ
2010-07-14,1.0089141498721703,0.9693232024826423,0.75,0.75,TQQQ
2010-07-15,1.0115549549580753,0.9718603793507893,0.75,0.75,TQQQ
2010-07-16,0.9504940979649439,0.9131956203577511,0.75,0.75,TQQQ
2010-07-19,0.9826505034461639,0.9440901716387852,1.5,1.5,TQQQ
2010-07-20,1.029217025055203,0.9888293695777476,1.5,1.5,TQQQ
2010-07-21,0.9751547430528137,0.9368885534729131,1.5,1.5,TQQQ
2010-07-22,1.0737765560816812,1.0316403335444864,1.5,1.5,TQQQ
2010-07-23,1.115703450885402,1.0719219689506752,1.5,1.5,TQQQ
2010-07-26,1.1524843096325692,1.1072595046521845,1.5,1.5,TQQQ
2010-07-27,1.1522995660263076,1.1069045165412883,0.75,1.5,TQQQ
2010-07-28,1.1346339448822733,1.072965154923248,0.75,1.5,TQQQ
2010-07-29,1.114366244277229,1.0346329040370192,0.75,1.5,TQQQ
2010-07-30,1.1200737678510664,1.0452312001006066,0.75,1.5,TQQQ
2010-08-02,1.165269500275439,1.1295827687155662,0.75,1.5,TQQQ
2010-08-03,1.1562353445234859,1.1208252867211548,0.75,0.75,TQQQ
2010-08-04,1.181282747068701,1.1451056049732584,0.75,0.75,TQQQ
2010-08-05,1.1760526668599116,1.1400356975557446,0.75,0.75,TQQQ
2010-08-06,1.1719159282872584,1.136025647855443,0.75,0.75,TQQQ
2010-08-09,1.18728430061433,1.1509233591228893,0.75,0.75,TQQQ
2010-08-10,1.1684069684559455,1.1326241509822907,0.75,0.75,TQQQ
2010-08-11,1.0962741797723266,1.0627004508106503,0.75,0.75,TQQQ
2010-08-12,1.0499260565101365,1.017771752868329,1.5,1.5,TQQQ
2010-08-13,1.0185512265680305,0.9873577866007772,1.5,1.5,TQQQ
2010-08-16,1.0271886902566978,0.9957307253465512,1.5,1.5,TQQQ
2010-08-17,1.0857954842039221,1.0525426684694081,1.5,1.5,TQQQ
2010-08-18,1.1004311850863198,1.0667301465771968,1.5,1.5,TQQQ
2010-08-19,1.0397319170698305,1.0078898120375326,1.5,1.5,TQQQ
2010-08-20,1.0343713763276625,1.0026934394800089,1.5,1.5,TQQQ
2010-08-23,0.9915541310805402,0.9611874853435749,1.5,1.5,TQQQ
2010-08-24,0.877764908486195,0.8508830921729563,2.0,2.0,TQQQ
2010-08-25,0.9304000975728149,0.9019063126436523,2.0,2.0,TQQQ
2010-08-26,0.8848516368756358,0.8430349455960694,1.5,2.0,TQQQ
2010-08-27,0.943398797612793,0.8639525634810568,2.0,0.75,TQQQ
2010-08-30,0.8822643417877857,0.8219629484099821,2.0,1.5,TQQQ
2010-08-31,0.87352311723264,0.8138191729361802,2.0,2.0,TQQQ
2010-09-01,1.0199520472290045,0.9502399136729527,2.0,2.0,TQQQ
2010-09-02,1.0899553584304944,1.0154586076043441,2.0,2.0,TQQQ
2010-09-03,1.2009862710969073,1.1189007303529566,2.0,2.0,TQQQ
2010-09-07,1.1571319258929726,1.098472245840383,1.5,0.75,TQQQ
2010-09-08,1.218436602170975,1.1566691410471648,1.5,1.5,TQQQ
2010-09-09,1.2415602633672098,1.1786205706792512,1.5,1.5,TQQQ
2010-09-10,1.2616029385801117,1.1976472019225086,1.5,1.5,TQQQ
2010-09-13,1.345022336199057,1.2768377341329304,1.5,1.5,TQQQ
2010-09-14,1.3705753906697957,1.3010954013050573,1.5,1.5,TQQQ
2010-09-15,1.4054877707018691,1.334237932111879,1.5,1.5,TQQQ
2010-09-16,1.435212055190365,1.362455372843954,1.5,1.5,TQQQ
2010-09-17,1.4466721866189605,1.3842137152184075,0.75,1.5,TQQQ
2010-09-20,1.503197505965352,1.4382986164282932,0.75,0.75,TQQQ
2010-09-21,1.4996443562916688,1.434898870061405,0.75,0.75,TQQQ
2010-09-22,1.494309225258134,1.429794077408713,0.75,0.75,TQQQ
2010-09-23,1.4909545010667227,1.4265841897233906,0.75,0.75,TQQQ
2010-09-24,1.55427532218132,1.4871712044295793,0.75,0.75,TQQQ
2010-09-27,1.5409308646764868,1.4744028791163586,0.75,0.75,TQQQ
2010-09-28,1.54383421377336,1.4771808793275545,0.75,0.75,TQQQ
2010-09-29,1.5345079289095558,1.4682572464963444,0.75,0.75,TQQQ
2010-09-30,1.5189244152826453,1.4533465338323537,0.75,0.75,TQQQ
2010-10-01,1.5153822994221497,1.449957344905974,0.75,0.75,TQQQ
2010-10-04,1.47595287866911,1.4122302457785403,0.75,0.75,TQQQ
2010-10-05,1.6407695903035544,1.5699311782024836,1.5,1.5,TQQQ
2010-10-06,1.5780482546336585,1.5099177668200505,1.5,1.5,TQQQ
2010-10-07,1.6012570183081805,1.5321245177956244,1.5,1.5,TQQQ
2010-10-08,1.6496414269281463,1.5784199830945151,1.5,1.5,TQQQ
2010-10-11,1.6546587642047557,1.5832207023842049,1.5,1.5,TQQQ
2010-10-12,1.7061860378367029,1.6325233429747088,1.5,1.5,TQQQ
2010-10-13,1.7683757958160957,1.692028126945414,1.5,1.5,TQQQ
2010-10-14,1.7610141263997539,1.6779404519804038,0.75,1.5,TQQQ
2010-10-15,1.8452639127323884,1.8384912646501972,0.75,1.5,TQQQ
2010-10-18,1.8452639127323884,1.8384912646501972,0.75,1.5,TQQQ
2010-10-19,1.7902308050047722,1.7288290237906163,0.75,1.5,TQQQ
2010-10-20,1.8181454430169715,1.7557862386084957,0.75,0.75,TQQQ
2010-10-21,1.8276579254135157,1.7649724595189324,0.75,0.75,TQQQ
2010-10-22,1.8543853549267697,1.790783185010112,0.75,0.75,TQQQ
2010-10-25,1.8754892249855124,1.8111632292870077,0.75,0.75,TQQQ
2010-10-26,1.8839207480521096,1.8193055658793302,0.75,0.75,TQQQ
2010-10-27,1.898465590756882,1.833351545953063,0.75,0.75,TQQQ
2010-10-28,1.9066448517300916,1.841250272599991,0.75,0.75,TQQQ
2010-10-29,1.899781801626071,1.8346226130946413,0.75,0.75,TQQQ
2010-11-01,1.9030563619189238,1.8377848617044907,0.75,0.75,TQQQ
2010-11-02,1.9463188488840657,1.8795635211363404,0.75,0.75,TQQQ
2010-11-03,1.967412290917599,1.899933495051028,0.75,0.75,TQQQ
2010-11-04,2.019694816825937,1.9504228218879545,0.75,0.75,TQQQ
2010-11-05,2.0215085416199967,1.9521743390981228,0.75,0.75,TQQQ
2010-11-08,2.025356790210148,1.955890599501427,0.75,0.75,TQQQ
2010-11-09,2.00079793994996,1.9321740747929677,0.75,0.75,TQQQ
2010-11-10,2.0237409699216595,1.9543301990188977,0.75,0.75,TQQQ
2010-11-11,1.998214570440669,1.9296793103333505,0.75,0.75,TQQQ
2010-11-12,1.9219535053150871,1.8560338661784885,0.75,0.75,TQQQ
2010-11-15,1.8910832975055634,1.826222452430969,1.5,1.5,TQQQ
2010-11-16,1.7503232551858388,1.6902902330366731,1.5,1.5,TQQQ
2010-11-17,1.7751637582564048,1.7142787503573993,1.5,1.5,TQQQ
2010-11-18,1.8989338559212239,1.8338037504423843,1.5,1.5,TQQQ
2010-11-19,1.9056361667252477,1.8402761837242096,1.5,1.5,TQQQ
2010-11-22,1.980987760203625,1.9130433495165238,1.5,1.5,TQQQ
2010-11-23,1.840634887570571,1.7775043346017598,1.5,1.5,TQQQ
2010-11-24,2.001882517295123,1.9332214530347123,1.5,1.5,TQQQ
2010-11-26,1.9829886998344535,1.9149756604224462,1.5,1.5,TQQQ
2010-11-29,1.9415833689614184,1.874990459881354,1.5,1.5,TQQQ
2010-11-30,1.830867843502818,1.7680722830395994,1.5,1.5,TQQQ
2010-12-01,2.0054961354580243,1.8523917067315454,1.5,0.75,TQQQ
2010-12-02,2.096844831145009,1.89457916431861,1.5,0.75,TQQQ
2010-12-03,2.1231394343920242,1.9064582520569755,1.5,0.75,TQQQ
2010-12-06,2.1175458126185727,1.9039468752213,1.5,0.75,TQQQ
2010-12-07,2.120456169115289,1.905255268202619,1.5,0.75,TQQQ
2010-12-08,2.1645162129533837,1.9250495067873272,1.5,0.75,TQQQ
2010-12-09,2.1678873405782157,1.9265485917867058,1.5,0.75,TQQQ
2010-12-10,2.236158376421766,1.956883993793604,1.5,0.75,TQQQ
2010-12-13,2.196782712825616,1.9396549802655896,1.5,0.75,TQQQ
2010-12-14,2.2036812803280594,1.9457460882912903,0.75,0.75,TQQQ
2010-12-15,2.1868424510408677,1.9308782004032194,0.75,0.75,TQQQ
2010-12-16,2.2210631239619745,1.961093432101801,0.75,0.75,TQQQ
2010-12-17,2.2261366937406772,1.9655731536653087,0.75,0.75,TQQQ
2010-12-20,2.2306397574910237,1.9695491454549465,0.75,0.75,TQQQ
2010-12-21,2.258217873135915,1.9938993140194783,0.75,0.75,TQQQ
2010-12-22,2.2600130944071637,1.9954844092858997,0.75,0.75,TQQQ
2010-12-23,2.2471227222828056,1.9841028218660277,0.75,0.75,TQQQ
2010-12-27,2.247799722328134,1.9847005808077265,0.75,0.75,TQQQ
2010-12-28,2.2404998075695937,1.9782551021838055,0.75,0.75,TQQQ
2010-12-29,2.250505369359938,1.9870895388550747,0.75,0.75,TQQQ
2010-12-30,2.237821164947143,1.9758899877495675,0.75,0.75,TQQQ
2010-12-31,2.2224137274596862,1.9622859509546693,0.75,0.75,TQQQ
