rank_drawdown,variant,mode,sma_window,exit_buffer_pct,reentry_buffer_pct,unit_exposure,max_exposure,dca,add1_drop,add2_drop,sell_profit,max_extra_days,net_return_pct,cagr_pct,max_drawdown_pct,calmar,sharpe,return_2022_pct,drawdown_2022_pct,cash_days_pct,avg_exposure,days_above_1x_pct,trade_events,dca_events,base_rotation_return_pct,base_rotation_max_drawdown_pct,soxl_only_return_pct,soxl_only_max_drawdown_pct
1,selected_and_qqq_cash; SMA250; exit below SMA-5%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,selected_and_qqq_cash,250,5.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,6288.96,29.88,-27.24,1.097,1.09,-19.04,-19.04,22.62,0.387,0.0,88,0,775116.8,-79.24,41069.8,-66.18
2,selected_or_qqq_cash; SMA150; exit below SMA-0%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,selected_or_qqq_cash,150,0.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,5660.38,29.04,-27.31,1.063,1.06,-11.3,-11.3,21.7,0.392,0.0,106,0,775116.8,-79.24,41069.8,-66.18
3,selected_sma_cash; SMA120; exit below SMA-5%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,selected_sma_cash,120,5.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,5619.4,28.98,-27.43,1.057,1.08,-11.3,-11.3,23.52,0.382,0.0,102,0,775116.8,-79.24,41069.8,-66.18
4,selected_sma_cash; SMA120; exit below SMA-3%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,selected_sma_cash,120,3.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,4963.99,27.99,-27.48,1.019,1.05,-15.38,-15.38,22.55,0.387,0.0,123,0,775116.8,-79.24,41069.8,-66.18
5,selected_and_qqq_cash; SMA250; exit below SMA-3%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,selected_and_qqq_cash,250,3.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,5365.77,28.61,-27.81,1.029,1.06,-19.04,-19.04,24.75,0.376,0.0,86,0,775116.8,-79.24,41069.8,-66.18
6,qqq_sma_cash; SMA100; exit below SMA-7%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,100,7.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,5715.28,29.11,-28.13,1.035,1.06,-19.04,-19.04,20.82,0.396,0.0,86,0,775116.8,-79.24,41069.8,-66.18
7,selected_sma_cash; SMA120; exit below SMA-5%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,selected_sma_cash,120,5.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,4930.6,27.94,-28.19,0.991,1.05,-11.3,-11.3,24.15,0.379,0.0,100,0,775116.8,-79.24,41069.8,-66.18
8,qqq_sma_cash; SMA150; exit below SMA-2%; reenter above SMA+7%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,150,2.0,7.0,0.5,1.0,False,0.1,0.2,0.2,20,4700.1,27.56,-28.22,0.977,1.04,-12.84,-12.84,26.02,0.37,0.0,86,0,775116.8,-79.24,41069.8,-66.18
9,selected_or_qqq_cash; SMA180; exit below SMA-0%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,selected_or_qqq_cash,180,0.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,9940.0,33.62,-28.25,1.19,1.17,-16.98,-16.98,18.4,0.408,0.0,98,0,775116.8,-79.24,41069.8,-66.18
10,selected_or_qqq_cash; SMA150; exit below SMA-1%; reenter above SMA+1%; unit=0.50; cap=1.00; dca=False,selected_or_qqq_cash,150,1.0,1.0,0.5,1.0,False,0.1,0.2,0.2,20,9772.69,33.48,-28.25,1.185,1.15,-17.73,-17.73,15.47,0.423,0.0,110,0,775116.8,-79.24,41069.8,-66.18
11,qqq_sma_cash; SMA150; exit below SMA-1%; reenter above SMA+1%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,150,1.0,1.0,0.5,1.0,False,0.1,0.2,0.2,20,8081.38,31.91,-28.25,1.13,1.12,-17.73,-17.73,16.45,0.418,0.0,108,0,775116.8,-79.24,41069.8,-66.18
12,qqq_sma_cash; SMA150; exit below SMA-1%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,150,1.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,7411.29,31.21,-28.25,1.105,1.11,-11.3,-11.3,19.28,0.404,0.0,97,0,775116.8,-79.24,41069.8,-66.18
13,qqq_sma_cash; SMA180; exit below SMA-0%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,180,0.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,7153.03,30.92,-28.25,1.094,1.11,-12.84,-12.84,18.82,0.406,0.0,103,0,775116.8,-79.24,41069.8,-66.18
14,qqq_sma_cash; SMA250; exit below SMA-0%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,250,0.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,6624.01,30.3,-28.25,1.072,1.09,-19.04,-19.04,20.67,0.397,0.0,91,0,775116.8,-79.24,41069.8,-66.18
15,qqq_sma_cash; SMA200; exit below SMA-0%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,200,0.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,6079.18,29.61,-28.25,1.048,1.08,-16.98,-16.98,21.38,0.393,0.0,93,0,775116.8,-79.24,41069.8,-66.18
16,qqq_sma_cash; SMA150; exit below SMA-0%; reenter above SMA+2%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,150,0.0,2.0,0.5,1.0,False,0.1,0.2,0.2,20,5716.96,29.12,-28.25,1.03,1.06,-15.38,-15.38,19.38,0.403,0.0,123,0,775116.8,-79.24,41069.8,-66.18
17,qqq_sma_cash; SMA180; exit below SMA-0%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,180,0.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,5702.96,29.1,-28.25,1.03,1.07,-12.84,-12.84,22.82,0.386,0.0,94,0,775116.8,-79.24,41069.8,-66.18
18,qqq_sma_cash; SMA150; exit below SMA-0%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,150,0.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,5632.25,29.0,-28.25,1.026,1.07,-11.3,-11.3,21.7,0.392,0.0,111,0,775116.8,-79.24,41069.8,-66.18
19,selected_sma_cash; SMA100; exit below SMA-2%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,selected_sma_cash,100,2.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,3977.37,26.26,-28.26,0.929,1.02,-17.73,-17.73,25.6,0.372,0.0,123,0,775116.8,-79.24,41069.8,-66.18
20,qqq_sma_cash; SMA180; exit below SMA-0%; reenter above SMA+2%; unit=0.50; cap=1.00; dca=False,qqq_sma_cash,180,0.0,2.0,0.5,1.0,False,0.1,0.2,0.2,20,9382.22,33.14,-28.29,1.172,1.16,-12.84,-12.84,18.22,0.409,0.0,105,0,775116.8,-79.24,41069.8,-66.18
21,selected_sma_else_other; SMA180; exit below SMA-3%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,selected_sma_else_other,180,3.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,4695.04,27.56,-28.37,0.971,1.03,-16.98,-16.98,24.4,0.378,0.0,100,0,775116.8,-79.24,41069.8,-66.18
22,selected_sma_cash; SMA120; exit below SMA-3%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,selected_sma_cash,120,3.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,4677.97,27.53,-28.52,0.965,1.04,-11.3,-11.3,24.22,0.379,0.0,112,0,775116.8,-79.24,41069.8,-66.18
23,selected_sma_cash; SMA120; exit below SMA-3%; reenter above SMA+1%; unit=0.50; cap=1.00; dca=False,selected_sma_cash,120,3.0,1.0,0.5,1.0,False,0.1,0.2,0.2,20,5271.26,28.47,-28.6,0.995,1.05,-15.38,-15.38,21.65,0.392,0.0,133,0,775116.8,-79.24,41069.8,-66.18
24,selected_and_qqq_cash; SMA120; exit below SMA-3%; reenter above SMA+1%; unit=0.50; cap=1.00; dca=False,selected_and_qqq_cash,120,3.0,1.0,0.5,1.0,False,0.1,0.2,0.2,20,3785.53,25.88,-28.6,0.905,0.99,-15.38,-15.38,22.62,0.387,0.0,129,0,775116.8,-79.24,41069.8,-66.18
25,selected_or_qqq_cash; SMA200; exit below SMA-0%; reenter above SMA+5%; unit=0.50; cap=1.00; dca=False,selected_or_qqq_cash,200,0.0,5.0,0.5,1.0,False,0.1,0.2,0.2,20,8964.55,32.77,-28.65,1.144,1.14,-20.72,-20.72,17.93,0.41,0.0,100,0,775116.8,-79.24,41069.8,-66.18
26,selected_or_qqq_cash; SMA180; exit below SMA-3%; reenter above SMA+3%; unit=0.50; cap=1.00; dca=False,selected_or_qqq_cash,180,3.0,3.0,0.5,1.0,False,0.1,0.2,0.2,20,10508.61,34.09,-28.7,1.188,1.16,-22.69,-22.69,15.45,0.423,0.0,95,0,775116.8,-79.24,41069.8,-66.18
