Ticker,Company,ICB Industry[14],ICB Subsector[14],Symbol,Yahoo Symbol,ticker,nasdaq100_date_added,nasdaq100_added_security,date_source
ADBE,Adobe Inc.,Technology,Computer Software,ADBE,ADBE,ADBE,,,No add date found; assumed already member before test window
AMD,Advanced Micro Devices,Technology,Semiconductors,AMD,AMD,AMD,2018-12-24,Advanced Micro Devices,Wikipedia Nasdaq-100 changes table
ABNB,Airbnb,Consumer Discretionary,Diversified Commercial Services,ABNB,ABNB,ABNB,2021-12-20,Airbnb,Wikipedia Nasdaq-100 changes table
ALNY,Alnylam Pharmaceuticals,Health Care,Biotechnology,ALNY,ALNY,ALNY,2025-12-22,Alnylam Pharmaceuticals,Wikipedia Nasdaq-100 changes table
GOOGL,Alphabet Inc. (Class A),Technology,Computer Software,GOOGL,GOOGL,GOOGL,,,No add date found; assumed already member before test window
GOOG,Alphabet Inc. (Class C),Technology,Computer Software,GOOG,GOOG,GOOG,2014-04-03,Google Class C,Wikipedia Nasdaq-100 changes table
AMZN,Amazon,Consumer Discretionary,Catalog/Specialty Distribution,AMZN,AMZN,AMZN,,,No add date found; assumed already member before test window
AEP,American Electric Power,Utilities,Electric Utilities,AEP,AEP,AEP,2020-12-21,American Electric Power,Wikipedia Nasdaq-100 changes table
AMGN,Amgen,Health Care,Biotechnology,AMGN,AMGN,AMGN,,,No add date found; assumed already member before test window
ADI,Analog Devices,Technology,Semiconductors,ADI,ADI,ADI,2012-12-24,Analog Devices,Wikipedia Nasdaq-100 changes table
AAPL,Apple Inc.,Technology,Computer Manufacturing,AAPL,AAPL,AAPL,,,No add date found; assumed already member before test window
AMAT,Applied Materials,Technology,Semiconductors,AMAT,AMAT,AMAT,,,No add date found; assumed already member before test window
APP,AppLovin,Technology,Computer Software,APP,APP,APP,2024-11-18,AppLovin,Wikipedia Nasdaq-100 changes table
ARM,Arm Holdings,Technology,Semiconductors,ARM,ARM,ARM,2024-06-24,Arm Holdings,Wikipedia Nasdaq-100 changes table
ASML,ASML Holding,Technology,Industrial Machinery,ASML,ASML,ASML,2017-12-18,ASML Holding,Wikipedia Nasdaq-100 changes table
ADSK,Autodesk,Technology,Computer Software,ADSK,ADSK,ADSK,,,No add date found; assumed already member before test window
ADP,Automatic Data Processing,Industrials,Diversified Commercial Services,ADP,ADP,ADP,2008-12-22,Automatic Data Processing,Wikipedia Nasdaq-100 changes table
AXON,Axon Enterprise,Industrials,Ordnance & Accessories,AXON,AXON,AXON,2024-12-23,Axon Enterprise,Wikipedia Nasdaq-100 changes table
BKR,Baker Hughes,Energy,Oil Equipment & Services,BKR,BKR,BKR,2022-12-19,Baker Hughes,Wikipedia Nasdaq-100 changes table
BKNG,Booking Holdings,Consumer Discretionary,Transportation Services,BKNG,BKNG,BKNG,,,No add date found; assumed already member before test window
AVGO,Broadcom,Technology,Semiconductors,AVGO,AVGO,AVGO,2016-02-01,Broadcom,Wikipedia Nasdaq-100 changes table
CDNS,Cadence Design Systems,Technology,Computer Software,CDNS,CDNS,CDNS,2017-12-18,Cadence Design Systems,Wikipedia Nasdaq-100 changes table
CHTR,Charter Communications,Telecommunications,Cable & Other Pay Television Services,CHTR,CHTR,CHTR,2013-07-25,Charter Communications,Wikipedia Nasdaq-100 changes table
