period_end,filing_date,form,source_type,series,accession,source_url,security_name,ticker_guess,cusip,shares,market_value_usd,pct_value
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,"Advanced Micro Devices, Inc.",AMD,,4.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,Altera Corporation,ALTR,,6.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,"Amkor Technology, Inc.",AMKR,,2.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,"Analog Devices, Inc.",ADI,,6.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,"Applied Materials, Inc.",AMAT,,26.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,Atmel Corporation,ATML,,8.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,Broadcom Corporation,BRCM,,3.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,Intel Corporation,INTC,,30.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,KLA-Tencor Corporation,KLAC,,3.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,LSI Corporation,LSI,,5.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,Linear Technology Corporation,LLTC,,5.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,"Micron Technology, Inc.",MU,,9.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,National Semiconductor Corporation,NSM,,6.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,"Novellus Systems, Inc.",NVLS,,2.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,SanDisk Corporation,SNDK,,2.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,"Teradyne, Inc.",TER,,3.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,Texas Instruments Incorporated,TXN,,22.0,,
2009-03-11,2009-03-11,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,"Xilinx, Inc.",XLNX,,5.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,"Advanced Micro Devices, Inc.",AMD,,4.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,Altera Corporation,ALTR,,6.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,"Amkor Technology, Inc.",AMKR,,2.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,"Analog Devices, Inc.",ADI,,6.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,"Applied Materials, Inc.",AMAT,,26.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,Atmel Corporation,ATML,,8.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,Broadcom Corporation,BRCM,,3.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,Intel Corporation,INTC,,30.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,KLA-Tencor Corporation,KLAC,,3.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,LSI Corporation,LSI,,5.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,Linear Technology Corporation,LLTC,,5.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,"Micron Technology, Inc.",MU,,9.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,National Semiconductor Corporation,NSM,,6.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,"Novellus Systems, Inc.",NVLS,,2.0,,
2010-04-15,2010-04-15,POS AM,SEC legacy HOLDRS POS AM,Semiconductor HOLDRS Trust,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,SanDisk Corporation,SNDK,,2.0,,
