period_end,source_type,form,accession,source_url,stock_count,mapped_ticker_count,tickers,names
2009-03-11,SEC legacy HOLDRS POS AM,POS AM,0000947871-09-000168,https://www.sec.gov/Archives/edgar/data/728612/000094787109000168/ss56639_posam-semi.htm,18,18,"ADI, ALTR, AMAT, AMD, AMKR, ATML, BRCM, INTC, KLAC, LLTC, LSI, MU, NSM, NVLS, SNDK, TER, TXN, XLNX","Advanced Micro Devices, Inc.; Altera Corporation; Amkor Technology, Inc.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corporation; Broadcom Corporation; Intel Corporation; KLA-Tencor Corporation; LSI Corporation; Linear Technology Corporation; Micron Technology, Inc.; National Semiconductor Corporation; Novellus Systems, Inc.; SanDisk Corporation; Teradyne, Inc.; Texas Instruments Incorporated; Xilinx, Inc."
2010-04-15,SEC legacy HOLDRS POS AM,POS AM,0000947871-10-000490,https://www.sec.gov/Archives/edgar/data/728612/000094787110000490/ss87938_posam-semi.htm,18,18,"ADI, ALTR, AMAT, AMD, AMKR, ATML, BRCM, INTC, KLAC, LLTC, LSI, MU, NSM, NVLS, SNDK, TER, TXN, XLNX","Advanced Micro Devices, Inc.; Altera Corporation; Amkor Technology, Inc.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corporation; Broadcom Corporation; Intel Corporation; KLA-Tencor Corporation; LSI Corporation; Linear Technology Corporation; Micron Technology, Inc.; National Semiconductor Corporation; Novellus Systems, Inc.; SanDisk Corporation; Teradyne, Inc.; Texas Instruments Incorporated; Xilinx, Inc."
2011-03-15,SEC legacy HOLDRS POS AM,POS AM,0000947871-11-000271,https://www.sec.gov/Archives/edgar/data/728612/000094787111000271/ss113520_posam-semi.htm,18,18,"ADI, ALTR, AMAT, AMD, AMKR, ATML, BRCM, INTC, KLAC, LLTC, LSI, MU, NSM, NVLS, SNDK, TER, TXN, XLNX","Advanced Micro Devices, Inc.; Altera Corporation; Amkor Technology, Inc.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corporation; Broadcom Corporation; Intel Corporation; KLA-Tencor Corporation; LSI Corporation; Linear Technology Corporation; Micron Technology, Inc.; National Semiconductor Corporation; Novellus Systems, Inc.; SanDisk Corporation; Teradyne, Inc.; Texas Instruments Incorporated; Xilinx, Inc."
2011-12-31,SEC shareholder/N-Q report,N-Q,0000930413-12-001105,https://www.sec.gov/Archives/edgar/data/1137360/000093041312001105/c68633_n-q.htm,25,25,"ADI, ALTR, AMAT, AMD, ARMH, ASML, ATML, AVGO, BRCM, CREE, INTC, KLAC, LLTC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, ON, SWKS, TER, TSM, TXN, XLNX","ARM Holdings Plc; ASML Holding N.V.; Advanced Micro Devices, Inc.; Altera Corp.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corp.; Avago Technologies Ltd.; Broadcom Corp.; Cree, Inc.; Intel Corp.; Kla-Tencor Corp.; Lam Research Corp.; Linear Technology Corp.; Marvell Technology Group Ltd.; Maxim Integrated Products; Microchip Technology, Inc.; Micron Technology, Inc.; Nvidia Corp.; ON Semiconductor Corp.; Skyworks Solutions, Inc.; Taiwan Semiconductor Manufacturing Co. Ltd.; Teradyne, Inc.; Texas Instruments, Inc.; Xilinx, Inc."
2012-03-31,SEC shareholder/N-Q report,N-CSRS,0000930413-12-003452,https://www.sec.gov/Archives/edgar/data/1137360/000093041312003452/c69543_ncsrs.htm,25,25,"ADI, ALTR, AMAT, AMD, ARMH, ASML, ATML, AVGO, BRCM, CREE, INTC, KLAC, LLTC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, ON, SWKS, TER, TSM, TXN, XLNX","ARM Holdings Plc; ASML Holding N.V.; Advanced Micro Devices, Inc.; Altera Corp.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corp.; Avago Technologies Ltd.; Broadcom Corp.; Cree, Inc. *; Intel Corp.; KLA-Tencor Corp.; Lam Research Corp. *; Linear Technology Corp.; Marvell Technology Group Ltd.; Maxim Integrated Products, Inc.; Microchip Technology, Inc.; Micron Technology, Inc.; NVIDIA Corp.; ON Semiconductor Corp.; Skyworks Solutions, Inc.; Taiwan Semiconductor Manufacturing Co. Ltd.; Teradyne, Inc.; Texas Instruments, Inc.; Xilinx, Inc."
2012-06-30,SEC shareholder/N-Q report,N-Q,0000930413-12-004869,https://www.sec.gov/Archives/edgar/data/1137360/000093041312004869/c70706_n-q.htm,25,25,"ADI, ALTR, AMAT, AMD, ARMH, ASML, ATML, AVGO, BRCM, CREE, INTC, KLAC, LLTC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, ON, SWKS, TER, TSM, TXN, XLNX","ARM Holdings Plc; ASML Holding N.V.; Advanced Micro Devices, Inc.; Altera Corp.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corp.; Avago Technologies Ltd.; Broadcom Corp.; Cree, Inc. *; Intel Corp.; KLA-Tencor Corp.; Lam Research Corp.; Linear Technology Corp.; Marvell Technology Group Ltd.; Maxim Integrated Products, Inc.; Microchip Technology, Inc.; Micron Technology, Inc.; NVIDIA Corp.; ON Semiconductor Corp.; Skyworks Solutions, Inc.; Taiwan Semiconductor Manufacturing Co. Ltd.; Teradyne, Inc.; Texas Instruments, Inc.; Xilinx, Inc."
2012-09-30,SEC shareholder/N-Q report,N-CSR,0000930413-12-006414,https://www.sec.gov/Archives/edgar/data/1137360/000093041312006414/c71236_ncsr.htm,25,25,"ADI, ALTR, AMAT, AMD, ARMH, ASML, ATML, AVGO, BRCM, CREE, INTC, KLAC, LLTC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, ON, SWKS, TER, TSM, TXN, XLNX","ARM Holdings Plc; ASML Holding N.V.; Advanced Micro Devices, Inc. *; Altera Corp.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corp.; Avago Technologies Ltd.; Broadcom Corp.; Cree, Inc. *; Intel Corp.; KLA-Tencor Corp.; Lam Research Corp.; Linear Technology Corp.; Marvell Technology Group Ltd.; Maxim Integrated Products, Inc.; Microchip Technology, Inc.; Micron Technology, Inc.; NVIDIA Corp.; ON Semiconductor Corp.; Skyworks Solutions, Inc.; Taiwan Semiconductor Manufacturing Co. Ltd.; Teradyne, Inc.; Texas Instruments, Inc.; Xilinx, Inc."
2012-12-31,SEC shareholder/N-Q report,N-Q,0000930413-13-001138,https://www.sec.gov/Archives/edgar/data/1137360/000093041313001138/c72536_n-q.htm,25,25,"ADI, ALTR, AMAT, AMD, ARMH, ASML, ATML, AVGO, BRCM, CREE, INTC, KLAC, LLTC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, ON, SWKS, TER, TSM, TXN, XLNX","ARM Holdings Plc; ASML Holding N.V.; Advanced Micro Devices, Inc. *; Altera Corp.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corp.; Avago Technologies Ltd.; Broadcom Corp.; Cree, Inc. *; Intel Corp.; KLA-Tencor Corp.; Lam Research Corp.; Linear Technology Corp.; Marvell Technology Group Ltd.; Maxim Integrated Products, Inc.; Microchip Technology, Inc.; Micron Technology, Inc.; NVIDIA Corp.; ON Semiconductor Corp.; Skyworks Solutions, Inc.; Taiwan Semiconductor Manufacturing Co. Ltd.; Teradyne, Inc.; Texas Instruments, Inc.; Xilinx, Inc."
2013-03-31,SEC shareholder/N-Q report,N-CSRS,0000930413-13-003273,https://www.sec.gov/Archives/edgar/data/1137360/000093041313003273/c73670_ncsrs.htm,25,25,"ADI, ALTR, AMAT, AMD, ARMH, ASML, ATML, AVGO, BRCM, CREE, INTC, KLAC, LLTC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, ON, SWKS, TER, TSM, TXN, XLNX","ARM Holdings Plc; ASML Holding N.V.; Advanced Micro Devices, Inc. *; Altera Corp.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corp.; Avago Technologies Ltd.; Broadcom Corp.; Cree, Inc.; Intel Corp.; KLA-Tencor Corp.; Lam Research Corp.; Linear Technology Corp.; Marvell Technology Group Ltd.; Maxim Integrated Products, Inc.; Microchip Technology, Inc.; Micron Technology, Inc.; NVIDIA Corp.; ON Semiconductor Corp.; Skyworks Solutions, Inc.; Taiwan Semiconductor Manufacturing Co. Ltd.; Teradyne, Inc.; Texas Instruments, Inc.; Xilinx, Inc."
2013-06-30,SEC shareholder/N-Q report,N-Q,0000930413-13-004415,https://www.sec.gov/Archives/edgar/data/1137360/000093041313004415/c74739_n-q.htm,25,25,"ADI, ALTR, AMAT, AMD, ARMH, ASML, ATML, AVGO, BRCM, CREE, INTC, KLAC, LLTC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, ON, SWKS, TER, TSM, TXN, XLNX","ARM Holdings Plc; ASML Holding N.V.; Advanced Micro Devices, Inc. *; Altera Corp.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corp.; Avago Technologies Ltd.; Broadcom Corp.; Cree, Inc.; Intel Corp.; KLA-Tencor Corp.; Lam Research Corp.; Linear Technology Corp.; Marvell Technology Group Ltd.; Maxim Integrated Products, Inc.; Microchip Technology, Inc.; Micron Technology, Inc.; NVIDIA Corp.; ON Semiconductor Corp.; Skyworks Solutions, Inc.; Taiwan Semiconductor Manufacturing Co. Ltd.; Teradyne, Inc.; Texas Instruments, Inc.; Xilinx, Inc."
2013-09-30,SEC shareholder/N-Q report,N-CSR,0000930413-13-005688,https://www.sec.gov/Archives/edgar/data/1137360/000093041313005688/c75204_ncsr.htm,25,25,"ADI, ALTR, AMAT, AMD, ARMH, ASML, ATML, AVGO, BRCM, CREE, INTC, KLAC, LLTC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, ON, SWKS, TER, TSM, TXN, XLNX","ARM Holdings Plc; ASML Holding N.V.; Advanced Micro Devices, Inc.; Altera Corp.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corp.; Avago Technologies Ltd.; Broadcom Corp.; Cree, Inc.; Intel Corp.; KLA-Tencor Corp.; Lam Research Corp.; Linear Technology Corp.; Marvell Technology Group Ltd.; Maxim Integrated Products, Inc.; Microchip Technology, Inc.; Micron Technology, Inc.; NVIDIA Corp.; ON Semiconductor Corp.; Skyworks Solutions, Inc.; Taiwan Semiconductor Manufacturing Co. Ltd.; Teradyne, Inc.; Texas Instruments, Inc.; Xilinx, Inc."
2013-12-31,SEC shareholder/N-Q report,N-Q,0000930413-14-000847,https://www.sec.gov/Archives/edgar/data/1137360/000093041314000847/c76524_nq.htm,25,25,"ADI, ALTR, AMAT, AMD, ARMH, ASML, ATML, AVGO, BRCM, CREE, INTC, KLAC, LLTC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, ON, SWKS, TER, TSM, TXN, XLNX","ARM Holdings Plc; ASML Holding N.V.; Advanced Micro Devices, Inc. *; Altera Corp.; Analog Devices, Inc.; Applied Materials, Inc.; Atmel Corp.; Avago Technologies Ltd.; Broadcom Corp.; Cree, Inc.; Intel Corp.; KLA-Tencor Corp.; Lam Research Corp.; Linear Technology Corp.; Marvell Technology Group Ltd.; Maxim Integrated Products, Inc.; Microchip Technology, Inc.; Micron Technology, Inc.; NVIDIA Corp.; ON Semiconductor Corp.; Skyworks Solutions, Inc.; Taiwan Semiconductor Manufacturing Co. Ltd.; Teradyne, Inc.; Texas Instruments, Inc.; Xilinx, Inc."
2014-03-31,SEC shareholder/N-Q report,N-CSRS,0000930413-14-002765,https://www.sec.gov/Archives/edgar/data/1137360/000093041314002765/c77036_ncsrs.htm,25,25,"ADI, ALTR, AMAT, AMD, ARMH, ASML, AVGO, BRCM, CREE, INTC, KLAC, LLTC, LRCX, MCHP, MRVL, MU, MXIM, NVDA, NXPI, ON, SWKS, TER, TSM, TXN, XLNX","ARM Holdings Plc; ASML Holding N.V.; Advanced Micro Devices, Inc. *; Altera Corp.; Analog Devices, Inc.; Applied Materials, Inc.; Avago Technologies Ltd.; Broadcom Corp.; Cree, Inc.; Intel Corp.; KLA-Tencor Corp.; Lam Research Corp.; Linear Technology Corp.; Marvell Technology Group Ltd.; Maxim Integrated Products, Inc.; Microchip Technology, Inc.; Micron Technology, Inc.; NVIDIA Corp.; NXP Semiconductor NV; ON Semiconductor Corp.; Skyworks Solutions, Inc.; Taiwan Semiconductor Manufacturing Co. Ltd.; Teradyne, Inc. *; Texas Instruments, Inc.; Xilinx, Inc."
