date,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2026-01-02,SELL_EXTRAS,SOXL,1.0,47.24,,,,3.0,extra shares profit >= 15%
2026-01-08,BUY_EXTRA_1,SOXL,2.0,49.65,-8.07,,,,
2026-01-15,SELL_EXTRAS,SOXL,1.0,58.08,,,,2.0,extra shares profit >= 15%
2026-01-30,BUY_EXTRA_1,SOXL,2.0,61.79,-12.32,,,,
2026-02-04,BUY_EXTRA_2,SOXL,3.0,53.19,-24.52,,,,
2026-02-11,SELL_EXTRAS,SOXL,1.0,68.05,,,,3.0,extra shares profit >= 15%
2026-02-12,BUY_EXTRA_1,SOXL,2.0,63.1,-10.46,,,,
2026-03-03,BUY_EXTRA_2,SOXL,3.0,53.42,-25.66,,,,
2026-03-13,SELL_EXTRAS,SOXL,1.0,50.72,,,,3.0,extra shares max holding days 20
2026-03-13,BUY_EXTRA_1,SOXL,2.0,50.72,-29.42,,,,
2026-03-16,BUY_EXTRA_2,SOXL,3.0,53.69,-25.29,,,,
2026-04-08,SELL_EXTRAS,SOXL,1.0,67.5,,,,3.0,extra shares profit >= 15%
2026-04-08,BUY_EXTRA_1,SOXL,2.0,67.5,-6.07,,,,
2026-04-13,SELL_EXTRAS,SOXL,1.0,80.56,,,,2.0,extra shares profit >= 15%
2026-04-28,BUY_EXTRA_1,SOXL,2.0,109.56,-14.62,,,,
2026-04-30,SELL_EXTRAS,SOXL,1.0,126.98,,,,2.0,extra shares profit >= 15%
2026-05-07,BUY_EXTRA_1,SOXL,2.0,152.1,-8.29,,,,
2026-05-08,SELL_EXTRAS,SOXL,1.0,176.94,,,,2.0,extra shares profit >= 15%
2026-05-12,BUY_EXTRA_1,SOXL,2.0,172.52,-9.4,,,,
2026-05-18,BUY_EXTRA_2,SOXL,3.0,151.75,-20.31,,,,
