entry_date,exit_date,trading_days,calendar_days,return_pct
2018-06-01,2018-09-04,66,96,-2.311081055200581
2018-10-01,2018-11-01,24,32,-26.632458682698335
2019-02-01,2019-06-03,84,123,-2.6687750238357566
2019-07-01,2019-08-01,23,32,1.0418532929896918
2019-09-03,2020-03-02,125,182,53.81047962221701
2020-07-01,2021-06-01,231,336,219.0723115217621
2021-07-01,2021-10-01,65,93,-5.872708657468273
2021-11-01,2022-02-01,64,93,-8.084120416759921
2023-02-01,2023-05-01,62,90,-12.606531676458832
2023-06-01,2023-10-02,85,124,-13.62297209159593
2024-01-02,2024-06-03,106,154,73.43086611370539
2024-07-01,2024-09-03,45,65,-45.68279970734766
2025-07-01,2026-05-19,223,323,514.8690260576603
