entry_date,exit_date,trading_days,calendar_days
2018-06-01,2018-07-02,22,32
2018-07-02,2018-08-01,22,31
2018-08-01,2018-09-04,24,35
2018-10-01,2018-11-01,24,32
2019-02-01,2019-03-01,20,29
2019-03-01,2019-04-01,22,32
2019-04-01,2019-05-01,22,31
2019-05-01,2019-06-03,23,34
2019-07-01,2019-08-01,23,32
2019-09-03,2019-10-01,21,29
2019-10-01,2019-11-01,24,32
2019-11-01,2019-12-02,21,32
2019-12-02,2020-01-02,22,32
2020-01-02,2020-02-03,22,33
2020-02-03,2020-03-02,20,29
2020-07-01,2020-08-03,23,34
2020-08-03,2020-09-01,22,30
2020-09-01,2020-10-01,22,31
2020-10-01,2020-11-02,23,33
2020-11-02,2020-12-01,21,30
2020-12-01,2021-01-04,23,35
2021-01-04,2021-02-01,20,29
2021-02-01,2021-03-01,20,29
2021-03-01,2021-04-01,24,32
2021-04-01,2021-05-03,22,33
2021-05-03,2021-06-01,21,30
2021-07-01,2021-08-02,22,33
2021-08-02,2021-09-01,23,31
2021-09-01,2021-10-01,22,31
2021-11-01,2021-12-01,22,31
2021-12-01,2022-01-03,23,34
2022-01-03,2022-02-01,21,30
2023-02-01,2023-03-01,20,29
2023-03-01,2023-04-03,24,34
2023-04-03,2023-05-01,20,29
2023-06-01,2023-07-03,22,33
2023-07-03,2023-08-01,21,30
2023-08-01,2023-09-01,24,32
2023-09-01,2023-10-02,21,32
2024-01-02,2024-02-01,22,31
2024-02-01,2024-03-01,21,30
2024-03-01,2024-04-01,21,32
2024-04-01,2024-05-01,23,31
2024-05-01,2024-06-03,23,34
2024-07-01,2024-08-01,23,32
2024-08-01,2024-09-03,23,34
2025-07-01,2025-08-01,23,32
2025-08-01,2025-09-02,22,33
2025-09-02,2025-10-01,22,30
2025-10-01,2025-11-03,24,34
2025-11-03,2025-12-01,20,29
2025-12-01,2026-01-02,23,33
2026-01-02,2026-02-02,21,32
2026-02-02,2026-03-02,20,29
2026-03-02,2026-04-01,23,31
2026-04-01,2026-05-01,22,31
2026-05-01,2026-05-19,13,19
