entry_date,exit_date,trading_days,calendar_days,return_pct,exit_reason
2010-06-09,2010-06-14,4,6,17.953051818725907,SMA state exit
2010-11-01,2011-04-13,114,164,43.89993019394862,SMA state exit
2011-06-01,2011-06-08,6,8,-11.851786761327077,10% stop
2011-06-09,2011-06-15,5,7,-8.188472200585162,SMA state exit
2011-10-31,2011-11-17,14,18,-10.279747257196725,10% stop
2011-11-18,2011-11-23,4,6,-17.679882305905092,10% stop
2011-11-25,2011-12-05,7,11,31.44394520490723,SMA state exit
2011-12-12,2011-12-14,3,3,-11.640877162650565,10% stop
2011-12-15,2012-01-04,13,21,14.571797132607433,SMA state exit
2012-02-08,2012-03-05,18,27,-12.35197425764001,10% stop
2012-03-06,2012-04-30,39,56,3.270785678900179,SMA state exit
2012-08-14,2012-09-25,30,43,-15.256350503984262,10% stop
2012-09-26,2012-10-22,19,27,-10.007633277155282,10% stop
2013-01-07,2013-09-26,183,263,86.58494246532815,SMA state exit
2013-10-15,2014-09-11,229,332,116.10563146987917,SMA state exit
2014-10-13,2014-11-04,17,23,58.42440140972356,SMA state exit
2014-12-17,2015-01-30,30,45,-10.944175045621895,10% stop
2015-02-02,2015-02-20,14,19,27.69579409598062,SMA state exit
2015-03-03,2015-03-04,2,2,-0.16308372926808756,SMA state exit
2015-03-05,2015-03-25,15,21,-14.836829932503292,10% stop
2015-03-26,2015-05-08,31,44,10.824234542947586,SMA state exit
2015-06-15,2015-06-29,11,15,-13.988945179529788,10% stop
2015-06-30,2015-07-08,6,9,-10.471076032540072,10% stop
2015-07-09,2015-07-28,14,20,1.2691748559089389,SMA state exit
2015-11-04,2015-11-12,7,9,-10.585746463490441,10% stop
2015-11-13,2016-01-07,37,56,-16.037335369314842,10% stop
2016-01-08,2016-01-13,4,6,-5.79859950951549,SMA state exit
2016-04-01,2016-04-29,21,29,-15.75888859635416,10% stop
2016-05-02,2016-06-10,29,40,23.902002749640026,SMA state exit
2016-07-01,2017-08-16,284,412,273.0192322277899,SMA state exit
2017-09-07,2018-01-30,100,146,72.9866117215725,SMA state exit
2018-02-20,2018-03-28,27,37,-11.071208021533362,10% stop
2018-03-29,2018-04-02,2,5,-11.582241799912808,10% stop
2018-04-03,2018-04-04,2,2,3.814951248392884,SMA state exit
2018-04-24,2018-05-10,13,17,30.209084549708408,SMA state exit
2018-06-19,2018-06-25,5,7,-12.936748303057799,10% stop
2018-06-26,2018-08-10,33,46,2.851942818713926,SMA state exit
2018-09-13,2018-10-05,17,23,-10.508706027110659,10% stop
2018-10-08,2018-10-10,3,3,-13.341359372923067,10% stop
2019-02-22,2019-05-23,64,91,-13.43499895465955,10% stop
2019-05-24,2019-06-24,21,32,23.061555174768355,SMA state exit
2019-08-05,2019-10-03,43,60,23.779937796496032,SMA state exit
2019-10-22,2020-03-09,95,140,-19.253619525050215,10% stop
2020-03-10,2020-03-11,2,2,-16.964882636713252,10% stop
2020-06-03,2020-06-11,7,9,-10.476755477311706,10% stop
2020-06-12,2021-04-06,205,299,296.50962086960647,SMA state exit
2021-04-16,2021-04-20,3,5,-11.789491711054701,10% stop
2021-04-21,2021-04-28,6,8,-3.2638232437229187,SMA state exit
2021-05-20,2021-06-17,20,29,16.3683859013644,SMA state exit
2021-07-20,2021-10-18,64,91,11.789267887674292,SMA state exit
2021-10-29,2022-01-25,60,89,-15.635306474622823,10% stop
2022-01-26,2022-01-27,2,2,-13.675211282222433,10% stop
2022-01-28,2022-02-01,3,5,19.526181399513874,SMA state exit
2022-09-07,2022-09-21,11,15,-11.952922157633717,10% stop
2022-09-22,2022-09-29,6,8,-11.607997373394529,10% stop
2022-09-30,2022-10-05,4,6,28.893895622736167,SMA state exit
2022-12-13,2022-12-15,3,3,-16.360963755683755,10% stop
2022-12-16,2022-12-22,5,7,-11.65717496296066,10% stop
2022-12-23,2023-04-24,82,123,49.96985380993175,SMA state exit
2023-05-11,2023-09-11,84,124,52.687424320884226,SMA state exit
2023-09-15,2023-09-20,4,6,-6.464625734442486,SMA state exit
2023-12-07,2024-05-16,111,162,100.18173771182228,SMA state exit
2024-06-18,2024-06-21,3,4,-10.790921740772074,10% stop
2024-06-24,2024-07-19,19,26,-11.43939767273131,10% stop
2024-07-22,2024-07-24,3,3,-18.949557447955957,10% stop
2024-07-25,2024-08-01,6,8,-12.016098056843171,10% stop
2024-08-02,2024-08-07,4,6,-10.633948752630785,10% stop
2024-08-08,2024-08-19,8,12,32.23140546534709,SMA state exit
2024-10-21,2024-10-31,9,11,-14.249082283495495,10% stop
2024-11-19,2024-12-06,13,18,6.319567680569205,SMA state exit
2025-02-12,2025-02-27,11,16,-21.023961853440387,10% stop
2025-06-20,2026-01-15,145,210,174.77852149381044,SMA state exit
2026-01-21,2026-02-04,11,15,-16.20983142679594,10% stop
2026-02-05,2026-03-06,21,30,-10.065728845730638,10% stop
2026-03-09,2026-03-27,15,19,-12.584394454008219,10% stop
2026-03-30,2026-04-10,9,12,88.06007237406874,SMA state exit
2026-04-21,2026-05-20,22,30,76.57253890765796,open at test end
