Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2020-01-02,100000.0,100000.0,0.0,0,3
2020-01-03,100000.0,100000.0,0.0,0,0
2020-01-06,100204.1253000648,66666.66666666666,33537.45863339815,1,2
2020-01-07,99978.0533710183,33375.566130992,66602.4872400263,2,1
2020-01-08,100881.88499981316,33375.566130992,67506.31886882115,2,1
2020-01-09,102028.41610386077,33375.566130992,68652.84997286876,2,0
2020-01-10,101560.29678796793,33375.566130992,68184.73065697594,2,0
2020-01-13,101029.02327148369,33375.566130992,67653.45714049168,2,1
2020-01-14,100071.76399658003,33375.566130992,66696.19786558802,2,1
2020-01-15,98975.11151013547,33375.566130992,65599.54537914347,2,1
2020-01-16,100694.20683202331,33375.566130992,67318.64070103131,2,0
2020-01-17,100438.40176912004,33375.566130992,67062.83563812805,2,0
2020-01-21,99632.13572745703,33375.566130992,66256.56959646502,2,1
2020-01-22,100072.97194073338,33375.566130992,66697.40580974138,2,1
2020-01-23,99303.56823444701,33375.566130992,65928.00210345502,2,1
2020-01-24,98135.23044699227,33375.566130992,64759.66431600026,2,0
2020-01-27,95689.64563570623,63575.467588020234,32114.17804768599,1,2
2020-01-28,96553.7374979465,63575.467588020234,32978.26990992626,1,2
2020-01-29,96105.63039481902,63575.467588020234,32530.162806798777,1,2
2020-01-30,95214.23602194845,63575.467588020234,31638.768433928213,1,0
2020-01-31,94473.82178483094,63575.467588020234,30898.354196810717,1,0
2020-02-03,94375.84903970854,63575.467588020234,30800.381451688303,1,2
2020-02-04,95193.36175193034,63575.467588020234,31617.894163910107,1,2
2020-02-05,96738.43222004527,63575.467588020234,33162.96463202504,1,2
2020-02-06,97602.52947058447,63575.467588020234,34027.06188256423,1,0
2020-02-07,97130.32858883386,63575.467588020234,33554.861000813624,1,0
2020-02-10,97355.18769108622,63575.467588020234,33779.720103065985,1,2
2020-02-11,98135.75014346054,63575.467588020234,34560.2825554403,1,2
2020-02-12,99321.06275169834,63575.467588020234,35745.59516367811,1,2
2020-02-13,99213.45033980711,63575.467588020234,35637.982751786876,1,0
2020-02-14,98964.50284723056,63575.467588020234,35389.035259210315,1,0
2020-02-18,99972.1311831323,30501.10515054474,69471.02603258756,2,1
