Variant,StopMode_IS,AtrMult_IS,UseTarget_IS,TrailMode_IS,TimeStopDays_IS,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,StopMode_OOS,AtrMult_OOS,UseTarget_OOS,TrailMode_OOS,TimeStopDays_OOS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
wider_3.5x_target_60d,wider,3.5,True,none,60,378.61,16.97,-42.65,0.832,32,59.38,wider,3.5,True,none,60,-30.18,-5.46,-50.91,-0.133,23,52.17,True
wider_3.5x_no_target_60d,wider,3.5,False,none,60,378.61,16.97,-42.65,0.832,32,59.38,wider,3.5,False,none,60,-30.18,-5.46,-50.91,-0.133,23,52.17,True
wider_1.5x_target_60d,wider,1.5,True,none,60,372.52,16.82,-42.62,0.828,32,59.38,wider,1.5,True,none,60,-41.28,-7.98,-56.2,-0.258,24,45.83,True
wider_1.5x_no_target_60d,wider,1.5,False,none,60,372.52,16.82,-42.62,0.828,32,59.38,wider,1.5,False,none,60,-41.28,-7.98,-56.2,-0.258,24,45.83,True
wider_2x_target_60d,wider,2.0,True,none,60,372.52,16.82,-42.62,0.828,32,59.38,wider,2.0,True,none,60,-41.28,-7.98,-56.2,-0.258,24,45.83,True
wider_2x_no_target_60d,wider,2.0,False,none,60,372.52,16.82,-42.62,0.828,32,59.38,wider,2.0,False,none,60,-41.28,-7.98,-56.2,-0.258,24,45.83,True
wider_2.5x_target_60d,wider,2.5,True,none,60,372.52,16.82,-42.62,0.828,32,59.38,wider,2.5,True,none,60,-41.28,-7.98,-56.2,-0.258,24,45.83,True
wider_2.5x_no_target_60d,wider,2.5,False,none,60,372.52,16.82,-42.62,0.828,32,59.38,wider,2.5,False,none,60,-41.28,-7.98,-56.2,-0.258,24,45.83,True
wider_3x_target_60d,wider,3.0,True,none,60,369.03,16.74,-42.62,0.825,32,59.38,wider,3.0,True,none,60,-42.49,-8.28,-57.1,-0.272,24,45.83,True
wider_3x_no_target_60d,wider,3.0,False,none,60,369.03,16.74,-42.62,0.825,32,59.38,wider,3.0,False,none,60,-42.49,-8.28,-57.1,-0.272,24,45.83,True
atr_2x_target_60d,atr,2.0,True,none,60,251.36,13.41,-31.68,0.754,38,39.47,atr,2.0,True,none,60,-2.85,-0.45,-42.33,0.084,35,28.57,True
atr_2x_no_target_60d,atr,2.0,False,none,60,251.36,13.41,-31.68,0.754,38,39.47,atr,2.0,False,none,60,-2.85,-0.45,-42.33,0.084,35,28.57,True
tighter_2x_target_60d,tighter,2.0,True,none,60,251.36,13.41,-31.68,0.754,38,39.47,tighter,2.0,True,none,60,-2.85,-0.45,-42.33,0.084,35,28.57,True
tighter_2x_no_target_60d,tighter,2.0,False,none,60,251.36,13.41,-31.68,0.754,38,39.47,tighter,2.0,False,none,60,-2.85,-0.45,-42.33,0.084,35,28.57,True
atr_1.5x_target_60d,atr,1.5,True,none,60,199.7,11.62,-29.87,0.687,44,29.55,atr,1.5,True,none,60,4.71,0.72,-37.44,0.133,39,23.08,True
atr_1.5x_no_target_60d,atr,1.5,False,none,60,199.7,11.62,-29.87,0.687,44,29.55,atr,1.5,False,none,60,-3.32,-0.53,-38.15,0.068,39,20.51,True
tighter_1.5x_target_60d,tighter,1.5,True,none,60,199.7,11.62,-29.87,0.687,44,29.55,tighter,1.5,True,none,60,4.71,0.72,-37.44,0.133,39,23.08,True
tighter_1.5x_no_target_60d,tighter,1.5,False,none,60,199.7,11.62,-29.87,0.687,44,29.55,tighter,1.5,False,none,60,-3.32,-0.53,-38.15,0.068,39,20.51,True
atr_2.5x_target_60d,atr,2.5,True,none,60,194.06,11.4,-35.95,0.653,37,40.54,atr,2.5,True,none,60,-39.09,-7.45,-54.13,-0.232,32,28.12,True
atr_2.5x_no_target_60d,atr,2.5,False,none,60,194.06,11.4,-35.95,0.653,37,40.54,atr,2.5,False,none,60,-39.09,-7.45,-54.13,-0.232,32,28.12,True
tighter_2.5x_target_60d,tighter,2.5,True,none,60,194.06,11.4,-35.95,0.653,37,40.54,tighter,2.5,True,none,60,-39.09,-7.45,-54.13,-0.232,32,28.12,True
tighter_2.5x_no_target_60d,tighter,2.5,False,none,60,194.06,11.4,-35.95,0.653,37,40.54,tighter,2.5,False,none,60,-39.09,-7.45,-54.13,-0.232,32,28.12,True
tighter_3x_target_60d,tighter,3.0,True,none,60,171.2,10.51,-39.99,0.602,36,44.44,tighter,3.0,True,none,60,-12.73,-2.1,-50.02,0.016,27,40.74,False
tighter_3x_no_target_60d,tighter,3.0,False,none,60,171.2,10.51,-39.99,0.602,36,44.44,tighter,3.0,False,none,60,-12.73,-2.1,-50.02,0.016,27,40.74,False
atr_3x_target_60d,atr,3.0,True,none,60,169.19,10.42,-39.99,0.598,36,44.44,atr,3.0,True,none,60,-14.38,-2.4,-50.97,0.002,27,40.74,False
atr_3x_no_target_60d,atr,3.0,False,none,60,169.19,10.42,-39.99,0.598,36,44.44,atr,3.0,False,none,60,-14.38,-2.4,-50.97,0.002,27,40.74,False
atr_3.5x_target_60d,atr,3.5,True,none,60,158.14,9.96,-43.82,0.575,35,45.71,atr,3.5,True,none,60,-34.92,-6.49,-57.22,-0.194,25,40.0,False
atr_3.5x_no_target_60d,atr,3.5,False,none,60,158.14,9.96,-43.82,0.575,35,45.71,atr,3.5,False,none,60,-34.92,-6.49,-57.22,-0.194,25,40.0,False
tighter_3.5x_target_60d,tighter,3.5,True,none,60,154.85,9.82,-43.79,0.57,35,45.71,tighter,3.5,True,none,60,-29.35,-5.28,-55.41,-0.137,25,40.0,False
tighter_3.5x_no_target_60d,tighter,3.5,False,none,60,154.85,9.82,-43.79,0.57,35,45.71,tighter,3.5,False,none,60,-29.35,-5.28,-55.41,-0.137,25,40.0,False
