Variant,StopMode_IS,AtrMult_IS,UseTarget_IS,TrailMode_IS,TimeStopDays_IS,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,StopMode_OOS,AtrMult_OOS,UseTarget_OOS,TrailMode_OOS,TimeStopDays_OOS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
atr_3x_no_target_60d,atr,3.0,False,none,60,219.61,12.34,-18.45,0.911,108,49.07,atr,3.0,False,none,60,89.99,10.54,-22.17,0.744,75,44.0,True
tighter_3x_no_target_60d,tighter,3.0,False,none,60,213.74,12.13,-18.12,0.898,109,48.62,tighter,3.0,False,none,60,90.1,10.55,-22.17,0.744,75,44.0,True
tighter_3.5x_no_target_60d,tighter,3.5,False,none,60,198.16,11.56,-18.48,0.846,105,51.43,tighter,3.5,False,none,60,129.63,13.86,-15.15,0.929,72,51.39,True
atr_3.5x_no_target_60d,atr,3.5,False,none,60,193.57,11.39,-18.48,0.83,105,51.43,atr,3.5,False,none,60,134.36,14.22,-15.92,0.937,72,51.39,True
atr_3x_target_60d,atr,3.0,True,none,60,189.3,11.22,-18.45,0.843,110,49.09,atr,3.0,True,none,60,113.19,12.55,-22.17,0.83,76,44.74,True
tighter_3x_target_60d,tighter,3.0,True,none,60,183.98,11.02,-18.12,0.83,111,48.65,tighter,3.0,True,none,60,113.31,12.56,-22.17,0.831,76,44.74,False
tighter_3.5x_target_60d,tighter,3.5,True,none,60,178.18,10.79,-18.48,0.8,106,50.94,tighter,3.5,True,none,60,157.88,15.94,-15.15,1.007,73,52.05,False
atr_3.5x_target_60d,atr,3.5,True,none,60,173.9,10.61,-18.48,0.784,106,50.94,atr,3.5,True,none,60,162.99,16.3,-15.92,1.014,73,52.05,False
wider_1.5x_target_60d,wider,1.5,True,none,60,141.34,9.22,-20.81,0.686,99,53.54,wider,1.5,True,none,60,118.3,12.97,-24.16,0.846,70,55.71,False
wider_1.5x_no_target_60d,wider,1.5,False,none,60,141.34,9.22,-20.81,0.686,99,53.54,wider,1.5,False,none,60,94.27,10.93,-24.16,0.759,69,55.07,False
wider_2x_target_60d,wider,2.0,True,none,60,141.34,9.22,-20.81,0.686,99,53.54,wider,2.0,True,none,60,118.3,12.97,-24.16,0.846,70,55.71,False
wider_2x_no_target_60d,wider,2.0,False,none,60,141.34,9.22,-20.81,0.686,99,53.54,wider,2.0,False,none,60,94.27,10.93,-24.16,0.759,69,55.07,False
wider_2.5x_target_60d,wider,2.5,True,none,60,141.22,9.22,-20.81,0.685,99,53.54,wider,2.5,True,none,60,118.3,12.97,-24.16,0.846,70,55.71,False
wider_2.5x_no_target_60d,wider,2.5,False,none,60,141.22,9.22,-20.81,0.685,99,53.54,wider,2.5,False,none,60,94.27,10.93,-24.16,0.759,69,55.07,False
wider_3x_target_60d,wider,3.0,True,none,60,139.35,9.13,-20.81,0.68,99,53.54,wider,3.0,True,none,60,118.06,12.95,-24.16,0.844,70,55.71,False
wider_3x_no_target_60d,wider,3.0,False,none,60,139.35,9.13,-20.81,0.68,99,53.54,wider,3.0,False,none,60,94.06,10.91,-24.16,0.757,69,55.07,False
wider_3.5x_target_60d,wider,3.5,True,none,60,135.2,8.94,-20.81,0.665,99,53.54,wider,3.5,True,none,60,113.31,12.56,-24.82,0.822,70,55.71,False
wider_3.5x_no_target_60d,wider,3.5,False,none,60,135.2,8.94,-20.81,0.665,99,53.54,wider,3.5,False,none,60,89.83,10.53,-24.82,0.734,69,55.07,False
atr_1.5x_no_target_60d,atr,1.5,False,none,60,95.36,6.93,-17.72,0.592,144,25.69,atr,1.5,False,none,60,29.09,4.07,-36.2,0.36,101,21.78,False
tighter_1.5x_no_target_60d,tighter,1.5,False,none,60,95.36,6.93,-17.72,0.592,144,25.69,tighter,1.5,False,none,60,29.09,4.07,-36.2,0.36,101,21.78,False
tighter_2.5x_no_target_60d,tighter,2.5,False,none,60,95.0,6.92,-17.61,0.562,116,39.66,tighter,2.5,False,none,60,51.27,6.68,-29.29,0.522,83,34.94,False
atr_2.5x_no_target_60d,atr,2.5,False,none,60,94.89,6.91,-17.66,0.562,116,39.66,atr,2.5,False,none,60,51.27,6.68,-29.29,0.522,83,34.94,False
