Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2020-01-02,100000.0,100000.0,0.0,0,3
2020-01-03,100000.0,100000.0,0.0,0,0
2020-01-06,100000.0,100000.0,0.0,0,3
2020-01-07,100000.0,100000.0,0.0,0,3
2020-01-08,100000.0,100000.0,0.0,0,3
2020-01-09,100000.0,100000.0,0.0,0,0
2020-01-10,100000.0,100000.0,0.0,0,0
2020-01-13,100000.0,100000.0,0.0,0,3
2020-01-14,100234.26553264365,66666.66666666666,33567.598865976994,1,2
2020-01-15,100304.99545901573,66666.66666666666,33638.32879234907,1,2
2020-01-16,100406.03961099319,66666.66666666666,33739.37294432653,1,0
2020-01-17,100375.73273547887,66666.66666666666,33709.06606881222,1,0
2020-01-21,100734.44168002618,66666.66666666666,34067.775013359525,1,2
2020-01-22,100734.44168002618,66666.66666666666,34067.775013359525,1,2
2020-01-23,100451.51707447716,66666.66666666666,33784.850407810496,1,2
2020-01-24,99046.05498115295,99046.05498115295,0.0,0,0
2020-01-27,99046.05498115295,99046.05498115295,0.0,0,3
2020-01-28,99046.05498115295,99046.05498115295,0.0,0,3
2020-01-29,99046.05498115295,99046.05498115295,0.0,0,3
2020-01-30,99046.05498115295,99046.05498115295,0.0,0,0
2020-01-31,99046.05498115295,99046.05498115295,0.0,0,0
2020-02-03,99046.05498115295,99046.05498115295,0.0,0,3
2020-02-04,99046.05498115295,99046.05498115295,0.0,0,3
2020-02-05,99046.05498115295,99046.05498115295,0.0,0,3
2020-02-06,99046.05498115295,99046.05498115295,0.0,0,0
2020-02-07,99046.05498115295,99046.05498115295,0.0,0,0
2020-02-10,99046.05498115295,99046.05498115295,0.0,0,3
2020-02-11,99046.05498115295,99046.05498115295,0.0,0,3
2020-02-12,99046.05498115295,99046.05498115295,0.0,0,3
2020-02-13,99046.05498115295,99046.05498115295,0.0,0,0
2020-02-14,99046.05498115295,99046.05498115295,0.0,0,0
2020-02-18,99793.76241911667,66030.70332076863,33763.059098348036,1,2
2020-02-19,99600.5689390585,66030.70332076863,33569.86561828987,1,2
2020-02-20,99873.3023416304,66030.70332076863,33842.59902086177,1,2
2020-02-21,100475.6095343803,66030.70332076863,34444.90621361167,1,0
