Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
BMY,2020-01-10,2020-01-14,2020-01-24,51.9,50.4147,642.260758,-953.95,-2.86,stop,79.88,51.9,68.27,50.4147,10
KR,2020-02-14,2020-02-18,2020-02-28,25.45,24.279,1297.263327,-1519.08,-4.6,stop,85.94,25.45,33.28,24.279,10
EXPD,2020-07-31,2020-08-03,2020-08-05,79.71,76.7499,380.868041,-1127.42,-3.71,stop,82.9,79.71,106.83,76.7499,2
ADSK,2020-05-22,2020-05-28,2020-08-20,199.59,249.15,162.878865,8072.28,24.83,time_stop,65.73,199.59,259.75,185.7657,84
EW,2020-08-28,2020-08-31,2020-09-11,84.6,81.2043,424.854238,-1442.68,-4.01,stop,80.41,84.6,115.64,81.2043,11
CMCSA,2020-09-11,2020-09-16,2020-09-21,36.4,34.7168,938.471524,-1579.64,-4.62,stop,78.27,36.4,48.38,34.7168,5
CAG,2020-06-26,2020-06-30,2020-09-23,26.5,25.6564,1307.886561,-1103.38,-3.18,time_stop,78.84,26.5,35.92,24.892,85
CSX,2020-09-11,2020-09-15,2020-12-08,24.29,28.3359,1408.390046,5698.17,16.66,time_stop,78.73,24.29,32.64,23.0754,84
IRM,2021-01-22,2021-01-25,2021-01-27,24.56,32.68,1622.333488,13173.35,33.06,target,84.77,24.56,32.68,22.8639,2
NWL,2020-10-30,2020-11-03,2021-01-29,14.19,18.6299,2414.037239,10718.17,31.29,time_stop,71.03,14.19,20.44,13.2419,87
HST,2021-02-12,2021-02-16,2021-05-11,12.49,13.8953,3467.729279,4873.19,11.25,time_stop,75.17,12.49,16.77,11.5495,84
CVX,2021-02-12,2021-02-17,2021-05-12,76.43,86.3974,571.490288,5696.29,13.04,time_stop,71.06,76.43,101.9,72.6546,84
HIG,2021-03-12,2021-03-15,2021-06-08,50.5,59.8771,850.393557,7974.21,18.57,time_stop,72.57,50.5,67.2,47.5425,85
BXP,2021-05-14,2021-05-18,2021-08-11,85.39,92.0076,577.174953,3819.51,7.75,time_stop,77.1,85.39,117.07,81.364,85
HII,2021-10-08,2021-10-11,2021-11-02,188.29,180.2732,269.617827,-2161.48,-4.26,stop,74.9,188.29,254.05,180.2732,22
PAYC,2021-10-29,2021-11-02,2021-11-03,535.14,513.4524,93.519167,-2028.21,-4.05,stop,76.66,535.14,730.89,513.4524,1
EOG,2022-01-14,2022-01-18,2022-01-21,87.34,82.1218,565.259648,-2949.62,-5.97,stop,60.57,87.34,115.85,82.1218,3
CI,2022-09-09,2022-09-12,2022-09-14,276.36,266.2802,175.085295,-1764.83,-3.65,stop,82.65,276.36,363.54,266.2802,2
KEYS,2022-11-25,2022-11-30,2022-12-22,177.92,168.6834,269.689872,-2491.01,-5.19,stop,79.06,177.92,232.48,168.6834,22
IT,2022-11-25,2022-11-30,2023-01-05,346.35,330.4814,138.005759,-2189.95,-4.58,stop,83.34,346.35,471.31,330.4814,36
SYK,2023-01-06,2023-01-09,2023-04-04,249.81,278.8692,185.092566,5378.64,11.63,time_stop,83.84,249.81,327.68,239.894,85
ITW,2023-04-28,2023-05-01,2023-05-02,228.37,220.8884,213.265235,-1595.57,-3.28,stop,85.88,228.37,298.0,220.8884,1
XRAY,2023-04-28,2023-05-02,2023-05-03,38.81,37.5779,1235.962208,-1522.8,-3.17,stop,83.97,38.81,51.85,37.5779,1
HCA,2023-04-07,2023-04-11,2023-05-24,266.25,257.7724,180.397569,-1529.35,-3.18,stop,83.76,266.25,369.0,257.7724,43
CRM,2023-05-26,2023-05-30,2023-06-01,213.02,203.8968,218.203046,-1990.71,-4.28,stop,78.45,213.02,285.62,203.8968,2
MCO,2023-07-21,2023-07-25,2023-07-27,352.63,341.9955,129.030778,-1372.18,-3.02,stop,79.7,352.63,472.29,341.9955,2
TTWO,2023-07-07,2023-07-11,2023-08-04,149.04,143.5714,309.55422,-1692.82,-3.67,stop,77.71,149.04,193.86,143.5714,24
FDX,2023-07-07,2023-07-11,2023-10-03,239.01,246.8898,191.699268,1510.56,3.3,time_stop,78.56,239.01,329.09,228.6749,84
GPN,2024-02-09,2024-02-14,2024-02-20,134.42,128.3301,349.71267,-2129.7,-4.53,stop,83.1,134.42,175.04,128.3301,6
ALL,2023-12-29,2024-01-04,2024-04-01,138.58,165.9025,326.886231,8931.35,19.72,time_stop,79.57,138.58,182.47,133.5715,88
JCI,2024-05-17,2024-05-20,2024-07-01,67.7,64.4002,702.616102,-2318.47,-4.87,stop,75.99,67.7,88.92,64.4002,42
EXR,2024-06-14,2024-06-18,2024-09-12,146.6,164.2537,323.857454,5717.28,12.04,time_stop,79.0,146.6,201.25,139.1651,86
PNC,2024-07-12,2024-07-15,2024-10-07,158.28,171.6182,298.279903,3978.52,8.43,time_stop,82.04,158.28,209.47,152.4634,84
PAYC,2025-02-21,2025-02-24,2025-03-06,215.2,201.2844,243.632021,-3390.3,-6.47,stop,80.81,215.2,290.55,201.2844,10
JBL,2024-12-13,2024-12-18,2025-03-10,138.81,132.4344,360.393474,-2297.73,-4.59,stop,82.86,138.81,184.15,132.4344,82
DG,2025-05-16,2025-05-20,2025-08-14,94.97,112.9904,506.793836,9132.62,18.97,time_stop,65.88,94.97,125.25,89.0194,86
CDNS,2025-07-25,2025-07-29,2025-10-21,335.16,333.45,148.78886,-254.43,-0.51,time_stop,86.92,335.16,443.69,316.7757,84
J,2025-10-10,2025-10-15,2025-11-14,156.61,150.228,323.260866,-2063.05,-4.08,stop,77.87,156.61,203.61,150.228,30
HST,2025-11-07,2025-11-10,2025-11-17,17.61,16.6686,2879.240447,-2710.52,-5.35,stop,79.82,17.61,23.29,16.6686,7
A,2025-11-21,2025-11-24,2025-12-04,152.05,144.2503,325.540424,-2539.1,-5.13,stop,81.89,152.05,205.3,144.2503,10
TMO,2026-01-02,2026-01-05,2026-01-29,601.27,581.1827,80.915485,-1625.37,-3.34,stop,84.77,601.27,825.04,581.1827,24
HUBB,2026-01-30,2026-02-03,2026-02-04,498.46,469.8131,94.343942,-2702.67,-5.75,stop,78.65,498.46,667.6,469.8131,1
BG,2026-01-09,2026-01-14,2026-03-27,98.95,129.56,489.141024,14972.61,30.93,target,90.48,98.95,129.56,94.1622,72
HAL,2026-01-02,2026-01-05,2026-03-31,29.75,38.99,1643.81859,15188.89,31.06,time_stop,82.86,29.75,41.25,27.9956,85
