Variant,StopMode_IS,AtrMult_IS,UseTarget_IS,TrailMode_IS,TimeStopDays_IS,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,StopMode_OOS,AtrMult_OOS,UseTarget_OOS,TrailMode_OOS,TimeStopDays_OOS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
atr_2x_target_60d,atr,2.0,True,none,60,101.85,7.29,-13.89,0.748,58,46.55,atr,2.0,True,none,60,71.79,8.82,-13.32,0.875,44,36.36,False
atr_2x_no_target_60d,atr,2.0,False,none,60,101.85,7.29,-13.89,0.748,58,46.55,atr,2.0,False,none,60,59.78,7.59,-13.32,0.77,43,34.88,False
tighter_2x_target_60d,tighter,2.0,True,none,60,101.85,7.29,-13.89,0.748,58,46.55,tighter,2.0,True,none,60,71.79,8.82,-13.32,0.875,44,36.36,False
tighter_2x_no_target_60d,tighter,2.0,False,none,60,101.85,7.29,-13.89,0.748,58,46.55,tighter,2.0,False,none,60,59.78,7.59,-13.32,0.77,43,34.88,False
atr_3x_target_60d,atr,3.0,True,none,60,89.29,6.6,-15.57,0.645,56,53.57,atr,3.0,True,none,60,55.06,7.09,-21.85,0.685,38,42.11,False
atr_3x_no_target_60d,atr,3.0,False,none,60,89.29,6.6,-15.57,0.645,56,53.57,atr,3.0,False,none,60,44.15,5.88,-21.85,0.583,37,40.54,False
wider_3x_target_60d,wider,3.0,True,none,60,89.15,6.59,-17.43,0.611,52,63.46,wider,3.0,True,none,60,65.8,8.22,-12.76,0.737,37,51.35,False
wider_3x_no_target_60d,wider,3.0,False,none,60,89.15,6.59,-17.43,0.611,52,63.46,wider,3.0,False,none,60,54.15,6.99,-12.76,0.642,36,50.0,False
wider_3.5x_target_60d,wider,3.5,True,none,60,87.24,6.48,-17.43,0.601,52,63.46,wider,3.5,True,none,60,64.32,8.06,-13.28,0.724,37,51.35,False
wider_3.5x_no_target_60d,wider,3.5,False,none,60,87.24,6.48,-17.43,0.601,52,63.46,wider,3.5,False,none,60,52.78,6.84,-13.28,0.63,36,50.0,False
atr_3.5x_target_60d,atr,3.5,True,none,60,86.75,6.45,-16.41,0.621,56,57.14,atr,3.5,True,none,60,69.86,8.63,-12.57,0.792,38,47.37,False
atr_3.5x_no_target_60d,atr,3.5,False,none,60,86.75,6.45,-16.41,0.621,56,57.14,atr,3.5,False,none,60,57.93,7.4,-12.57,0.695,37,45.95,False
tighter_3x_target_60d,tighter,3.0,True,none,60,81.76,6.17,-15.57,0.613,56,51.79,tighter,3.0,True,none,60,55.15,7.1,-21.85,0.686,38,42.11,False
tighter_3x_no_target_60d,tighter,3.0,False,none,60,81.76,6.17,-15.57,0.613,56,51.79,tighter,3.0,False,none,60,44.23,5.89,-21.85,0.584,37,40.54,False
wider_1.5x_target_60d,wider,1.5,True,none,60,81.63,6.16,-17.43,0.58,52,61.54,wider,1.5,True,none,60,65.89,8.22,-12.72,0.738,37,51.35,False
wider_1.5x_no_target_60d,wider,1.5,False,none,60,81.63,6.16,-17.43,0.58,52,61.54,wider,1.5,False,none,60,54.24,7.0,-12.72,0.643,36,50.0,False
wider_2x_target_60d,wider,2.0,True,none,60,81.63,6.16,-17.43,0.58,52,61.54,wider,2.0,True,none,60,65.89,8.22,-12.72,0.738,37,51.35,False
