Symbol,Date,Score,Status,Close,BreakoutLevel,TargetReturnPct,CupLowDate,RightRimDate,HandleLowDate,StopPrice,StockFilterOK,MarketFilterOK,EntryVolumeOK,CloseConfirmed,VolumeNote,CandidateJson
WST,2026-06-03,87.4,awaiting breakout,316.31,330.88,32.4,2026-01-30,2026-05-11,2026-05-14,286.5925,True,True,False,False,volume condition PASS: handle avg volume 0.81x cup avg; handle avg 0.81x cup avg; latest day 0.71x handle avg,"{""score"": 87.4, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 348, ""bottom_idx"": 415, ""right_rim_idx"": 484, ""handle_low_idx"": 487, ""last_idx"": 500, ""left_rim_date"": ""2025-10-23"", ""bottom_date"": ""2026-01-30"", ""right_rim_date"": ""2026-05-11"", ""handle_low_date"": ""2026-05-14"", ""last_date"": ""2026-06-03"", ""left_rim_price"": 321.55, ""bottom_price"": 223.66, ""right_rim_price"": 330.88, ""handle_low_price"": 295.9, ""last_close"": 316.31, ""cup_depth_pct"": 32.4, ""handle_depth_pct_of_cup"": 32.62, ""right_rim_gap_pct"": 2.82, ""cup_width_weeks"": 136, ""handle_width_weeks"": 16, ""breakout_level"": 330.88, ""projected_target"": 438.1, ""volume_note"": ""volume condition PASS: handle avg volume 0.81x cup avg; handle avg 0.81x cup avg; latest day 0.71x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.81x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
GNRC,2026-06-03,76.99,awaiting breakout,285.31,294.18,30.15,2026-04-07,2026-05-14,2026-05-19,237.335,True,True,False,False,volume condition PASS: handle avg volume 0.97x cup avg; handle avg 0.97x cup avg; latest day 1.03x handle avg,"{""score"": 76.99, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 432, ""bottom_idx"": 460, ""right_rim_idx"": 487, ""handle_low_idx"": 490, ""last_idx"": 500, ""left_rim_date"": ""2026-02-25"", ""bottom_date"": ""2026-04-07"", ""right_rim_date"": ""2026-05-14"", ""handle_low_date"": ""2026-05-19"", ""last_date"": ""2026-06-03"", ""left_rim_price"": 241.09, ""bottom_price"": 188.1, ""right_rim_price"": 276.8, ""handle_low_price"": 238.18, ""last_close"": 285.31, ""cup_depth_pct"": 32.04, ""handle_depth_pct_of_cup"": 43.54, ""right_rim_gap_pct"": 12.9, ""cup_width_weeks"": 55, ""handle_width_weeks"": 13, ""breakout_level"": 294.18, ""projected_target"": 382.88, ""volume_note"": ""volume condition PASS: handle avg volume 0.97x cup avg; handle avg 0.97x cup avg; latest day 1.03x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.97x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
NUE,2026-06-03,74.86,near breakout,257.73,261.42,30.92,2026-03-19,2026-05-06,2026-05-19,235.9625,True,True,False,False,volume condition PASS: handle avg volume 0.91x cup avg; handle avg 0.91x cup avg; latest day 0.76x handle avg,"{""score"": 74.86, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 423, ""bottom_idx"": 448, ""right_rim_idx"": 481, ""handle_low_idx"": 490, ""last_idx"": 500, ""left_rim_date"": ""2026-02-11"", ""bottom_date"": ""2026-03-19"", ""right_rim_date"": ""2026-05-06"", ""handle_low_date"": ""2026-05-19"", ""last_date"": ""2026-06-03"", ""left_rim_price"": 196.23, ""bottom_price"": 154.61, ""right_rim_price"": 235.44, ""handle_low_price"": 219.49, ""last_close"": 257.73, ""cup_depth_pct"": 34.33, ""handle_depth_pct_of_cup"": 19.73, ""right_rim_gap_pct"": 16.65, ""cup_width_weeks"": 58, ""handle_width_weeks"": 19, ""breakout_level"": 261.42, ""projected_target"": 342.25, ""volume_note"": ""volume condition PASS: handle avg volume 0.91x cup avg; handle avg 0.91x cup avg; latest day 0.76x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.91x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
ELV,2026-06-03,74.55,awaiting breakout,391.27,408.0,30.77,2026-03-27,2026-05-20,2026-05-26,356.8825,True,True,False,False,volume condition PASS: handle avg volume 0.81x cup avg; handle avg 0.81x cup avg; latest day 0.51x handle avg,"{""score"": 74.55, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 405, ""bottom_idx"": 454, ""right_rim_idx"": 491, ""handle_low_idx"": 494, ""last_idx"": 500, ""left_rim_date"": ""2026-01-15"", ""bottom_date"": ""2026-03-27"", ""right_rim_date"": ""2026-05-20"", ""handle_low_date"": ""2026-05-26"", ""last_date"": ""2026-06-03"", ""left_rim_price"": 380.65, ""bottom_price"": 282.46, ""right_rim_price"": 408.0, ""handle_low_price"": 384.3, ""last_close"": 391.27, ""cup_depth_pct"": 30.77, ""handle_depth_pct_of_cup"": 18.88, ""right_rim_gap_pct"": 6.7, ""cup_width_weeks"": 86, ""handle_width_weeks"": 9, ""breakout_level"": 408.0, ""projected_target"": 533.54, ""volume_note"": ""volume condition PASS: handle avg volume 0.81x cup avg; handle avg 0.81x cup avg; latest day 0.51x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.81x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
APO,2026-06-03,74.2,awaiting breakout,124.35,136.01,37.84,2026-03-03,2026-05-14,2026-06-03,111.1609,True,True,False,False,volume condition PASS: handle avg volume 0.72x cup avg; handle avg 0.72x cup avg; latest day 1.40x handle avg,"{""score"": 74.2, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 383, ""bottom_idx"": 436, ""right_rim_idx"": 487, ""handle_low_idx"": 500, ""last_idx"": 500, ""left_rim_date"": ""2025-12-12"", ""bottom_date"": ""2026-03-03"", ""right_rim_date"": ""2026-05-14"", ""handle_low_date"": ""2026-06-03"", ""last_date"": ""2026-06-03"", ""left_rim_price"": 150.61, ""bottom_price"": 99.14, ""right_rim_price"": 136.01, ""handle_low_price"": 122.43, ""last_close"": 124.35, ""cup_depth_pct"": 34.17, ""handle_depth_pct_of_cup"": 26.37, ""right_rim_gap_pct"": 9.69, ""cup_width_weeks"": 104, ""handle_width_weeks"": 13, ""breakout_level"": 136.01, ""projected_target"": 187.47, ""volume_note"": ""volume condition PASS: handle avg volume 0.72x cup avg; handle avg 0.72x cup avg; latest day 1.40x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.72x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
BEN,2026-06-03,73.74,awaiting breakout,30.37,32.44,31.41,2026-03-27,2026-05-14,2026-06-03,27.8313,True,True,False,False,volume condition PASS: handle avg volume 0.71x cup avg; handle avg 0.71x cup avg; latest day 1.08x handle avg,"{""score"": 73.74, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 423, ""bottom_idx"": 454, ""right_rim_idx"": 487, ""handle_low_idx"": 500, ""last_idx"": 500, ""left_rim_date"": ""2026-02-11"", ""bottom_date"": ""2026-03-27"", ""right_rim_date"": ""2026-05-14"", ""handle_low_date"": ""2026-06-03"", ""last_date"": ""2026-06-03"", ""left_rim_price"": 27.91, ""bottom_price"": 22.25, ""right_rim_price"": 32.44, ""handle_low_price"": 29.72, ""last_close"": 30.37, ""cup_depth_pct"": 31.4, ""handle_depth_pct_of_cup"": 26.75, ""right_rim_gap_pct"": 13.96, ""cup_width_weeks"": 64, ""handle_width_weeks"": 13, ""breakout_level"": 32.44, ""projected_target"": 42.63, ""volume_note"": ""volume condition PASS: handle avg volume 0.71x cup avg; handle avg 0.71x cup avg; latest day 1.08x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.71x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
UNH,2026-06-03,72.51,awaiting breakout,377.0,404.15,34.62,2026-02-05,2026-05-13,2026-06-02,346.63,True,True,False,False,volume condition PASS: handle avg volume 0.75x cup avg; handle avg 0.75x cup avg; latest day 1.04x handle avg,"{""score"": 72.51, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 351, ""bottom_idx"": 419, ""right_rim_idx"": 486, ""handle_low_idx"": 499, ""last_idx"": 500, ""left_rim_date"": ""2025-10-28"", ""bottom_date"": ""2026-02-05"", ""right_rim_date"": ""2026-05-13"", ""handle_low_date"": ""2026-06-02"", ""last_date"": ""2026-06-03"", ""left_rim_price"": 375.54, ""bottom_price"": 264.24, ""right_rim_price"": 404.15, ""handle_low_price"": 374.72, ""last_close"": 377.0, ""cup_depth_pct"": 34.62, ""handle_depth_pct_of_cup"": 21.03, ""right_rim_gap_pct"": 7.08, ""cup_width_weeks"": 135, ""handle_width_weeks"": 14, ""breakout_level"": 404.15, ""projected_target"": 544.06, ""volume_note"": ""volume condition PASS: handle avg volume 0.75x cup avg; handle avg 0.75x cup avg; latest day 1.04x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.75x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
EOG,2026-06-03,72.44,near breakout,141.5,145.7,31.0,2026-01-05,2026-05-20,2026-05-29,128.0688,True,True,False,False,volume condition PASS: handle avg volume 0.79x cup avg; handle avg 0.79x cup avg; latest day 0.88x handle avg,"{""score"": 72.44, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 311, ""bottom_idx"": 397, ""right_rim_idx"": 491, ""handle_low_idx"": 497, ""last_idx"": 500, ""left_rim_date"": ""2025-09-02"", ""bottom_date"": ""2026-01-05"", ""right_rim_date"": ""2026-05-20"", ""handle_low_date"": ""2026-05-29"", ""last_date"": ""2026-06-03"", ""left_rim_price"": 122.79, ""bottom_price"": 100.53, ""right_rim_price"": 145.7, ""handle_low_price"": 132.15, ""last_close"": 141.5, ""cup_depth_pct"": 31.0, ""handle_depth_pct_of_cup"": 30.0, ""right_rim_gap_pct"": 15.73, ""cup_width_weeks"": 180, ""handle_width_weeks"": 9, ""breakout_level"": 145.7, ""projected_target"": 190.87, ""volume_note"": ""volume condition PASS: handle avg volume 0.79x cup avg; handle avg 0.79x cup avg; latest day 0.88x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""prior uptrend is not strong, so continuation quality is weaker"", ""handle avg volume 0.79x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
XYZ,2026-06-03,72.29,awaiting breakout,69.8,77.62,43.15,2026-02-12,2026-05-08,2026-05-22,60.2015,False,True,False,False,volume condition PASS: handle avg volume 0.86x cup avg; handle avg 0.86x cup avg; latest day 1.10x handle avg,"{""score"": 72.29, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 351, ""bottom_idx"": 424, ""right_rim_idx"": 483, ""handle_low_idx"": 493, ""last_idx"": 500, ""left_rim_date"": ""2025-10-28"", ""bottom_date"": ""2026-02-12"", ""right_rim_date"": ""2026-05-08"", ""handle_low_date"": ""2026-05-22"", ""last_date"": ""2026-06-03"", ""left_rim_price"": 81.7, ""bottom_price"": 48.21, ""right_rim_price"": 77.16, ""handle_low_price"": 67.08, ""last_close"": 69.8, ""cup_depth_pct"": 40.99, ""handle_depth_pct_of_cup"": 30.1, ""right_rim_gap_pct"": 5.56, ""cup_width_weeks"": 132, ""handle_width_weeks"": 17, ""breakout_level"": 77.62, ""projected_target"": 111.11, ""volume_note"": ""volume condition PASS: handle avg volume 0.86x cup avg; handle avg 0.86x cup avg; latest day 1.10x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.86x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
IRM,2026-06-03,71.82,awaiting breakout,127.95,134.09,32.71,2025-12-18,2026-04-21,2026-04-28,117.3575,True,True,False,False,volume condition PASS: handle avg volume 0.86x cup avg; handle avg 0.86x cup avg; latest day 0.74x handle avg,"{""score"": 71.82, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 342, ""bottom_idx"": 387, ""right_rim_idx"": 470, ""handle_low_idx"": 475, ""last_idx"": 500, ""left_rim_date"": ""2025-10-15"", ""bottom_date"": ""2025-12-18"", ""right_rim_date"": ""2026-04-21"", ""handle_low_date"": ""2026-04-28"", ""last_date"": ""2026-06-03"", ""left_rim_price"": 106.16, ""bottom_price"": 77.14, ""right_rim_price"": 121.0, ""handle_low_price"": 110.0, ""last_close"": 127.95, ""cup_depth_pct"": 36.25, ""handle_depth_pct_of_cup"": 25.08, ""right_rim_gap_pct"": 12.26, ""cup_width_weeks"": 128, ""handle_width_weeks"": 30, ""breakout_level"": 134.09, ""projected_target"": 177.95, ""volume_note"": ""volume condition PASS: handle avg volume 0.86x cup avg; handle avg 0.86x cup avg; latest day 0.74x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.86x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
