Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2020-01-02,101261.18401614958,66666.66666666666,34594.517349482914,1,2
2020-01-03,100908.89767781377,66666.66666666666,34242.231011147116,1,2
2020-01-06,100760.93806076828,66666.66666666666,34094.271394101626,1,2
2020-01-07,100662.2983160713,66666.66666666666,33995.63164940464,1,2
2020-01-08,100366.37908198033,66666.66666666666,33699.71241531367,1,2
2020-01-09,101169.59150334891,66666.66666666666,34502.92483668226,1,2
2020-01-10,100605.93121182646,66666.66666666666,33939.26454515981,1,2
2020-01-13,101014.5846544071,66666.66666666666,34347.91798774044,1,2
2020-01-14,100634.11476394889,66666.66666666666,33967.44809728223,1,2
2020-01-15,100873.66958152648,66666.66666666666,34207.002914859826,1,2
2020-01-16,101733.24910713991,66666.66666666666,35066.58244047325,1,2
2020-01-17,102550.55330456971,66666.66666666666,35883.886637903044,1,2
2020-01-21,102635.10127320548,66666.66666666666,35968.43460653882,1,2
2020-01-22,102902.8396429055,66666.66666666666,36236.17297623884,1,2
2020-01-23,103100.11913229947,66666.66666666666,36433.45246563282,1,2
2020-01-24,102141.89986198908,66666.66666666666,35475.23319532241,1,2
2020-01-27,101000.49345428834,101000.49345428834,0.0,0,3
2020-01-28,101000.49345428834,101000.49345428834,0.0,0,3
2020-01-29,101000.49345428834,101000.49345428834,0.0,0,3
2020-01-30,101000.49345428834,101000.49345428834,0.0,0,3
2020-01-31,101000.49345428834,101000.49345428834,0.0,0,3
2020-02-03,101000.49345428834,101000.49345428834,0.0,0,3
2020-02-04,101426.39388580085,67333.6623028589,34092.73158294195,1,2
2020-02-05,101103.87743487493,67333.6623028589,33770.215132016034,1,2
2020-02-06,100803.41538480399,67333.6623028589,33469.7530819451,1,2
2020-02-07,100566.35001666506,67333.6623028589,33232.68771380617,1,2
2020-02-10,100591.16386867949,67333.6623028589,33257.50156582059,1,2
2020-02-11,100513.97464393263,67333.6623028589,33180.31234107373,1,2
2020-02-12,101429.15098046912,67333.6623028589,34095.48867761022,1,2
2020-02-13,100836.27124892446,33589.184767395716,67247.08648152875,2,1
2020-02-14,100934.35456708522,33589.184767395716,67345.1697996895,2,1
2020-02-18,100721.3652064954,33589.184767395716,67132.18043909967,2,1
2020-02-19,100519.89481690762,33589.184767395716,66930.7100495119,2,1
2020-02-20,100634.65192413211,33589.184767395716,67045.46715673638,2,0
2020-02-21,98603.33182740149,65950.8086543841,32652.523173017387,1,0
2020-02-24,97760.46249569985,97760.46249569985,0.0,0,3
2020-02-25,97760.46249569985,97760.46249569985,0.0,0,2
2020-02-26,97760.46249569985,97760.46249569985,0.0,0,2
2020-02-27,97760.46249569985,97760.46249569985,0.0,0,1
2020-02-28,97760.46249569985,97760.46249569985,0.0,0,1
2020-03-02,97760.46249569985,97760.46249569985,0.0,0,2
2020-03-03,97760.46249569985,97760.46249569985,0.0,0,1
2020-03-04,97760.46249569985,97760.46249569985,0.0,0,1
2020-03-05,97760.46249569985,97760.46249569985,0.0,0,1
2020-03-06,97760.46249569985,97760.46249569985,0.0,0,1
2020-03-09,97760.46249569985,97760.46249569985,0.0,0,2
2020-03-10,97760.46249569985,97760.46249569985,0.0,0,1
2020-03-11,97760.46249569985,97760.46249569985,0.0,0,1
2020-03-12,97760.46249569985,97760.46249569985,0.0,0,1
2020-03-13,97760.46249569985,97760.46249569985,0.0,0,1
2020-03-16,97760.46249569985,97760.46249569985,0.0,0,1
2020-03-17,97760.46249569985,97760.46249569985,0.0,0,0
2020-03-18,97760.46249569985,97760.46249569985,0.0,0,0
2020-03-19,97760.46249569985,97760.46249569985,0.0,0,0
2020-03-20,97760.46249569985,97760.46249569985,0.0,0,0
2020-03-23,97760.46249569985,97760.46249569985,0.0,0,0
2020-03-24,97760.46249569985,97760.46249569985,0.0,0,0
2020-03-25,97760.46249569985,97760.46249569985,0.0,0,0
2020-03-26,97760.46249569985,97760.46249569985,0.0,0,0
