Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
AMD,2019-12-31,2020-01-02,2020-01-27,47.31,48.73,704.572677,1000.49,3.0,atr_stop,79.69,47.31,61.67,48.73,25
RL,2020-01-30,2020-02-04,2020-02-21,109.0,104.7743,308.870011,-1305.21,-3.88,atr_stop,75.31,109.0,153.17,104.7743,17
NOW,2020-02-11,2020-02-13,2020-02-24,71.2,67.1176,473.939291,-1934.82,-5.73,atr_stop,67.55,71.2,99.6,67.1176,11
IPGP,2020-06-02,2020-06-05,2020-06-12,163.17,154.3871,199.710859,-1754.03,-5.38,atr_stop,88.86,163.17,218.25,154.3871,7
AAPL,2020-06-16,2020-06-19,2020-07-23,85.87,90.5341,372.6813,1738.24,5.43,atr_stop,84.01,85.87,112.87,90.5341,34
JBHT,2020-07-15,2020-07-17,2020-07-28,124.23,121.4265,265.000789,-742.93,-2.26,atr_stop,87.92,124.23,166.7,121.4265,11
UPS,2020-07-29,2020-07-31,2020-08-25,96.86,127.07,343.44048,10375.34,31.19,target,86.52,96.86,127.07,118.1014,25
QRVO,2020-07-27,2020-07-30,2020-08-27,121.54,127.1051,268.659342,1495.13,4.58,atr_stop,80.48,121.54,172.49,127.1051,28
A,2020-07-15,2020-07-17,2020-09-04,89.43,94.2654,347.570596,1680.65,5.41,atr_stop,86.94,89.43,119.25,94.2654,49
CAT,2020-09-02,2020-09-03,2020-09-23,134.59,129.4467,275.077771,-1414.82,-3.82,atr_stop,84.04,134.59,184.86,129.4467,20
PAYC,2020-12-15,2020-12-18,2021-01-04,431.7,423.3642,84.26997,-702.46,-1.93,atr_stop,71.94,431.7,589.73,423.3642,17
MTB,2021-01-05,2021-01-07,2021-01-25,110.13,115.7705,328.204786,1851.25,5.12,atr_stop,86.74,110.13,145.97,115.7705,18
HPE,2021-01-25,2021-01-27,2021-03-04,11.04,11.818,3308.48965,2573.93,7.05,atr_stop,67.11,11.04,15.05,11.818,36
HST,2021-02-18,2021-02-22,2021-03-04,13.13,12.8426,2725.945573,-783.42,-2.19,atr_stop,91.2,13.13,17.16,12.8426,10
MPC,2021-01-07,2021-01-12,2021-03-18,38.94,47.0438,975.075362,7901.79,20.81,atr_stop,83.93,38.94,53.46,47.0438,65
INTC,2021-04-09,2021-04-12,2021-04-19,62.21,58.0399,642.871602,-2680.84,-6.7,atr_stop,83.66,62.21,83.27,58.0399,7
HII,2021-05-03,2021-05-06,2021-05-13,192.79,188.1306,202.808389,-944.97,-2.42,atr_stop,61.83,192.79,258.76,188.1306,7
APA,2021-05-28,2021-06-01,2021-06-17,19.37,18.8527,2002.294288,-1035.82,-2.67,atr_stop,75.87,19.37,25.89,18.8527,16
ALB,2021-07-27,2021-07-29,2021-08-17,187.36,202.844,205.162074,3176.73,8.26,atr_stop,75.18,187.36,243.66,202.844,19
SBAC,2021-07-27,2021-07-30,2021-09-17,315.41,324.8387,123.450515,1163.98,2.99,atr_stop,71.91,315.41,413.51,324.8387,49
CPRT,2021-09-15,2021-09-17,2021-09-20,37.34,35.2045,1068.186142,-2281.15,-5.72,atr_stop,74.61,37.34,48.59,35.2045,3
FANG,2021-10-28,2021-11-02,2021-11-19,93.35,85.9199,422.481553,-3139.07,-7.96,atr_stop,75.35,93.35,132.54,85.9199,17
NOW,2021-10-18,2021-10-19,2021-11-22,134.1,133.4689,291.765004,-184.14,-0.47,atr_stop,81.51,134.1,178.54,133.4689,34
APA,2021-12-31,2022-01-04,2022-01-21,24.84,26.1069,1551.17318,1965.15,5.1,atr_stop,67.53,24.84,35.2,26.1069,17
FCX,2022-01-07,2022-01-12,2022-01-21,40.99,39.2704,914.973315,-1573.41,-4.2,atr_stop,79.45,40.99,54.36,39.2704,9
EOG,2021-12-31,2022-01-04,2022-01-24,74.94,81.1334,507.311836,3141.99,8.26,atr_stop,79.33,74.94,98.43,81.1334,20
CF,2022-11-08,2022-11-11,2022-12-09,101.96,91.5494,384.423882,-4002.08,-10.21,atr_stop,84.59,101.96,132.99,91.5494,28
MRNA,2022-12-12,2022-12-13,2022-12-27,185.9,180.1169,203.667744,-1177.84,-3.11,atr_stop,78.84,185.9,268.31,180.1169,14
HCA,2023-01-11,2023-01-17,2023-01-25,249.26,245.0199,150.03498,-636.16,-1.7,atr_stop,74.56,249.26,346.47,245.0199,8
SYK,2023-01-06,2023-01-10,2023-01-31,249.81,241.1727,149.990876,-1295.52,-3.46,atr_stop,85.85,249.81,330.3,241.1727,21
VTRS,2023-01-30,2023-02-02,2023-02-17,10.46,9.8405,3568.737479,-2210.75,-5.92,atr_stop,89.5,10.46,13.77,9.8405,15
URI,2023-01-30,2023-02-01,2023-03-10,422.59,436.6113,87.14197,1221.84,3.32,atr_stop,82.26,422.59,556.17,436.6113,37
CRM,2023-05-24,2023-05-30,2023-06-01,210.79,207.4599,167.841999,-558.94,-1.58,atr_stop,81.97,210.79,282.83,207.4599,2
