Variant,StopMode_IS,AtrMult_IS,UseTarget_IS,TrailMode_IS,TimeStopDays_IS,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,StopMode_OOS,AtrMult_OOS,UseTarget_OOS,TrailMode_OOS,TimeStopDays_OOS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
tighter_3x_atrtrail_target_60d,tighter,3.0,True,atr_trail,60,296.68,14.79,-16.59,1.223,100,51.0,tighter,3.0,True,atr_trail,60,99.17,11.36,-15.63,0.911,71,52.11,True
handle_3x_atrtrail_target_60d,handle,3.0,True,atr_trail,60,296.68,14.79,-16.59,1.223,100,51.0,handle,3.0,True,atr_trail,60,97.46,11.21,-15.63,0.899,71,52.11,True
tighter_3x_atrtrail_no_target_60d,tighter,3.0,False,atr_trail,60,295.78,14.77,-16.59,1.172,98,51.02,tighter,3.0,False,atr_trail,60,94.7,10.97,-15.63,0.871,70,51.43,True
atr_3x_atrtrail_target_60d,atr,3.0,True,atr_trail,60,294.89,14.74,-16.59,1.219,100,51.0,atr,3.0,True,atr_trail,60,98.79,11.33,-15.63,0.909,71,52.11,True
wider_3x_atrtrail_target_60d,wider,3.0,True,atr_trail,60,294.89,14.74,-16.59,1.219,100,51.0,wider,3.0,True,atr_trail,60,97.09,11.18,-15.63,0.897,71,52.11,True
atr_3x_atrtrail_no_target_60d,atr,3.0,False,atr_trail,60,293.99,14.72,-16.59,1.169,98,51.02,atr,3.0,False,atr_trail,60,94.34,10.93,-15.63,0.868,70,51.43,True
wider_3x_atrtrail_no_target_60d,wider,3.0,False,atr_trail,60,293.99,14.72,-16.59,1.169,98,51.02,wider,3.0,False,atr_trail,60,92.67,10.78,-15.63,0.856,70,51.43,True
atr_3.5x_atrtrail_no_target_60d,atr,3.5,False,atr_trail,60,291.38,14.64,-19.5,1.057,90,52.22,atr,3.5,False,atr_trail,60,68.02,8.44,-20.99,0.637,67,53.73,True
wider_3.5x_atrtrail_no_target_60d,wider,3.5,False,atr_trail,60,291.16,14.63,-19.5,1.056,90,52.22,wider,3.5,False,atr_trail,60,67.64,8.4,-20.99,0.633,67,53.73,True
tighter_3.5x_atrtrail_no_target_60d,tighter,3.5,False,atr_trail,60,289.52,14.58,-19.17,1.053,91,51.65,tighter,3.5,False,atr_trail,60,65.79,8.21,-20.68,0.626,68,52.94,True
atr_3.5x_atrtrail_target_60d,atr,3.5,True,atr_trail,60,256.76,13.58,-19.5,1.077,93,51.61,atr,3.5,True,atr_trail,60,77.26,9.35,-20.99,0.705,68,54.41,True
