Symbol,SignalDate,TradeStartDate,ExpireDate,Score,BreakoutLevel,Target,TargetReturnPct,Stop,CupLowDate,LeftRimDate,RightRimDate,HandleLowDate,CupDepthPct,HandleDepthPctOfCup,CupWidthDays,HandleWidthDays,VolumeNote,CandidateJson
VIAV,2010-01-04,2010-01-05,2010-01-07,86.02,4.98,6.7,34.54,4.32,2009-11-03,2009-09-22,2009-12-10,2009-12-17,36.16,23.1,56,15,volume condition PASS: handle avg volume 0.70x cup avg; handle avg 0.70x cup avg; latest day 1.04x handle avg,"{""score"": 86.02, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 434, ""bottom_idx"": 464, ""right_rim_idx"": 490, ""handle_low_idx"": 495, ""last_idx"": 505, ""left_rim_date"": ""2009-09-22"", ""bottom_date"": ""2009-11-03"", ""right_rim_date"": ""2009-12-10"", ""handle_low_date"": ""2009-12-17"", ""last_date"": ""2010-01-04"", ""left_rim_price"": 4.77, ""bottom_price"": 3.04, ""right_rim_price"": 4.72, ""handle_low_price"": 4.32, ""last_close"": 4.81, ""cup_depth_pct"": 36.16, ""handle_depth_pct_of_cup"": 23.1, ""right_rim_gap_pct"": 0.95, ""cup_width_weeks"": 56, ""handle_width_weeks"": 15, ""breakout_level"": 4.98, ""projected_target"": 6.7, ""volume_note"": ""volume condition PASS: handle avg volume 0.70x cup avg; handle avg 0.70x cup avg; latest day 1.04x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.70x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
ICE,2010-01-04,2010-01-05,2010-01-07,80.36,19.61,25.9,32.08,17.45,2009-08-17,2009-06-05,2009-11-23,2009-12-07,30.22,22.42,119,27,volume condition PASS: handle avg volume 0.44x cup avg; handle avg 0.44x cup avg; latest day 1.02x handle avg,"{""score"": 80.36, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 359, ""bottom_idx"": 409, ""right_rim_idx"": 478, ""handle_low_idx"": 487, ""last_idx"": 505, ""left_rim_date"": ""2009-06-05"", ""bottom_date"": ""2009-08-17"", ""right_rim_date"": ""2009-11-23"", ""handle_low_date"": ""2009-12-07"", ""last_date"": ""2010-01-04"", ""left_rim_price"": 20.81, ""bottom_price"": 14.52, ""right_rim_price"": 18.86, ""handle_low_price"": 17.45, ""last_close"": 19.26, ""cup_depth_pct"": 30.22, ""handle_depth_pct_of_cup"": 22.42, ""right_rim_gap_pct"": 9.37, ""cup_width_weeks"": 119, ""handle_width_weeks"": 27, ""breakout_level"": 19.61, ""projected_target"": 25.9, ""volume_note"": ""volume condition PASS: handle avg volume 0.44x cup avg; handle avg 0.44x cup avg; latest day 1.02x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.44x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
VIAV,2010-01-04,2010-01-05,2010-01-07,79.02,4.98,6.66,33.73,4.32,2009-11-03,2009-09-16,2009-12-10,2009-12-17,35.54,23.73,60,15,volume condition PASS: handle avg volume 0.72x cup avg; handle avg 0.72x cup avg; latest day 1.04x handle avg,"{""score"": 79.02, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 430, ""bottom_idx"": 464, ""right_rim_idx"": 490, ""handle_low_idx"": 495, ""last_idx"": 505, ""left_rim_date"": ""2009-09-16"", ""bottom_date"": ""2009-11-03"", ""right_rim_date"": ""2009-12-10"", ""handle_low_date"": ""2009-12-17"", ""last_date"": ""2010-01-04"", ""left_rim_price"": 4.38, ""bottom_price"": 3.04, ""right_rim_price"": 4.72, ""handle_low_price"": 4.32, ""last_close"": 4.81, ""cup_depth_pct"": 35.54, ""handle_depth_pct_of_cup"": 23.73, ""right_rim_gap_pct"": 7.23, ""cup_width_weeks"": 60, ""handle_width_weeks"": 15, ""breakout_level"": 4.98, ""projected_target"": 6.66, ""volume_note"": ""volume condition PASS: handle avg volume 0.72x cup avg; handle avg 0.72x cup avg; latest day 1.04x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.72x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
VIAV,2010-01-04,2010-01-05,2010-01-07,77.38,4.98,6.66,33.73,4.32,2009-11-03,2009-09-10,2009-12-10,2009-12-17,35.54,23.73,64,15,volume condition PASS: handle avg volume 0.74x cup avg; handle avg 0.74x cup avg; latest day 1.04x handle avg,"{""score"": 77.38, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 426, ""bottom_idx"": 464, ""right_rim_idx"": 490, ""handle_low_idx"": 495, ""last_idx"": 505, ""left_rim_date"": ""2009-09-10"", ""bottom_date"": ""2009-11-03"", ""right_rim_date"": ""2009-12-10"", ""handle_low_date"": ""2009-12-17"", ""last_date"": ""2010-01-04"", ""left_rim_price"": 4.38, ""bottom_price"": 3.04, ""right_rim_price"": 4.72, ""handle_low_price"": 4.32, ""last_close"": 4.81, ""cup_depth_pct"": 35.54, ""handle_depth_pct_of_cup"": 23.73, ""right_rim_gap_pct"": 7.23, ""cup_width_weeks"": 64, ""handle_width_weeks"": 15, ""breakout_level"": 4.98, ""projected_target"": 6.66, ""volume_note"": ""volume condition PASS: handle avg volume 0.74x cup avg; handle avg 0.74x cup avg; latest day 1.04x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.74x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
ICE,2010-01-04,2010-01-05,2010-01-07,77.31,19.61,25.9,32.08,17.45,2009-08-17,2009-06-05,2009-12-02,2009-12-07,30.22,20.38,125,21,volume condition PASS: handle avg volume 0.48x cup avg; handle avg 0.48x cup avg; latest day 0.97x handle avg,"{""score"": 77.31, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 359, ""bottom_idx"": 409, ""right_rim_idx"": 484, ""handle_low_idx"": 487, ""last_idx"": 505, ""left_rim_date"": ""2009-06-05"", ""bottom_date"": ""2009-08-17"", ""right_rim_date"": ""2009-12-02"", ""handle_low_date"": ""2009-12-07"", ""last_date"": ""2010-01-04"", ""left_rim_price"": 20.81, ""bottom_price"": 14.52, ""right_rim_price"": 18.73, ""handle_low_price"": 17.45, ""last_close"": 19.26, ""cup_depth_pct"": 30.22, ""handle_depth_pct_of_cup"": 20.38, ""right_rim_gap_pct"": 9.98, ""cup_width_weeks"": 125, ""handle_width_weeks"": 21, ""breakout_level"": 19.61, ""projected_target"": 25.9, ""volume_note"": ""volume condition PASS: handle avg volume 0.48x cup avg; handle avg 0.48x cup avg; latest day 0.97x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.48x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
SLM,2010-01-04,2010-01-05,2010-01-07,76.14,3.43,4.55,32.65,3.13,2009-09-02,2009-06-29,2009-12-14,2009-12-21,32.39,26.99,117,13,volume condition PASS: handle avg volume 0.43x cup avg; handle avg 0.43x cup avg; latest day 0.86x handle avg,"{""score"": 76.14, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 375, ""bottom_idx"": 421, ""right_rim_idx"": 492, ""handle_low_idx"": 497, ""last_idx"": 505, ""left_rim_date"": ""2009-06-29"", ""bottom_date"": ""2009-09-02"", ""right_rim_date"": ""2009-12-14"", ""handle_low_date"": ""2009-12-21"", ""last_date"": ""2010-01-04"", ""left_rim_price"": 2.99, ""bottom_price"": 2.32, ""right_rim_price"": 3.43, ""handle_low_price"": 3.13, ""last_close"": 3.3, ""cup_depth_pct"": 32.39, ""handle_depth_pct_of_cup"": 26.99, ""right_rim_gap_pct"": 12.82, ""cup_width_weeks"": 117, ""handle_width_weeks"": 13, ""breakout_level"": 3.43, ""projected_target"": 4.55, ""volume_note"": ""volume condition PASS: handle avg volume 0.43x cup avg; handle avg 0.43x cup avg; latest day 0.86x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.43x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
AIV,2010-01-04,2010-01-05,2010-01-07,75.89,0.61,0.8,31.15,0.56,2009-11-02,2009-09-17,2009-12-28,2009-12-30,31.46,24.85,70,4,volume condition PASS: handle avg volume 0.63x cup avg; handle avg 0.63x cup avg; latest day 1.05x handle avg,"{""score"": 75.89, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 431, ""bottom_idx"": 463, ""right_rim_idx"": 501, ""handle_low_idx"": 503, ""last_idx"": 505, ""left_rim_date"": ""2009-09-17"", ""bottom_date"": ""2009-11-02"", ""right_rim_date"": ""2009-12-28"", ""handle_low_date"": ""2009-12-30"", ""last_date"": ""2010-01-04"", ""left_rim_price"": 0.56, ""bottom_price"": 0.42, ""right_rim_price"": 0.61, ""handle_low_price"": 0.56, ""last_close"": 0.57, ""cup_depth_pct"": 31.46, ""handle_depth_pct_of_cup"": 24.85, ""right_rim_gap_pct"": 7.58, ""cup_width_weeks"": 70, ""handle_width_weeks"": 4, ""breakout_level"": 0.61, ""projected_target"": 0.8, ""volume_note"": ""volume condition PASS: handle avg volume 0.63x cup avg; handle avg 0.63x cup avg; latest day 1.05x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.63x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
PNC,2010-01-04,2010-01-05,2010-01-07,75.4,36.53,51.52,41.03,31.92,2009-07-27,2009-05-08,2009-11-18,2009-12-15,41.86,25.98,135,30,volume condition PASS: handle avg volume 0.57x cup avg; handle avg 0.57x cup avg; latest day 1.30x handle avg,"{""score"": 75.4, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 340, ""bottom_idx"": 394, ""right_rim_idx"": 475, ""handle_low_idx"": 493, ""last_idx"": 505, ""left_rim_date"": ""2009-05-08"", ""bottom_date"": ""2009-07-27"", ""right_rim_date"": ""2009-11-18"", ""handle_low_date"": ""2009-12-15"", ""last_date"": ""2010-01-04"", ""left_rim_price"": 33.43, ""bottom_price"": 20.82, ""right_rim_price"": 35.82, ""handle_low_price"": 31.92, ""last_close"": 33.78, ""cup_depth_pct"": 41.86, ""handle_depth_pct_of_cup"": 25.98, ""right_rim_gap_pct"": 6.67, ""cup_width_weeks"": 135, ""handle_width_weeks"": 30, ""breakout_level"": 36.53, ""projected_target"": 51.52, ""volume_note"": ""volume condition PASS: handle avg volume 0.57x cup avg; handle avg 0.57x cup avg; latest day 1.30x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.57x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
SLM,2010-01-04,2010-01-05,2010-01-07,75.32,3.43,4.58,33.53,3.13,2009-10-02,2009-06-29,2009-12-14,2009-12-21,33.31,26.25,117,13,volume condition PASS: handle avg volume 0.43x cup avg; handle avg 0.43x cup avg; latest day 0.86x handle avg,"{""score"": 75.32, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 375, ""bottom_idx"": 442, ""right_rim_idx"": 492, ""handle_low_idx"": 497, ""last_idx"": 505, ""left_rim_date"": ""2009-06-29"", ""bottom_date"": ""2009-10-02"", ""right_rim_date"": ""2009-12-14"", ""handle_low_date"": ""2009-12-21"", ""last_date"": ""2010-01-04"", ""left_rim_price"": 2.99, ""bottom_price"": 2.29, ""right_rim_price"": 3.43, ""handle_low_price"": 3.13, ""last_close"": 3.3, ""cup_depth_pct"": 33.31, ""handle_depth_pct_of_cup"": 26.25, ""right_rim_gap_pct"": 12.82, ""cup_width_weeks"": 117, ""handle_width_weeks"": 13, ""breakout_level"": 3.43, ""projected_target"": 4.58, ""volume_note"": ""volume condition PASS: handle avg volume 0.43x cup avg; handle avg 0.43x cup avg; latest day 0.86x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.43x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
SLM,2010-01-04,2010-01-05,2010-01-07,75.22,3.46,4.6,32.95,3.1,2009-09-02,2009-06-29,2009-12-03,2009-12-09,32.95,31.58,110,20,volume condition PASS: handle avg volume 0.50x cup avg; handle avg 0.50x cup avg; latest day 0.73x handle avg,"{""score"": 75.22, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 375, ""bottom_idx"": 421, ""right_rim_idx"": 485, ""handle_low_idx"": 489, ""last_idx"": 505, ""left_rim_date"": ""2009-06-29"", ""bottom_date"": ""2009-09-02"", ""right_rim_date"": ""2009-12-03"", ""handle_low_date"": ""2009-12-09"", ""last_date"": ""2010-01-04"", ""left_rim_price"": 2.99, ""bottom_price"": 2.32, ""right_rim_price"": 3.46, ""handle_low_price"": 3.1, ""last_close"": 3.3, ""cup_depth_pct"": 32.95, ""handle_depth_pct_of_cup"": 31.58, ""right_rim_gap_pct"": 13.54, ""cup_width_weeks"": 110, ""handle_width_weeks"": 20, ""breakout_level"": 3.46, ""projected_target"": 4.6, ""volume_note"": ""volume condition PASS: handle avg volume 0.50x cup avg; handle avg 0.50x cup avg; latest day 0.73x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.50x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
