Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2010-01-04,100000.0,100000.0,0.0,0,0
2010-01-05,100000.0,100000.0,0.0,0,3
2010-01-06,100628.83471548956,66666.66666666666,33962.168048822896,1,2
2010-01-07,100819.20253544286,66666.66666666666,34152.53586877621,1,2
2010-01-08,100628.83471548956,66666.66666666666,33962.168048822896,1,0
2010-01-11,99448.53508169233,66666.66666666666,32781.86841502567,1,0
2010-01-12,98001.71411659822,66666.66666666666,31335.047449931564,1,2
2010-01-13,98458.60645952952,66666.66666666666,31791.93979286286,1,2
2010-01-14,98610.90390717328,66666.66666666666,31944.237240506623,1,2
2010-01-15,97925.570180298,66666.66666666666,31258.90351363135,1,0
2010-01-19,100210.01912823004,66666.66666666666,33543.35246156338,1,0
2010-01-20,99856.65538303959,33491.77366066914,66364.88172237044,2,1
2010-01-21,97562.515233665,33491.77366066914,64070.74157299586,2,1
2010-01-22,94815.97115312383,33491.77366066914,61324.19749245468,2,1
2010-01-25,95114.4212413546,33491.77366066914,61622.64758068547,2,0
2010-01-26,94687.64541395861,33491.77366066914,61195.871753289466,2,0
2010-01-27,95885.00288882674,33491.77366066914,62393.2292281576,2,1
2010-01-28,95531.16498631536,33491.77366066914,62039.39132564622,2,1
2010-01-29,95009.93763149984,33491.77366066914,61518.16397083069,2,1
2010-02-01,96397.24772561697,33491.77366066914,62905.474064947826,2,0
2010-02-02,96507.16622218152,33491.77366066914,63015.39256151237,2,0
2010-02-03,97265.94532859989,33491.77366066914,63774.17166793074,2,1
2010-02-04,93187.53053797508,33491.77366066914,59695.75687730593,2,1
2010-02-05,92376.24429291172,62259.57004076805,30116.674252143668,1,2
2010-02-08,93213.87546743076,62259.57004076805,30954.305426662708,1,0
2010-02-09,93290.0257870932,62259.57004076805,31030.455746325148,1,0
2010-02-10,93708.84137435272,62259.57004076805,31449.271333584667,1,2
2010-02-11,95307.95659540946,62259.57004076805,33048.386554641416,1,2
2010-02-12,97478.1848513695,62259.57004076805,35218.61481060146,1,2
2010-02-16,98810.7819328105,62259.57004076805,36551.211892042455,1,0
2010-02-17,98163.51857824478,62259.57004076805,35903.94853747673,1,0
2010-02-18,98696.55804915741,62259.57004076805,36436.98800838935,1,2
2010-02-19,98620.40772949497,62259.57004076805,36360.83768872691,1,2
2010-02-22,99876.85768295464,62259.57004076805,37617.28764218659,1,2
2010-02-23,99762.63699098265,62259.57004076805,37503.0669502146,1,0
