Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
PNC,2010-01-19,2010-01-20,2010-02-05,36.81,31.92,901.246754,-4407.1,-13.28,stop,78.01,36.81,50.39,31.92,16
VIAV,2010-01-04,2010-01-06,2010-03-09,4.98,6.7,6693.440428,11512.72,34.54,target,86.02,4.98,6.7,4.32,62
ZION,2010-03-10,2010-03-11,2010-04-21,15.4,21.13,2318.303483,13283.88,37.21,target,88.42,15.4,21.13,12.6,41
M,2010-04-22,2010-04-27,2010-05-05,14.08,12.75,2924.391223,-3889.44,-9.45,stop,78.36,14.08,19.11,12.75,8
PHM,2010-04-22,2010-04-23,2010-05-21,10.71,9.11,3802.661528,-6084.26,-14.94,stop,79.35,10.71,14.57,9.11,28
TLAB,2010-04-08,2010-04-13,2010-06-04,8.0,7.44,4710.564441,-2637.92,-7.0,stop,89.1,8.0,10.42,7.44,52
FTI,2010-09-28,2010-09-30,2010-12-23,23.26,29.4532,1544.538335,9565.59,26.63,time_stop,82.6,23.26,31.13,20.59,84
CBRE,2010-10-12,2010-10-13,2011-01-06,19.32,20.74,1901.300772,2699.85,7.35,time_stop,90.97,19.32,25.3,17.14,85
ANF,2010-11-23,2010-11-29,2011-02-23,36.62,40.7358,959.005801,3947.11,11.24,time_stop,89.88,36.62,48.35,30.56,86
CNX,2010-12-30,2011-01-03,2011-03-29,39.04,41.8105,1080.268242,2992.91,7.1,time_stop,89.59,39.04,51.68,33.48,85
ATI,2011-01-13,2011-01-18,2011-04-12,52.61,56.9835,778.25545,3403.69,8.31,time_stop,89.13,52.61,70.62,47.58,84
BSX,2011-03-07,2011-03-09,2011-05-16,7.69,6.7,5315.051264,-5261.9,-12.87,stop,82.27,7.69,10.0,6.7,68
HRB,2011-04-04,2011-04-07,2011-07-01,10.31,9.4433,4194.850757,-3635.6,-8.41,time_stop,83.32,10.31,13.49,8.12,85
EXPE,2011-07-07,2011-07-12,2011-08-08,40.16,36.2,1008.37927,-3993.18,-9.86,stop,85.74,40.16,52.49,36.2,27
ANDV,2011-11-04,2011-11-09,2011-11-16,25.48,21.9,1537.105606,-5502.84,-14.05,stop,87.93,25.48,34.01,21.9,7
DHI,2011-12-12,2011-12-13,2012-03-09,10.99,13.3155,3396.830891,7899.24,21.16,time_stop,80.34,10.99,14.81,9.2,87
ANDV,2012-08-01,2012-08-02,2012-08-13,25.1,33.37,1593.145651,13175.31,32.95,target,85.37,25.1,33.37,22.73,11
PHM,2012-08-15,2012-08-16,2012-10-17,11.0,14.88,4090.972764,15872.97,35.27,target,76.94,11.0,14.88,9.21,62
