Symbol,SignalDate,TradeStartDate,ExpireDate,Score,BreakoutLevel,Target,TargetReturnPct,Stop,CupLowDate,LeftRimDate,RightRimDate,HandleLowDate,CupDepthPct,HandleDepthPctOfCup,CupWidthDays,HandleWidthDays,VolumeNote,CandidateJson
AAL,2024-01-02,2024-01-03,2024-01-05,69.65,14.67,19.97,36.13,13.39,2023-10-23,2023-08-09,2023-12-15,2024-01-02,32.64,24.15,90,10,volume condition PASS: handle avg volume 0.81x cup avg; handle avg 0.81x cup avg; latest day 1.31x handle avg,"{""score"": 69.65, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 3927, ""bottom_idx"": 3979, ""right_rim_idx"": 4017, ""handle_low_idx"": 4027, ""last_idx"": 4027, ""left_rim_date"": ""2023-08-09"", ""bottom_date"": ""2023-10-23"", ""right_rim_date"": ""2023-12-15"", ""handle_low_date"": ""2024-01-02"", ""last_date"": ""2024-01-02"", ""left_rim_price"": 16.24, ""bottom_price"": 10.94, ""right_rim_price"": 14.67, ""handle_low_price"": 13.39, ""last_close"": 13.44, ""cup_depth_pct"": 32.64, ""handle_depth_pct_of_cup"": 24.15, ""right_rim_gap_pct"": 9.67, ""cup_width_weeks"": 90, ""handle_width_weeks"": 10, ""breakout_level"": 14.67, ""projected_target"": 19.97, ""volume_note"": ""volume condition PASS: handle avg volume 0.81x cup avg; handle avg 0.81x cup avg; latest day 1.31x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""prior uptrend is not strong, so continuation quality is weaker"", ""handle avg volume 0.81x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
AAL,2024-01-02,2024-01-03,2024-01-05,66.56,14.67,20.05,36.67,13.39,2023-10-31,2023-08-09,2023-12-15,2024-01-02,33.13,23.79,90,10,volume condition PASS: handle avg volume 0.81x cup avg; handle avg 0.81x cup avg; latest day 1.31x handle avg,"{""score"": 66.56, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 3927, ""bottom_idx"": 3985, ""right_rim_idx"": 4017, ""handle_low_idx"": 4027, ""last_idx"": 4027, ""left_rim_date"": ""2023-08-09"", ""bottom_date"": ""2023-10-31"", ""right_rim_date"": ""2023-12-15"", ""handle_low_date"": ""2024-01-02"", ""last_date"": ""2024-01-02"", ""left_rim_price"": 16.24, ""bottom_price"": 10.86, ""right_rim_price"": 14.67, ""handle_low_price"": 13.39, ""last_close"": 13.44, ""cup_depth_pct"": 33.13, ""handle_depth_pct_of_cup"": 23.79, ""right_rim_gap_pct"": 9.67, ""cup_width_weeks"": 90, ""handle_width_weeks"": 10, ""breakout_level"": 14.67, ""projected_target"": 20.05, ""volume_note"": ""volume condition PASS: handle avg volume 0.81x cup avg; handle avg 0.81x cup avg; latest day 1.31x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""prior uptrend is not strong, so continuation quality is weaker"", ""handle avg volume 0.81x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
A,2024-01-02,2024-01-03,2024-01-05,63.26,138.6,182.2,31.46,135.42,2023-10-30,2023-08-10,2023-12-20,2023-12-21,31.46,7.29,92,7,volume condition PASS: handle avg volume 0.64x cup avg; handle avg 0.64x cup avg; latest day 1.10x handle avg,"{""score"": 63.26, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 3928, ""bottom_idx"": 3984, ""right_rim_idx"": 4020, ""handle_low_idx"": 4021, ""last_idx"": 4027, ""left_rim_date"": ""2023-08-10"", ""bottom_date"": ""2023-10-30"", ""right_rim_date"": ""2023-12-20"", ""handle_low_date"": ""2023-12-21"", ""last_date"": ""2024-01-02"", ""left_rim_price"": 127.3, ""bottom_price"": 94.99, ""right_rim_price"": 138.6, ""handle_low_price"": 135.42, ""last_close"": 136.38, ""cup_depth_pct"": 31.46, ""handle_depth_pct_of_cup"": 7.29, ""right_rim_gap_pct"": 8.15, ""cup_width_weeks"": 92, ""handle_width_weeks"": 7, ""breakout_level"": 138.6, ""projected_target"": 182.2, ""volume_note"": ""volume condition PASS: handle avg volume 0.64x cup avg; handle avg 0.64x cup avg; latest day 1.10x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.64x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
A,2024-01-02,2024-01-03,2024-01-05,60.83,138.6,182.2,31.46,135.42,2023-10-30,2023-07-27,2023-12-20,2023-12-21,31.46,7.29,102,7,volume condition PASS: handle avg volume 0.64x cup avg; handle avg 0.64x cup avg; latest day 1.10x handle avg,"{""score"": 60.83, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 3918, ""bottom_idx"": 3984, ""right_rim_idx"": 4020, ""handle_low_idx"": 4021, ""last_idx"": 4027, ""left_rim_date"": ""2023-07-27"", ""bottom_date"": ""2023-10-30"", ""right_rim_date"": ""2023-12-20"", ""handle_low_date"": ""2023-12-21"", ""last_date"": ""2024-01-02"", ""left_rim_price"": 127.31, ""bottom_price"": 94.99, ""right_rim_price"": 138.6, ""handle_low_price"": 135.42, ""last_close"": 136.38, ""cup_depth_pct"": 31.46, ""handle_depth_pct_of_cup"": 7.29, ""right_rim_gap_pct"": 8.14, ""cup_width_weeks"": 102, ""handle_width_weeks"": 7, ""breakout_level"": 138.6, ""projected_target"": 182.2, ""volume_note"": ""volume condition PASS: handle avg volume 0.64x cup avg; handle avg 0.64x cup avg; latest day 1.10x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.64x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
A,2024-01-03,2024-01-04,2024-01-08,67.74,138.6,182.2,31.46,128.83,2023-10-30,2023-08-10,2023-12-20,2024-01-03,31.46,22.39,92,8,volume condition PASS: handle avg volume 0.69x cup avg; handle avg 0.69x cup avg; latest day 1.49x handle avg,"{""score"": 67.74, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 3928, ""bottom_idx"": 3984, ""right_rim_idx"": 4020, ""handle_low_idx"": 4028, ""last_idx"": 4028, ""left_rim_date"": ""2023-08-10"", ""bottom_date"": ""2023-10-30"", ""right_rim_date"": ""2023-12-20"", ""handle_low_date"": ""2024-01-03"", ""last_date"": ""2024-01-03"", ""left_rim_price"": 127.3, ""bottom_price"": 94.99, ""right_rim_price"": 138.6, ""handle_low_price"": 128.83, ""last_close"": 128.92, ""cup_depth_pct"": 31.46, ""handle_depth_pct_of_cup"": 22.39, ""right_rim_gap_pct"": 8.15, ""cup_width_weeks"": 92, ""handle_width_weeks"": 8, ""breakout_level"": 138.6, ""projected_target"": 182.2, ""volume_note"": ""volume condition PASS: handle avg volume 0.69x cup avg; handle avg 0.69x cup avg; latest day 1.49x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.69x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
A,2024-01-03,2024-01-04,2024-01-08,65.31,138.6,182.2,31.46,128.83,2023-10-30,2023-07-27,2023-12-20,2024-01-03,31.46,22.39,102,8,volume condition PASS: handle avg volume 0.68x cup avg; handle avg 0.68x cup avg; latest day 1.49x handle avg,"{""score"": 65.31, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 3918, ""bottom_idx"": 3984, ""right_rim_idx"": 4020, ""handle_low_idx"": 4028, ""last_idx"": 4028, ""left_rim_date"": ""2023-07-27"", ""bottom_date"": ""2023-10-30"", ""right_rim_date"": ""2023-12-20"", ""handle_low_date"": ""2024-01-03"", ""last_date"": ""2024-01-03"", ""left_rim_price"": 127.31, ""bottom_price"": 94.99, ""right_rim_price"": 138.6, ""handle_low_price"": 128.83, ""last_close"": 128.92, ""cup_depth_pct"": 31.46, ""handle_depth_pct_of_cup"": 22.39, ""right_rim_gap_pct"": 8.14, ""cup_width_weeks"": 102, ""handle_width_weeks"": 8, ""breakout_level"": 138.6, ""projected_target"": 182.2, ""volume_note"": ""volume condition PASS: handle avg volume 0.68x cup avg; handle avg 0.68x cup avg; latest day 1.49x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.68x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
A,2024-01-04,2024-01-05,2024-01-09,69.58,138.6,182.2,31.46,127.97,2023-10-30,2023-08-10,2023-12-20,2024-01-04,31.46,24.37,92,9,volume condition PASS: handle avg volume 0.74x cup avg; handle avg 0.74x cup avg; latest day 1.63x handle avg,"{""score"": 69.58, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 3928, ""bottom_idx"": 3984, ""right_rim_idx"": 4020, ""handle_low_idx"": 4029, ""last_idx"": 4029, ""left_rim_date"": ""2023-08-10"", ""bottom_date"": ""2023-10-30"", ""right_rim_date"": ""2023-12-20"", ""handle_low_date"": ""2024-01-04"", ""last_date"": ""2024-01-04"", ""left_rim_price"": 127.3, ""bottom_price"": 94.99, ""right_rim_price"": 138.6, ""handle_low_price"": 127.97, ""last_close"": 128.76, ""cup_depth_pct"": 31.46, ""handle_depth_pct_of_cup"": 24.37, ""right_rim_gap_pct"": 8.15, ""cup_width_weeks"": 92, ""handle_width_weeks"": 9, ""breakout_level"": 138.6, ""projected_target"": 182.2, ""volume_note"": ""volume condition PASS: handle avg volume 0.74x cup avg; handle avg 0.74x cup avg; latest day 1.63x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.74x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
A,2024-01-04,2024-01-05,2024-01-09,67.15,138.6,182.2,31.46,127.97,2023-10-30,2023-07-27,2023-12-20,2024-01-04,31.46,24.37,102,9,volume condition PASS: handle avg volume 0.73x cup avg; handle avg 0.73x cup avg; latest day 1.63x handle avg,"{""score"": 67.15, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 3918, ""bottom_idx"": 3984, ""right_rim_idx"": 4020, ""handle_low_idx"": 4029, ""last_idx"": 4029, ""left_rim_date"": ""2023-07-27"", ""bottom_date"": ""2023-10-30"", ""right_rim_date"": ""2023-12-20"", ""handle_low_date"": ""2024-01-04"", ""last_date"": ""2024-01-04"", ""left_rim_price"": 127.31, ""bottom_price"": 94.99, ""right_rim_price"": 138.6, ""handle_low_price"": 127.97, ""last_close"": 128.76, ""cup_depth_pct"": 31.46, ""handle_depth_pct_of_cup"": 24.37, ""right_rim_gap_pct"": 8.14, ""cup_width_weeks"": 102, ""handle_width_weeks"": 9, ""breakout_level"": 138.6, ""projected_target"": 182.2, ""volume_note"": ""volume condition PASS: handle avg volume 0.73x cup avg; handle avg 0.73x cup avg; latest day 1.63x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.73x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
A,2024-01-05,2024-01-08,2024-01-10,73.13,138.19,181.39,31.26,126.43,2023-10-30,2023-08-10,2024-01-02,2024-01-05,31.26,27.23,99,3,volume condition PASS: handle avg volume 0.93x cup avg; handle avg 0.93x cup avg; latest day 0.76x handle avg,"{""score"": 73.13, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 3928, ""bottom_idx"": 3984, ""right_rim_idx"": 4027, ""handle_low_idx"": 4030, ""last_idx"": 4030, ""left_rim_date"": ""2023-08-10"", ""bottom_date"": ""2023-10-30"", ""right_rim_date"": ""2024-01-02"", ""handle_low_date"": ""2024-01-05"", ""last_date"": ""2024-01-05"", ""left_rim_price"": 127.3, ""bottom_price"": 94.99, ""right_rim_price"": 138.19, ""handle_low_price"": 126.43, ""last_close"": 128.33, ""cup_depth_pct"": 31.26, ""handle_depth_pct_of_cup"": 27.23, ""right_rim_gap_pct"": 7.88, ""cup_width_weeks"": 99, ""handle_width_weeks"": 3, ""breakout_level"": 138.19, ""projected_target"": 181.39, ""volume_note"": ""volume condition PASS: handle avg volume 0.93x cup avg; handle avg 0.93x cup avg; latest day 0.76x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.93x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
A,2024-01-05,2024-01-08,2024-01-10,72.44,138.6,182.2,31.46,126.43,2023-10-30,2023-08-10,2023-12-20,2024-01-05,31.46,27.91,92,10,volume condition PASS: handle avg volume 0.73x cup avg; handle avg 0.73x cup avg; latest day 0.93x handle avg,"{""score"": 72.44, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 3928, ""bottom_idx"": 3984, ""right_rim_idx"": 4020, ""handle_low_idx"": 4030, ""last_idx"": 4030, ""left_rim_date"": ""2023-08-10"", ""bottom_date"": ""2023-10-30"", ""right_rim_date"": ""2023-12-20"", ""handle_low_date"": ""2024-01-05"", ""last_date"": ""2024-01-05"", ""left_rim_price"": 127.3, ""bottom_price"": 94.99, ""right_rim_price"": 138.6, ""handle_low_price"": 126.43, ""last_close"": 128.33, ""cup_depth_pct"": 31.46, ""handle_depth_pct_of_cup"": 27.91, ""right_rim_gap_pct"": 8.15, ""cup_width_weeks"": 92, ""handle_width_weeks"": 10, ""breakout_level"": 138.6, ""projected_target"": 182.2, ""volume_note"": ""volume condition PASS: handle avg volume 0.73x cup avg; handle avg 0.73x cup avg; latest day 0.93x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.73x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
