Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2020-01-02,100000.0,100000.0,0.0,0,3
2020-01-03,100000.0,100000.0,0.0,0,3
2020-01-06,100000.0,100000.0,0.0,0,3
2020-01-07,100000.0,100000.0,0.0,0,3
2020-01-08,100000.0,100000.0,0.0,0,3
2020-01-09,100000.0,100000.0,0.0,0,3
2020-01-10,100000.0,100000.0,0.0,0,3
2020-01-13,100000.0,100000.0,0.0,0,3
2020-01-14,100000.0,100000.0,0.0,0,3
2020-01-15,100000.0,100000.0,0.0,0,3
2020-01-16,100000.0,100000.0,0.0,0,3
2020-01-17,100000.0,100000.0,0.0,0,3
2020-01-21,100000.0,100000.0,0.0,0,3
2020-01-22,100000.0,100000.0,0.0,0,3
2020-01-23,100000.0,100000.0,0.0,0,3
2020-01-24,100000.0,100000.0,0.0,0,3
2020-01-27,100000.0,100000.0,0.0,0,3
2020-01-28,100000.0,100000.0,0.0,0,3
2020-01-29,100000.0,100000.0,0.0,0,3
2020-01-30,100000.0,100000.0,0.0,0,3
2020-01-31,100000.0,100000.0,0.0,0,3
2020-02-03,100000.0,100000.0,0.0,0,3
2020-02-04,100421.68153535335,66666.66666666666,33755.01486868669,1,2
2020-02-05,100102.35987672018,66666.66666666666,33435.69321005352,1,2
2020-02-06,99804.87415185396,66666.66666666666,33138.20748518731,1,2
2020-02-07,99570.15711233157,66666.66666666666,32903.4904456649,1,2
2020-02-10,99594.72516261108,66666.66666666666,32928.05849594443,1,2
2020-02-11,99518.3005610008,66666.66666666666,32851.63389433415,1,2
2020-02-12,100424.41131871774,66666.66666666666,33757.744652051086,1,2
2020-02-13,99837.40455145578,33256.45610097715,66580.94845047862,2,1
2020-02-14,99934.51627319716,33256.45610097715,66678.06017222001,2,1
2020-02-18,99723.63674844886,33256.45610097715,66467.18064747172,2,1
2020-02-19,99524.16208976417,33256.45610097715,66267.70598878703,2,1
2020-02-20,99637.78243289291,33256.45610097715,66381.32633191577,2,0
2020-02-21,97642.96160446753,33256.45610097715,64386.50550349039,2,0
2020-02-24,94978.34810050447,94978.34810050447,0.0,0,3
2020-02-25,94978.34810050447,94978.34810050447,0.0,0,2
2020-02-26,94978.34810050447,94978.34810050447,0.0,0,2
2020-02-27,94978.34810050447,94978.34810050447,0.0,0,1
2020-02-28,94978.34810050447,94978.34810050447,0.0,0,1
2020-03-02,94978.34810050447,94978.34810050447,0.0,0,2
2020-03-03,94978.34810050447,94978.34810050447,0.0,0,1
2020-03-04,94978.34810050447,94978.34810050447,0.0,0,1
2020-03-05,94978.34810050447,94978.34810050447,0.0,0,1
2020-03-06,94978.34810050447,94978.34810050447,0.0,0,1
2020-03-09,94978.34810050447,94978.34810050447,0.0,0,2
2020-03-10,94978.34810050447,94978.34810050447,0.0,0,1
2020-03-11,94978.34810050447,94978.34810050447,0.0,0,1
2020-03-12,94978.34810050447,94978.34810050447,0.0,0,1
2020-03-13,94978.34810050447,94978.34810050447,0.0,0,1
2020-03-16,94978.34810050447,94978.34810050447,0.0,0,1
2020-03-17,94978.34810050447,94978.34810050447,0.0,0,0
2020-03-18,94978.34810050447,94978.34810050447,0.0,0,0
2020-03-19,94978.34810050447,94978.34810050447,0.0,0,0
2020-03-20,94978.34810050447,94978.34810050447,0.0,0,0
2020-03-23,94978.34810050447,94978.34810050447,0.0,0,0
2020-03-24,94978.34810050447,94978.34810050447,0.0,0,0
2020-03-25,94978.34810050447,94978.34810050447,0.0,0,0
2020-03-26,94978.34810050447,94978.34810050447,0.0,0,0
2020-03-27,94978.34810050447,94978.34810050447,0.0,0,0
2020-03-30,94978.34810050447,94978.34810050447,0.0,0,0
2020-03-31,94978.34810050447,94978.34810050447,0.0,0,0
2020-04-01,94978.34810050447,94978.34810050447,0.0,0,0
2020-04-02,94978.34810050447,94978.34810050447,0.0,0,0
2020-04-03,94978.34810050447,94978.34810050447,0.0,0,0
2020-04-06,94978.34810050447,94978.34810050447,0.0,0,2
2020-04-07,94978.34810050447,94978.34810050447,0.0,0,2
