Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
RL,2020-01-30,2020-02-04,2020-02-24,109.0,99.3,305.810398,-2966.36,-8.9,stop,75.31,109.0,153.17,99.3,20
NOW,2020-02-11,2020-02-13,2020-02-24,71.2,66.82,469.24453,-2055.29,-6.15,stop,67.55,71.2,99.6,66.82,11
AAPL,2020-06-16,2020-06-19,2020-08-19,85.87,112.87,368.690455,9954.64,31.44,target,84.01,85.87,112.87,72.67,61
KEYS,2020-08-14,2020-08-19,2020-09-08,103.76,93.1,349.608446,-3726.83,-10.27,stop,79.47,103.76,135.63,93.1,20
CAG,2020-06-30,2020-07-01,2020-09-24,26.96,26.2398,1184.638503,-853.16,-2.67,time_stop,90.51,26.96,36.37,23.9,85
JBHT,2020-07-15,2020-07-17,2020-10-09,124.23,128.3621,252.604401,1043.78,3.33,time_stop,87.92,124.23,166.7,104.48,84
PAYC,2020-12-15,2020-12-18,2021-02-23,431.7,363.26,78.29263,-5358.35,-15.85,stop,71.94,431.7,589.73,363.26,67
MTB,2021-01-05,2021-01-07,2021-04-05,110.13,130.7391,304.333728,6272.03,18.71,time_stop,86.74,110.13,145.97,101.59,88
MPC,2021-01-07,2021-01-12,2021-04-08,38.94,46.9439,875.233261,7005.25,20.55,time_stop,83.93,38.94,53.46,33.31,86
INTC,2021-04-09,2021-04-12,2021-04-23,62.21,55.46,585.734964,-3953.71,-10.85,stop,83.66,62.21,83.27,55.46,11
APA,2021-05-28,2021-06-01,2021-07-07,19.37,17.13,1821.998973,-4081.28,-11.56,stop,75.87,19.37,25.89,17.13,36
HII,2021-05-03,2021-05-06,2021-07-14,192.79,180.95,182.170592,-2156.9,-6.14,stop,61.83,192.79,258.76,180.95,69
SBAC,2021-07-27,2021-07-30,2021-10-13,315.41,302.8,106.114751,-1338.11,-4.0,stop,71.91,315.41,413.51,302.8,75
ALB,2021-07-27,2021-07-29,2021-10-21,187.36,221.5818,176.351814,6035.09,18.27,time_stop,75.18,187.36,243.66,160.83,84
