Variant,StockCondition,MarketCondition,TotalReturnPct_IS,CagrPct_IS,MaxDrawdownPct_IS,Sharpe_IS,Trades_IS,WinRatePct_IS,TotalReturnPct_OOS,CagrPct_OOS,MaxDrawdownPct_OOS,Sharpe_OOS,Trades_OOS,WinRatePct_OOS,BeatsSP500_IS
stock_close_gt_sma50_sma50_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma50_sma50_gt_sma200,market_spx_sma200_rising,336.81,15.91,-17.42,1.046,65,60.0,72.74,8.91,-16.44,0.684,46,45.65,True
stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma50_sma50_gt_sma200,market_spx_close_gt_sma200_sma200_rising,336.81,15.91,-17.42,1.046,65,60.0,81.85,9.79,-14.37,0.752,44,47.73,True
stock_close_gt_sma200_sma50_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma200_sma50_gt_sma200,market_spx_sma200_rising,336.81,15.91,-17.42,1.046,65,60.0,77.72,9.4,-16.44,0.712,47,46.81,True
stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma200_sma200_rising,stock_close_gt_sma200_sma50_gt_sma200,market_spx_close_gt_sma200_sma200_rising,336.81,15.91,-17.42,1.046,65,60.0,81.85,9.79,-14.37,0.752,44,47.73,True
stock_close_gt_sma50_sma50_gt_sma200__market_none,stock_close_gt_sma50_sma50_gt_sma200,market_none,327.35,15.65,-17.42,1.01,72,56.94,119.26,13.04,-16.49,0.829,56,51.79,True
stock_close_gt_sma200_sma50_gt_sma200__market_none,stock_close_gt_sma200_sma50_gt_sma200,market_none,327.35,15.65,-17.42,1.01,72,56.94,125.57,13.55,-16.49,0.852,57,52.63,True
stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma200,stock_close_gt_sma50_sma50_gt_sma200,market_spx_close_gt_sma200,319.21,15.43,-17.42,1.012,68,58.82,81.29,9.74,-14.37,0.744,46,47.83,True
stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma200,stock_close_gt_sma200_sma50_gt_sma200,market_spx_close_gt_sma200,319.21,15.43,-17.42,1.012,68,58.82,81.29,9.74,-14.37,0.744,46,47.83,True
stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma100,stock_close_gt_sma50_sma50_gt_sma200,market_spx_close_gt_sma100,291.38,14.64,-17.42,0.962,68,57.35,85.39,10.12,-14.37,0.752,49,46.94,True
stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma100,stock_close_gt_sma200_sma50_gt_sma200,market_spx_close_gt_sma100,291.38,14.64,-17.42,0.962,68,57.35,85.39,10.12,-14.37,0.752,49,46.94,True
stock_close_gt_sma50_sma50_gt_sma200__market_spx_sma50_gt_sma200,stock_close_gt_sma50_sma50_gt_sma200,market_spx_sma50_gt_sma200,291.03,14.63,-16.81,1.005,65,56.92,63.41,7.97,-16.44,0.6,47,46.81,True
stock_close_gt_sma200_sma50_gt_sma200__market_spx_sma50_gt_sma200,stock_close_gt_sma200_sma50_gt_sma200,market_spx_sma50_gt_sma200,291.03,14.63,-16.81,1.005,65,56.92,68.12,8.45,-16.44,0.628,48,47.92,True
stock_none__market_spx_close_gt_sma100,stock_none,market_spx_close_gt_sma100,283.26,14.4,-18.93,0.942,73,56.16,128.64,13.78,-14.37,0.943,53,49.06,True
stock_close_gt_sma50__market_spx_close_gt_sma100,stock_close_gt_sma50,market_spx_close_gt_sma100,283.26,14.4,-18.93,0.942,73,56.16,128.64,13.78,-14.37,0.943,53,49.06,True
stock_close_gt_sma200__market_spx_close_gt_sma100,stock_close_gt_sma200,market_spx_close_gt_sma100,283.26,14.4,-18.93,0.942,73,56.16,128.64,13.78,-14.37,0.943,53,49.06,True
stock_none__market_spx_sma200_rising,stock_none,market_spx_sma200_rising,269.75,13.99,-17.42,0.947,69,56.52,128.14,13.75,-14.37,0.937,53,49.06,True
stock_close_gt_sma50__market_spx_sma200_rising,stock_close_gt_sma50,market_spx_sma200_rising,269.75,13.99,-17.42,0.947,69,56.52,118.76,13.0,-14.37,0.897,53,47.17,True
stock_close_gt_sma200__market_spx_sma200_rising,stock_close_gt_sma200,market_spx_sma200_rising,269.75,13.99,-17.42,0.947,69,56.52,128.14,13.75,-14.37,0.937,53,49.06,True
