Family,Variant,IS_TotalReturnPct,IS_Sharpe,IS_Trades,OOS_TotalReturnPct,OOS_Sharpe,OOS_Trades,IS_Return_vs_SP500_PctPts,IS_Sharpe_vs_SP500,OOS_Return_vs_SP500_PctPts,OOS_Sharpe_vs_SP500
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_sma200_rising,336.81,1.046,65,72.74,0.684,46,151.65,0.261,-59.93,-0.063
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma200_sma200_rising,336.81,1.046,65,81.85,0.752,44,151.65,0.261,-50.82,0.005
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_sma200_rising,336.81,1.046,65,77.72,0.712,47,151.65,0.261,-54.95,-0.035
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma200_sma200_rising,336.81,1.046,65,81.85,0.752,44,151.65,0.261,-50.82,0.005
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_none,327.35,1.01,72,119.26,0.829,56,142.19,0.225,-13.41,0.082
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_none,327.35,1.01,72,125.57,0.852,57,142.19,0.225,-7.1,0.105
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma200,319.21,1.012,68,81.29,0.744,46,134.05,0.227,-51.38,-0.003
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma200,319.21,1.012,68,81.29,0.744,46,134.05,0.227,-51.38,-0.003
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma100,291.38,0.962,68,85.39,0.752,49,106.22,0.177,-47.28,0.005
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma100,291.38,0.962,68,85.39,0.752,49,106.22,0.177,-47.28,0.005
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_sma50_gt_sma200,291.03,1.005,65,63.41,0.6,47,105.87,0.22,-69.26,-0.147
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_sma50_gt_sma200,291.03,1.005,65,68.12,0.628,48,105.87,0.22,-64.55,-0.119
Trend filters,stock_none__market_spx_close_gt_sma100,283.26,0.942,73,128.64,0.943,53,98.1,0.157,-4.03,0.196
Trend filters,stock_close_gt_sma50__market_spx_close_gt_sma100,283.26,0.942,73,128.64,0.943,53,98.1,0.157,-4.03,0.196
Trend filters,stock_close_gt_sma200__market_spx_close_gt_sma100,283.26,0.942,73,128.64,0.943,53,98.1,0.157,-4.03,0.196
Trend filters,stock_none__market_spx_sma200_rising,269.75,0.947,69,128.14,0.937,53,84.59,0.162,-4.53,0.19
Trend filters,stock_close_gt_sma50__market_spx_sma200_rising,269.75,0.947,69,118.76,0.897,53,84.59,0.162,-13.91,0.15
Trend filters,stock_close_gt_sma200__market_spx_sma200_rising,269.75,0.947,69,128.14,0.937,53,84.59,0.162,-4.53,0.19
Trend filters,stock_none__market_spx_close_gt_sma200,268.97,0.926,73,143.45,1.029,52,83.81,0.141,10.78,0.282
Trend filters,stock_close_gt_sma50__market_spx_close_gt_sma200,268.97,0.926,73,143.45,1.029,52,83.81,0.141,10.78,0.282
Trend filters,stock_close_gt_sma200__market_spx_close_gt_sma200,268.97,0.926,73,143.45,1.029,52,83.81,0.141,10.78,0.282
Trend filters,stock_none__market_spx_close_gt_sma200_sma200_rising,265.61,0.94,69,144.21,1.038,50,80.45,0.155,11.54,0.291
Trend filters,stock_close_gt_sma50__market_spx_close_gt_sma200_sma200_rising,265.61,0.94,69,144.21,1.038,50,80.45,0.155,11.54,0.291
Trend filters,stock_close_gt_sma200__market_spx_close_gt_sma200_sma200_rising,265.61,0.94,69,144.21,1.038,50,80.45,0.155,11.54,0.291
Trend filters,stock_none__market_none,262.33,0.905,77,173.62,1.009,62,77.17,0.12,40.95,0.262
Trend filters,stock_close_gt_sma50__market_none,262.33,0.905,77,162.37,0.973,62,77.17,0.12,29.7,0.226
Trend filters,stock_close_gt_sma200__market_none,262.33,0.905,77,173.62,1.009,62,77.17,0.12,40.95,0.262
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,233.2,0.923,58,123.52,0.957,44,48.04,0.138,-9.15,0.21
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,233.2,0.923,58,123.52,0.957,44,48.04,0.138,-9.15,0.21
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma100,233.17,0.862,72,137.73,0.987,52,48.01,0.077,5.06,0.24
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma200,223.84,0.848,72,153.13,1.075,51,38.68,0.063,20.46,0.328
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_sma200_rising,221.13,0.862,68,127.46,0.941,52,35.97,0.077,-5.21,0.194
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_none,218.02,0.827,76,186.71,1.057,61,32.86,0.042,54.04,0.31
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma200_sma200_rising,217.54,0.855,68,153.91,1.085,49,32.38,0.07,21.24,0.338
Trend filters,stock_none__market_spx_sma50_gt_sma200,215.8,0.873,68,112.78,0.854,52,30.64,0.088,-19.89,0.107
Trend filters,stock_close_gt_sma50__market_spx_sma50_gt_sma200,215.8,0.873,68,104.03,0.814,52,30.64,0.088,-28.64,0.067
Trend filters,stock_close_gt_sma200__market_spx_sma50_gt_sma200,215.8,0.873,68,112.78,0.854,52,30.64,0.088,-19.89,0.107
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma100,215.37,0.827,71,135.75,0.995,50,30.21,0.042,3.08,0.248
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_sma200_rising,214.66,0.904,57,88.37,0.776,45,29.5,0.119,-44.3,0.029
Trend filters,stock_close_gt_sma50_sma50_rising__market_none,212.63,0.815,75,137.48,0.915,59,27.47,0.03,4.81,0.168
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200_sma200_rising,211.34,0.897,57,91.72,0.811,42,26.18,0.112,-40.95,0.064
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200,206.54,0.813,71,145.81,1.058,49,21.38,0.028,13.14,0.311
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_sma200_rising,202.65,0.827,67,114.27,0.888,51,17.49,0.042,-18.4,0.141
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200_sma200_rising,199.35,0.82,67,146.57,1.067,47,14.19,0.035,13.9,0.32
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma100,199.09,0.85,61,90.81,0.787,46,13.93,0.065,-41.86,0.04
