Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2010-01-04,100000.0,100000.0,0.0,0,0
2010-01-05,100000.0,100000.0,0.0,0,3
2010-01-06,100628.83471548956,66666.66666666666,33962.168048822896,1,2
2010-01-07,100819.20253544286,66666.66666666666,34152.53586877621,1,2
2010-01-08,100628.83471548956,66666.66666666666,33962.168048822896,1,2
2010-01-11,99448.53508169233,66666.66666666666,32781.86841502567,1,2
2010-01-12,98001.71411659822,66666.66666666666,31335.047449931564,1,2
2010-01-13,98458.60645952952,66666.66666666666,31791.93979286286,1,2
2010-01-14,98610.90390717328,66666.66666666666,31944.237240506623,1,2
2010-01-15,97925.570180298,66666.66666666666,31258.90351363135,1,2
2010-01-19,100210.01912823004,66666.66666666666,33543.35246156338,1,2
2010-01-20,100039.70301686117,33491.77366066914,66547.92935619203,2,1
2010-01-21,97735.94196029281,33491.77366066914,64244.16829962366,2,1
2010-01-22,94982.92151137252,33491.77366066914,61491.14785070339,2,1
2010-01-25,95282.58600319189,33491.77366066914,61790.81234252275,2,1
2010-01-26,94878.3767629759,63695.6267606881,31182.750002287798,1,2
2010-01-27,95106.8245302821,63695.6267606881,31411.197769594004,1,2
2010-01-28,94878.3767629759,63695.6267606881,31182.750002287798,1,2
2010-01-29,93621.93319287845,63695.6267606881,29926.30643219035,1,2
2010-02-01,94764.15287932279,63695.6267606881,31068.526118634698,1,2
2010-02-02,95563.71368153229,63695.6267606881,31868.086920844187,1,2
2010-02-03,96858.23719898262,63695.6267606881,33162.61043829452,1,2
2010-02-04,94307.26691975373,63695.6267606881,30611.640159065628,1,2
2010-02-05,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-08,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-09,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-10,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-11,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-12,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-16,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-17,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-18,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-19,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-22,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-23,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-24,93240.57504748765,93240.57504748765,0.0,0,3
2010-02-25,93240.57504748765,93240.57504748765,0.0,0,3
