Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
PNC,2010-01-11,2010-01-20,2010-01-26,36.61,33.3313,906.170254,-2971.04,-8.96,stop,79.44,36.61,52.32,33.3313,6
VIAV,2010-01-04,2010-01-06,2010-02-05,4.98,4.414,6693.440428,-3788.39,-11.37,stop,86.02,4.98,6.7,4.414,30
ZION,2010-03-03,2010-03-10,2010-06-03,14.75,17.2333,2107.131639,5232.67,16.84,time_stop,82.96,14.75,20.49,12.8306,85
RF,2010-03-03,2010-03-10,2010-06-03,4.43,4.9339,7052.680785,3553.91,11.37,time_stop,80.29,4.43,5.91,3.8593,85
HBAN,2010-03-03,2010-03-10,2010-06-03,2.97,3.5729,10409.766831,6276.24,20.3,time_stop,80.27,2.97,3.9,2.665,85
FTI,2010-09-14,2010-09-21,2010-12-14,23.1,29.7736,1562.81957,10429.61,28.89,time_stop,85.75,23.1,30.7,20.8785,84
CBRE,2010-10-05,2010-10-13,2011-01-06,19.0,20.74,1947.431862,3388.53,9.16,time_stop,85.32,19.0,24.98,16.67,85
ANF,2010-10-26,2010-11-04,2011-01-31,33.65,37.214,1046.09387,3728.28,10.59,time_stop,88.78,33.65,45.39,29.1725,88
CNX,2010-12-22,2011-01-03,2011-03-29,37.17,41.8105,1186.083862,5504.06,12.48,time_stop,88.38,37.17,49.82,34.0534,85
ATI,2011-01-13,2011-01-19,2011-04-13,52.61,56.9924,814.174863,3568.01,8.33,time_stop,89.13,52.61,70.62,46.2033,84
NBR,2011-01-28,2011-02-02,2011-04-28,1044.55,1294.0463,37.269008,9298.48,23.89,time_stop,87.88,1044.55,1395.3,933.2594,85
HRB,2011-03-28,2011-04-04,2011-05-10,9.6,8.8372,5083.962112,-3878.07,-7.95,stop,83.85,9.6,12.79,8.8372,36
ANDV,2011-11-04,2011-11-09,2011-11-17,25.48,20.8792,1811.956147,-8336.53,-18.06,stop,87.93,25.48,34.01,20.8792,8
JBL,2011-10-21,2011-10-27,2012-01-24,17.85,20.119,2620.771209,5946.41,12.71,time_stop,76.09,17.85,24.67,15.2772,89
WMB,2011-12-27,2012-01-03,2012-03-28,12.7,14.6122,3438.021766,6574.12,15.06,time_stop,88.82,12.7,16.93,11.6899,85
DHI,2012-01-04,2012-01-11,2012-04-05,11.39,12.0932,3649.000984,2566.12,6.17,time_stop,85.67,11.39,15.59,10.0079,85
JBL,2012-01-19,2012-01-25,2012-04-19,20.4,19.5472,2383.246464,-2032.36,-4.18,time_stop,86.69,20.4,27.21,18.6569,85
AMZN,2012-07-18,2012-07-27,2012-10-19,11.52,12.0,4197.339504,2014.72,4.17,time_stop,69.65,11.52,15.51,10.3257,84
EXPE,2012-07-18,2012-07-27,2012-10-19,46.09,47.5132,1059.610425,1508.0,3.09,time_stop,62.97,46.09,66.8,37.3068,84
ANDV,2012-07-25,2012-08-02,2012-10-25,24.98,33.0505,1916.30335,15465.57,32.31,time_stop,79.47,24.98,33.25,21.3592,84
GS,2012-10-11,2012-10-19,2012-11-09,95.43,88.8712,577.630763,-3788.58,-6.87,stop,91.39,95.43,124.54,88.8712,21
VMC,2012-11-19,2012-11-29,2013-02-26,45.2,45.8508,1181.856686,769.19,1.44,time_stop,86.65,45.2,60.42,40.3155,89
C,2012-12-11,2012-12-18,2013-03-15,28.34,34.8025,1926.773651,12451.76,22.8,time_stop,87.9,28.34,38.36,25.9049,87
NFLX,2012-12-26,2013-01-07,2013-04-03,1.4,2.4249,37310.770818,38238.2,73.2,time_stop,83.47,1.4,1.88,1.2238,86
