Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2020-01-02,102534.88090738628,66666.66666666666,35868.21424071963,1,2
2020-01-03,102169.6241318731,66666.66666666666,35502.95746520644,1,2
2020-01-06,102016.2169549627,66666.66666666666,35349.550288296035,1,2
2020-01-07,101913.94550368909,66666.66666666666,35247.27883702243,1,2
2020-01-08,101607.13114986828,66666.66666666666,34940.46448320161,1,2
2020-01-09,102439.91615216824,66666.66666666666,35773.24948550159,1,2
2020-01-10,101855.50308199672,66666.66666666666,35188.83641533006,1,2
2020-01-13,102279.20227920226,66666.66666666666,35612.53561253561,1,2
2020-01-14,101884.7242928429,66666.66666666666,35218.05762617625,1,2
2020-01-15,102133.09901165939,66666.66666666666,35466.43234499273,1,2
2020-01-16,103024.32643565175,66666.66666666666,36357.65976898508,1,2
2020-01-17,103871.72204337482,66666.66666666666,37205.05537670815,1,2
2020-01-21,103959.38288922532,66666.66666666666,37292.71622255866,1,2
2020-01-22,104236.97881888799,66666.66666666666,37570.31215222133,1,2
2020-01-23,104441.5217214352,66666.66666666666,37774.855054768545,1,2
2020-01-24,103448.02284616925,66666.66666666666,36781.35617950259,1,2
2020-01-27,102651.76296408298,66666.66666666666,35985.09629741633,1,2
2020-01-28,103579.51550828904,66666.66666666666,36912.848841622384,1,2
2020-01-29,101373.36424978683,66666.66666666666,34706.69758312018,1,2
2020-01-30,102301.11679399289,66666.66666666666,35634.45012732623,1,2
2020-01-31,101000.80356490612,66666.66666666666,34334.13689823946,1,2
2020-02-03,101745.92772135558,66666.66666666666,35079.26105468893,1,2
2020-02-04,102790.56232225834,66666.66666666666,36123.89565559169,1,2
2020-02-05,103075.46216128854,66666.66666666666,36408.79549462188,1,2
2020-02-06,102695.59478035226,66666.66666666666,36028.9281136856,1,2
2020-02-07,102995.10522480555,66666.66666666666,36328.43855813889,1,2
2020-02-10,104843.3036171621,66666.66666666666,38176.63695049544,1,2
2020-02-11,105968.29515454784,66666.66666666666,39301.628487881186,1,2
2020-02-12,106034.04148560774,66666.66666666666,39367.374818941076,1,2
2020-02-13,106501.56971239453,66666.66666666666,39834.90304572787,1,2
2020-02-14,107071.37217714297,66666.66666666666,40404.70551047631,1,2
2020-02-18,108225.58213868685,66666.66666666666,41558.91547202019,1,2
2020-02-19,109693.91593679517,66666.66666666666,43027.24927012851,1,2
2020-02-20,108503.17806834952,66666.66666666666,41836.51140168287,1,2
2020-02-21,106011.06541933128,31470.524075462803,74540.54134386848,2,1
2020-02-24,101847.60943099708,31470.524075462803,70377.08535553428,2,1
2020-02-25,99713.27885406194,31470.524075462803,68242.75477859913,2,1
2020-02-26,99363.93902230958,31470.524075462803,67893.41494684678,2,1
2020-02-27,96323.53757573075,64173.637421202875,32149.900154527873,1,2
2020-02-28,97397.3933874797,64173.637421202875,33223.75596627682,1,2
2020-03-02,98843.80988410933,64173.637421202875,34670.17246290646,1,2
2020-03-03,98325.14593168575,64173.637421202875,34151.508510482876,1,2
2020-03-04,100779.67190900445,64173.637421202875,36606.03448780157,1,2
2020-03-05,99318.64480695169,64173.637421202875,35145.007385748824,1,2
2020-03-06,99669.29097704179,64173.637421202875,35495.653555838915,1,2
2020-03-09,95782.95910851654,64173.637421202875,31609.321687313666,1,2
2020-03-10,97324.34314705228,64173.637421202875,33150.705725849395,1,2
2020-03-11,97558.10726044566,64173.637421202875,33384.46983924279,1,2
2020-03-12,93379.56946990601,93379.56946990601,0.0,0,2
2020-03-13,93379.56946990601,93379.56946990601,0.0,0,2
2020-03-16,93379.56946990601,93379.56946990601,0.0,0,2
2020-03-17,93379.56946990601,93379.56946990601,0.0,0,2
2020-03-18,93379.56946990601,93379.56946990601,0.0,0,1
2020-03-19,93379.56946990601,93379.56946990601,0.0,0,1
2020-03-20,93379.56946990601,93379.56946990601,0.0,0,1
2020-03-23,93379.56946990601,93379.56946990601,0.0,0,0
2020-03-24,93379.56946990601,93379.56946990601,0.0,0,0
2020-03-25,93379.56946990601,93379.56946990601,0.0,0,0
2020-03-26,93379.56946990601,93379.56946990601,0.0,0,0
2020-03-27,93379.56946990601,93379.56946990601,0.0,0,0
2020-03-30,93379.56946990601,93379.56946990601,0.0,0,0
2020-03-31,93379.56946990601,93379.56946990601,0.0,0,0
2020-04-01,93379.56946990601,93379.56946990601,0.0,0,0
