Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2010-01-04,100000.0,100000.0,0.0,0,1
2010-01-05,100000.0,100000.0,0.0,0,1
2010-01-06,100000.0,100000.0,0.0,0,1
2010-01-07,100000.0,100000.0,0.0,0,0
2010-01-08,100000.0,100000.0,0.0,0,0
2010-01-11,100051.64966538502,66666.66666666666,33384.98299871836,1,0
2010-01-12,99955.10154328951,66666.66666666666,33288.43487662285,1,0
2010-01-13,100271.1444958692,66666.66666666666,33604.47782920255,1,0
2010-01-14,100307.61509461429,66666.66666666666,33640.94842794763,1,0
2010-01-15,100392.71086352199,66666.66666666666,33726.044196855335,1,0
2010-01-19,100824.23773467637,66666.66666666666,34157.57106800971,1,0
2010-01-20,100848.54343526524,66666.66666666666,34181.87676859858,1,0
2010-01-21,100435.23981562161,66666.66666666666,33768.57314895495,1,0
2010-01-22,99797.07490363032,66666.66666666666,33130.40823696366,1,0
2010-01-25,99912.55193771255,66666.66666666666,33245.88527104589,1,0
2010-01-26,99778.85509436579,66666.66666666666,33112.18842769913,1,0
2010-01-27,99426.33465854856,66666.66666666666,32759.6679918819,1,0
2010-01-28,99456.70903923063,66666.66666666666,32790.04237256397,1,0
2010-01-29,98842.83950108953,66666.66666666666,32176.172834422872,1,0
2010-02-01,99085.95158291774,66666.66666666666,32419.28491625109,1,0
2010-02-02,99754.53218254581,66666.66666666666,33087.865515879144,1,0
2010-02-03,99882.17067253802,66666.66666666666,33215.504005871364,1,0
2010-02-04,99377.69916164727,66666.66666666666,32711.032494980605,1,0
2010-02-05,99468.87737963308,66666.66666666666,32802.210712966415,1,0
2010-02-08,99092.04780098076,66666.66666666666,32425.381134314095,1,0
2010-02-09,99092.04780098076,66666.66666666666,32425.381134314095,1,0
2010-02-10,99037.34362398625,66666.66666666666,32370.67695731959,1,0
2010-02-11,99207.5145083243,66666.66666666666,32540.847841657647,1,0
2010-02-12,99444.56135230554,66666.66666666666,32777.89468563888,1,0
2010-02-16,99845.70007379295,66666.66666666666,33179.033407126284,1,0
2010-02-17,99942.94697187196,66666.66666666666,33276.280305205306,1,0
2010-02-18,100076.64725746494,66666.66666666666,33409.98059079829,1,0
2010-02-19,99718.06158380072,66666.66666666666,33051.394917134065,1,0
2010-02-22,99730.21959746449,66666.66666666666,33063.552930797836,1,0
2010-02-23,99468.87737963308,66666.66666666666,32802.210712966415,1,0
2010-02-24,99687.67687637998,66666.66666666666,33021.01020971332,1,0
2010-02-25,99560.03494414155,66666.66666666666,32893.36827747488,1,0
2010-02-26,99657.28872671301,66666.66666666666,32990.62206004635,1,0
2010-03-01,99663.35052231376,66666.66666666666,32996.68385564711,1,0
2010-03-02,99839.62106696106,66666.66666666666,33172.9544002944,1,0
2010-03-03,99535.718916814,66666.66666666666,32869.052250147346,1,0
2010-03-04,99535.718916814,66666.66666666666,32869.052250147346,1,0
2010-03-05,99681.60819628678,66666.66666666666,33014.94152962011,1,0
2010-03-08,99742.37416888203,66666.66666666666,33075.70750221538,1,0
2010-03-09,99973.3316792927,66666.66666666666,33306.66501262605,1,0
2010-03-10,100113.1281829487,66666.66666666666,33446.46151628204,1,0
2010-03-11,100423.09557094274,66666.66666666666,33756.42890427609,1,0
2010-03-12,99803.1539104622,66666.66666666666,33136.48724379555,1,0
2010-03-15,99973.3316792927,66666.66666666666,33306.66501262605,1,0
2010-03-16,99900.40080854122,66666.66666666666,33233.73414187457,1,0
2010-03-17,99790.98212781354,66666.66666666666,33124.31546114688,1,0
2010-03-18,99347.30412748785,66666.66666666666,32680.637460821185,1,0
2010-03-19,99158.89966490035,66666.66666666666,32492.232998233696,1,0
2010-03-22,99408.09419580668,66666.66666666666,32741.427529140023,1,0
2010-03-23,99693.75244096565,66666.66666666666,33027.08577429898,1,0
2010-03-24,99408.09419580668,66666.66666666666,32741.427529140023,1,0
2010-03-25,99195.35649466053,66666.66666666666,32528.68982799388,1,0
2010-03-26,98610.35914094928,98610.35914094928,0.0,0,0
2010-03-29,98610.35914094928,98610.35914094928,0.0,0,0
2010-03-30,98610.35914094928,98610.35914094928,0.0,0,0
2010-03-31,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-01,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-05,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-06,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-07,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-08,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-09,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-12,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-13,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-14,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-15,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-16,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-19,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-20,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-21,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-22,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-23,98610.35914094928,98610.35914094928,0.0,0,0
