Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
ABT,2010-01-08,2010-01-11,2010-03-26,18.47,17.7,1804.728388,-1389.64,-4.17,stop,77.29,18.47,24.15,17.7,74
ADBE,2011-02-11,2011-02-16,2011-03-15,34.3,32.34,958.312528,-1878.29,-5.71,stop,71.58,34.3,45.44,32.34,27
ADBE,2011-05-06,2011-05-10,2011-06-07,34.73,32.75,928.419873,-1838.27,-5.7,stop,71.17,34.73,45.63,32.75,28
ADM,2012-03-09,2012-03-13,2012-04-23,21.52,20.4,1469.854325,-1646.24,-5.2,stop,58.91,21.52,30.28,20.4,41
ADI,2012-03-23,2012-03-27,2012-04-23,29.74,27.32,1061.60276,-2569.08,-8.14,stop,77.08,29.74,39.63,27.32,27
ADBE,2012-08-17,2012-08-20,2012-11-14,33.91,32.24,891.364197,-1488.58,-4.92,time_stop,75.73,33.91,46.86,29.52,86
ADM,2013-06-28,2013-07-02,2013-09-25,24.26,25.5225,1225.472699,1547.19,5.2,time_stop,78.34,24.26,31.84,22.09,85
AAPL,2013-11-22,2013-11-27,2014-01-28,16.6,15.84,1822.030045,-1384.74,-4.58,stop,70.1,16.6,21.66,15.84,62
AAPL,2014-04-25,2014-04-28,2014-07-22,17.81,20.7659,1672.325536,4943.24,16.6,time_stop,78.58,17.81,23.88,15.93,85
ADM,2016-07-15,2016-07-18,2016-10-10,32.85,32.4279,956.829993,-403.85,-1.28,time_stop,75.24,32.85,45.16,29.04,84
ADI,2016-09-30,2016-10-05,2016-12-29,54.41,61.8824,575.211309,4298.22,13.73,time_stop,86.0,54.41,71.37,49.35,85
AAL,2016-10-07,2016-10-11,2017-01-05,38.09,44.345,809.197877,5061.56,16.42,time_stop,70.22,38.09,54.23,32.68,86
ADM,2016-11-04,2016-11-08,2017-02-03,35.88,33.2062,885.511356,-2367.64,-7.45,time_stop,57.32,35.88,49.77,31.09,87
AAP,2018-03-09,2018-03-13,2018-04-19,104.38,90.75,322.168633,-4391.16,-13.06,stop,74.59,104.38,139.85,90.75,37
AAP,2018-05-18,2018-05-22,2018-08-15,107.06,138.4024,300.43193,9416.27,29.28,time_stop,65.76,107.06,143.23,89.42,85
AAPL,2019-09-06,2019-09-09,2019-12-02,51.49,63.6182,685.628249,8315.41,23.55,time_stop,66.26,51.49,69.29,48.26,84
ABBV,2020-02-07,2020-02-10,2020-03-12,72.29,62.52,526.695278,-5145.81,-13.52,stop,77.92,72.29,94.41,62.52,31
ABBV,2020-06-26,2020-07-01,2020-09-08,78.4,71.63,463.769524,-3139.72,-8.64,stop,66.33,78.4,108.16,71.63,69
ADM,2020-07-24,2020-07-28,2020-10-20,36.26,43.3221,997.816474,7046.64,19.48,time_stop,70.2,36.26,51.23,31.71,84
A,2022-12-09,2022-12-13,2023-01-06,153.41,140.73,245.497937,-3112.91,-8.27,stop,82.91,153.41,201.6,140.73,24
ADI,2023-03-31,2023-04-03,2023-04-27,187.83,168.95,194.985895,-3681.33,-10.05,stop,66.23,187.83,247.94,168.95,24
AAPL,2023-07-14,2023-07-19,2023-08-04,191.79,182.67,184.561705,-1683.2,-4.76,stop,63.14,191.79,261.48,182.67,16
ACN,2023-08-25,2023-08-29,2023-09-28,310.64,288.71,112.142743,-2459.29,-7.06,stop,78.49,310.64,404.01,288.71,30
A,2024-03-01,2024-03-04,2024-05-28,138.6,145.9176,245.427549,1795.93,5.28,time_stop,66.62,138.6,182.2,124.58,85
ADM,2025-10-10,2025-10-15,2025-11-04,62.95,56.88,549.182786,-3333.54,-9.64,stop,71.43,62.95,86.57,56.88,20
ADI,2025-08-22,2025-08-26,2025-11-18,254.5,228.6043,136.011406,-3522.11,-10.18,time_stop,67.21,254.5,343.35,216.07,84
A,2025-09-26,2025-10-01,2025-12-24,130.21,137.7589,259.987321,1962.62,5.8,time_stop,67.22,130.21,175.91,120.05,84
AAPL,2025-11-21,2025-11-25,2026-01-06,276.54,263.9,125.166124,-1582.1,-4.57,stop,58.36,276.54,384.75,263.9,42
ADM,2026-01-09,2026-01-12,2026-04-08,61.55,71.2502,527.319649,5115.13,15.76,time_stop,77.72,61.55,82.73,56.37,86
