Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2010-01-04,100000.0,100000.0,0.0,0,1
2010-01-05,100000.0,100000.0,0.0,0,1
2010-01-06,100000.0,100000.0,0.0,0,1
2010-01-07,100000.0,100000.0,0.0,0,0
2010-01-08,100000.0,100000.0,0.0,0,0
2010-01-11,100051.64966538502,66666.66666666666,33384.98299871836,1,0
2010-01-12,99955.09810104329,66666.66666666666,33288.431434376624,1,0
2010-01-13,100271.13416913054,66666.66666666666,33604.467502463885,1,0
2010-01-14,100307.61165236807,66666.66666666666,33640.94498570141,1,0
2010-01-15,100392.70053678332,66666.66666666666,33726.03387011666,1,0
2010-01-19,100824.2274079377,66666.66666666666,34157.56074127104,1,0
2010-01-20,100848.55031975769,66666.66666666666,34181.88365309103,1,0
2010-01-21,100435.25702685273,66666.66666666666,33768.59036018608,1,0
2010-01-22,99797.07490363032,66666.66666666666,33130.40823696366,1,0
2010-01-25,99912.55537995877,66666.66666666666,33245.88871329211,1,0
2010-01-26,99778.83099864222,66666.66666666666,33112.16433197556,1,0
2010-01-27,99426.32433180988,66666.66666666666,32759.657665143226,1,0
2010-01-28,99456.7193659693,66666.66666666666,32790.05269930264,1,0
2010-01-29,98842.84638558197,66666.66666666666,32176.179718915322,1,0
2010-02-01,99085.97567864132,66666.66666666666,32419.30901197466,1,0
2010-02-02,99754.53562479203,66666.66666666666,33087.86895812537,1,0
2010-02-03,99882.16378804558,66666.66666666666,33215.49712137892,1,0
2010-02-04,99377.69916164727,66666.66666666666,32711.032494980605,1,0
2010-02-05,99468.87393738684,66666.66666666666,32802.20727072019,1,0
2010-02-08,99092.05812771943,66666.66666666666,32425.391461052768,1,0
2010-02-09,99092.05812771943,66666.66666666666,32425.391461052768,1,0
2010-02-10,99037.34362398625,66666.66666666666,32370.67695731959,1,0
2010-02-11,99207.51795057053,66666.66666666666,32540.85128390387,1,0
2010-02-12,99444.55446781308,66666.66666666666,32777.88780114643,1,0
2010-02-16,99845.69663154671,66666.66666666666,33179.02996488006,1,0
2010-02-17,99942.94008737951,66666.66666666666,33276.27342071286,1,0
2010-02-18,100076.64725746494,66666.66666666666,33409.98059079829,1,0
2010-02-19,99718.0719105394,66666.66666666666,33051.40524387274,1,0
2010-02-22,99730.22303971072,66666.66666666666,33063.55637304406,1,0
2010-02-23,99468.87393738684,66666.66666666666,32802.20727072019,1,0
2010-02-24,99687.67687637998,66666.66666666666,33021.01020971332,1,0
2010-02-25,99560.04871312642,66666.66666666666,32893.382046459774,1,0
2010-02-26,99657.29561120545,66666.66666666666,32990.628944538796,1,0
2010-03-01,99663.35052231376,66666.66666666666,32996.68385564711,1,0
2010-03-02,99839.61762471483,66666.66666666666,33172.950958048175,1,0
2010-03-03,99535.72580130646,66666.66666666666,32869.05913463979,1,0
2010-03-04,99535.72580130646,66666.66666666666,32869.05913463979,1,0
2010-03-05,99681.60475404054,66666.66666666666,33014.938087373885,1,0
2010-03-08,99742.37761112826,66666.66666666666,33075.7109444616,1,0
2010-03-09,99973.34200603138,66666.66666666666,33306.67533936472,1,0
2010-03-10,100113.1281829487,66666.66666666666,33446.46151628204,1,0
2010-03-11,100423.0886864503,66666.66666666666,33756.42201978363,1,0
2010-03-12,99803.14702596975,66666.66666666666,33136.480359303096,1,0
2010-03-15,99973.34200603138,66666.66666666666,33306.67533936472,1,0
2010-03-16,99900.397366295,66666.66666666666,33233.730699628344,1,0
2010-03-17,99790.99589679844,66666.66666666666,33124.32923013178,1,0
2010-03-18,99347.30756973407,66666.66666666666,32680.640903067408,1,0
2010-03-19,99158.88933816168,66666.66666666666,32492.222671495023,1,0
2010-03-22,99408.09075356045,66666.66666666666,32741.4240868938,1,0
2010-03-23,99693.75244096565,66666.66666666666,33027.08577429898,1,0
2010-03-24,99408.09075356045,66666.66666666666,32741.4240868938,1,0
2010-03-25,99195.35993690675,66666.66666666666,32528.693270240103,1,0
2010-03-26,98610.35914094928,98610.35914094928,0.0,0,0
2010-03-29,98610.35914094928,98610.35914094928,0.0,0,0
2010-03-30,98610.35914094928,98610.35914094928,0.0,0,0
2010-03-31,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-01,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-05,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-06,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-07,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-08,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-09,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-12,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-13,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-14,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-15,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-16,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-19,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-20,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-21,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-22,98610.35914094928,98610.35914094928,0.0,0,0
2010-04-23,98610.35914094928,98610.35914094928,0.0,0,0
