Symbol,SignalDate,TradeStartDate,ExpireDate,Score,BreakoutLevel,Target,TargetReturnPct,Stop,CupLowDate,LeftRimDate,RightRimDate,HandleLowDate,CupDepthPct,HandleDepthPctOfCup,CandidateJson,HandleCupVolumeRatio,WeeklyVolumeCondition
DVA,2010-01-01,2010-01-04,2010-01-06,83.15,30.99,40.48,30.62,26.5,2009-03-27,2008-08-15,2009-11-06,2009-11-06,31.54,36.55,"{""score"": 83.15, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 32, ""bottom_idx"": 64, ""right_rim_idx"": 96, ""handle_low_idx"": 96, ""last_idx"": 104, ""left_rim_date"": ""2008-08-15"", ""bottom_date"": ""2009-03-27"", ""right_rim_date"": ""2009-11-06"", ""handle_low_date"": ""2009-11-06"", ""last_date"": ""2010-01-01"", ""left_rim_price"": 30.1, ""bottom_price"": 20.6, ""right_rim_price"": 29.97, ""handle_low_price"": 26.5, ""last_close"": 29.37, ""cup_depth_pct"": 31.54, ""handle_depth_pct_of_cup"": 36.55, ""right_rim_gap_pct"": 0.45, ""cup_width_weeks"": 64, ""handle_width_weeks"": 8, ""breakout_level"": 30.99, ""projected_target"": 40.48, ""volume_note"": ""handle avg volume 0.79x cup avg; latest week 0.33x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.79,PASS: handle avg volume <= 1.05x cup avg
CPB,2010-01-01,2010-01-04,2010-01-06,78.77,20.97,28.44,35.62,18.98,2009-05-01,2008-08-15,2009-12-04,2009-12-18,34.47,26.75,"{""score"": 78.77, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 32, ""bottom_idx"": 69, ""right_rim_idx"": 100, ""handle_low_idx"": 102, ""last_idx"": 104, ""left_rim_date"": ""2008-08-15"", ""bottom_date"": ""2009-05-01"", ""right_rim_date"": ""2009-12-04"", ""handle_low_date"": ""2009-12-18"", ""last_date"": ""2010-01-01"", ""left_rim_price"": 21.67, ""bottom_price"": 14.2, ""right_rim_price"": 20.97, ""handle_low_price"": 18.98, ""last_close"": 19.96, ""cup_depth_pct"": 34.47, ""handle_depth_pct_of_cup"": 26.75, ""right_rim_gap_pct"": 3.2, ""cup_width_weeks"": 68, ""handle_width_weeks"": 4, ""breakout_level"": 20.97, ""projected_target"": 28.44, ""volume_note"": ""handle avg volume 0.80x cup avg; latest week 0.52x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.8,PASS: handle avg volume <= 1.05x cup avg
GIS,2010-01-01,2010-01-04,2010-01-06,78.08,20.42,26.55,30.02,18.27,2009-03-20,2008-08-15,2009-10-23,2009-11-06,32.33,11.28,"{""score"": 78.08, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 32, ""bottom_idx"": 63, ""right_rim_idx"": 94, ""handle_low_idx"": 96, ""last_idx"": 104, ""left_rim_date"": ""2008-08-15"", ""bottom_date"": ""2009-03-20"", ""right_rim_date"": ""2009-10-23"", ""handle_low_date"": ""2009-11-06"", ""last_date"": ""2010-01-01"", ""left_rim_price"": 18.54, ""bottom_price"": 12.83, ""right_rim_price"": 18.96, ""handle_low_price"": 18.27, ""last_close"": 20.06, ""cup_depth_pct"": 32.33, ""handle_depth_pct_of_cup"": 11.28, ""right_rim_gap_pct"": 2.19, ""cup_width_weeks"": 62, ""handle_width_weeks"": 10, ""breakout_level"": 20.42, ""projected_target"": 26.55, ""volume_note"": ""handle avg volume 0.56x cup avg; latest week 0.65x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""no weekly close above the handle/rim resistance yet""]}",0.56,PASS: handle avg volume <= 1.05x cup avg
SYY,2010-01-01,2010-01-04,2010-01-06,77.37,18.33,24.45,33.39,16.12,2009-03-13,2008-07-25,2009-10-30,2009-11-06,34.38,19.5,"{""score"": 77.37, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 29, ""bottom_idx"": 62, ""right_rim_idx"": 95, ""handle_low_idx"": 96, ""last_idx"": 104, ""left_rim_date"": ""2008-07-25"", ""bottom_date"": ""2009-03-13"", ""right_rim_date"": ""2009-10-30"", ""handle_low_date"": ""2009-11-06"", ""last_date"": ""2010-01-01"", ""left_rim_price"": 17.81, ""bottom_price"": 11.69, ""right_rim_price"": 17.31, ""handle_low_price"": 16.12, ""last_close"": 17.52, ""cup_depth_pct"": 34.38, ""handle_depth_pct_of_cup"": 19.5, ""right_rim_gap_pct"": 2.77, ""cup_width_weeks"": 66, ""handle_width_weeks"": 9, ""breakout_level"": 18.33, ""projected_target"": 24.45, ""volume_note"": ""handle avg volume 0.89x cup avg; latest week 0.43x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.89,PASS: handle avg volume <= 1.05x cup avg
STZ,2010-01-01,2010-01-04,2010-01-06,76.72,14.84,19.92,34.23,12.6,2009-05-22,2009-01-09,2009-10-23,2009-12-18,35.08,34.72,"{""score"": 76.72, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 53, ""bottom_idx"": 72, ""right_rim_idx"": 94, ""handle_low_idx"": 102, ""last_idx"": 104, ""left_rim_date"": ""2009-01-09"", ""bottom_date"": ""2009-05-22"", ""right_rim_date"": ""2009-10-23"", ""handle_low_date"": ""2009-12-18"", ""last_date"": ""2010-01-01"", ""left_rim_price"": 14.5, ""bottom_price"": 9.41, ""right_rim_price"": 14.36, ""handle_low_price"": 12.6, ""last_close"": 13.46, ""cup_depth_pct"": 35.08, ""handle_depth_pct_of_cup"": 34.72, ""right_rim_gap_pct"": 0.93, ""cup_width_weeks"": 41, ""handle_width_weeks"": 10, ""breakout_level"": 14.84, ""projected_target"": 19.92, ""volume_note"": ""handle avg volume 0.69x cup avg; latest week 0.35x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.69,PASS: handle avg volume <= 1.05x cup avg
PFE,2010-01-01,2010-01-04,2010-01-06,75.45,9.08,12.42,36.78,7.92,2009-03-06,2008-10-03,2009-10-23,2009-11-06,38.28,24.24,"{""score"": 75.45, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 39, ""bottom_idx"": 61, ""right_rim_idx"": 94, ""handle_low_idx"": 96, ""last_idx"": 104, ""left_rim_date"": ""2008-10-03"", ""bottom_date"": ""2009-03-06"", ""right_rim_date"": ""2009-10-23"", ""handle_low_date"": ""2009-11-06"", ""last_date"": ""2010-01-01"", ""left_rim_price"": 8.65, ""bottom_price"": 5.39, ""right_rim_price"": 8.73, ""handle_low_price"": 7.92, ""last_close"": 8.7, ""cup_depth_pct"": 38.28, ""handle_depth_pct_of_cup"": 24.24, ""right_rim_gap_pct"": 0.93, ""cup_width_weeks"": 55, ""handle_width_weeks"": 10, ""breakout_level"": 9.08, ""projected_target"": 12.42, ""volume_note"": ""handle avg volume 0.83x cup avg; latest week 0.35x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""no weekly close above the handle/rim resistance yet""]}",0.83,PASS: handle avg volume <= 1.05x cup avg
SHW,2010-01-01,2010-01-04,2010-01-06,75.13,17.75,23.96,34.99,15.56,2009-03-06,2008-09-19,2009-10-23,2009-10-30,35.02,35.14,"{""score"": 75.13, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 37, ""bottom_idx"": 61, ""right_rim_idx"": 94, ""handle_low_idx"": 95, ""last_idx"": 104, ""left_rim_date"": ""2008-09-19"", ""bottom_date"": ""2009-03-06"", ""right_rim_date"": ""2009-10-23"", ""handle_low_date"": ""2009-10-30"", ""last_date"": ""2010-01-01"", ""left_rim_price"": 17.52, ""bottom_price"": 11.53, ""right_rim_price"": 17.75, ""handle_low_price"": 15.56, ""last_close"": 17.16, ""cup_depth_pct"": 35.02, ""handle_depth_pct_of_cup"": 35.14, ""right_rim_gap_pct"": 1.29, ""cup_width_weeks"": 57, ""handle_width_weeks"": 10, ""breakout_level"": 17.75, ""projected_target"": 23.96, ""volume_note"": ""handle avg volume 0.61x cup avg; latest week 0.36x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""no weekly close above the handle/rim resistance yet""]}",0.61,PASS: handle avg volume <= 1.05x cup avg
ORCL,2010-01-01,2010-01-04,2010-01-06,75.0,20.16,27.98,38.79,16.58,2009-03-13,2008-08-08,2009-10-23,2009-11-06,41.57,18.88,"{""score"": 75.0, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 31, ""bottom_idx"": 62, ""right_rim_idx"": 94, ""handle_low_idx"": 96, ""last_idx"": 104, ""left_rim_date"": ""2008-08-08"", ""bottom_date"": ""2009-03-13"", ""right_rim_date"": ""2009-10-23"", ""handle_low_date"": ""2009-11-06"", ""last_date"": ""2010-01-01"", ""left_rim_price"": 18.82, ""bottom_price"": 11.0, ""right_rim_price"": 18.05, ""handle_low_price"": 16.58, ""last_close"": 19.69, ""cup_depth_pct"": 41.57, ""handle_depth_pct_of_cup"": 18.88, ""right_rim_gap_pct"": 4.07, ""cup_width_weeks"": 63, ""handle_width_weeks"": 10, ""breakout_level"": 20.16, ""projected_target"": 27.98, ""volume_note"": ""handle avg volume 0.67x cup avg; latest week 0.54x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.67,PASS: handle avg volume <= 1.05x cup avg
PM,2010-01-01,2010-01-04,2010-01-06,74.76,24.25,34.48,42.19,21.81,2009-03-06,2008-08-15,2009-10-23,2009-10-30,41.74,23.92,"{""score"": 74.76, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 21, ""bottom_idx"": 50, ""right_rim_idx"": 83, ""handle_low_idx"": 84, ""last_idx"": 93, ""left_rim_date"": ""2008-08-15"", ""bottom_date"": ""2009-03-06"", ""right_rim_date"": ""2009-10-23"", ""handle_low_date"": ""2009-10-30"", ""last_date"": ""2010-01-01"", ""left_rim_price"": 24.51, ""bottom_price"": 14.28, ""right_rim_price"": 24.25, ""handle_low_price"": 21.81, ""last_close"": 22.59, ""cup_depth_pct"": 41.74, ""handle_depth_pct_of_cup"": 23.92, ""right_rim_gap_pct"": 1.03, ""cup_width_weeks"": 62, ""handle_width_weeks"": 10, ""breakout_level"": 24.25, ""projected_target"": 34.48, ""volume_note"": ""handle avg volume 0.77x cup avg; latest week 0.49x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""no weekly close above the handle/rim resistance yet""]}",0.77,PASS: handle avg volume <= 1.05x cup avg
MO,2010-01-01,2010-01-04,2010-01-06,74.65,7.43,9.68,30.28,6.78,2009-03-06,2008-08-01,2009-11-20,2009-12-04,31.19,11.76,"{""score"": 74.65, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 30, ""bottom_idx"": 61, ""right_rim_idx"": 98, ""handle_low_idx"": 100, ""last_idx"": 104, ""left_rim_date"": ""2008-08-01"", ""bottom_date"": ""2009-03-06"", ""right_rim_date"": ""2009-11-20"", ""handle_low_date"": ""2009-12-04"", ""last_date"": ""2010-01-01"", ""left_rim_price"": 7.2, ""bottom_price"": 4.96, ""right_rim_price"": 7.05, ""handle_low_price"": 6.78, ""last_close"": 7.22, ""cup_depth_pct"": 31.19, ""handle_depth_pct_of_cup"": 11.76, ""right_rim_gap_pct"": 2.12, ""cup_width_weeks"": 68, ""handle_width_weeks"": 6, ""breakout_level"": 7.43, ""projected_target"": 9.68, ""volume_note"": ""handle avg volume 0.73x cup avg; latest week 0.54x handle avg"", ""notes"": [""cup has a declining left side, rising right side, and rounded U-shape fit"", ""handle remains in upper half of the cup"", ""right rim is modestly below the left rim"", ""prior uptrend is not strong, so continuation quality is weaker"", ""no weekly close above the handle/rim resistance yet""]}",0.73,PASS: handle avg volume <= 1.05x cup avg
