Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
ABT,2010-01-15,2010-01-19,2010-03-26,18.73,17.7,1779.676099,-1833.07,-5.5,stop,77.82,18.73,24.41,17.7,66
DVA,2010-02-26,2010-03-01,2010-05-24,31.7,30.215,1043.16847,-1549.11,-4.68,time_stop,81.16,31.7,41.59,29.25,84
TLAB,2010-04-09,2010-04-13,2010-06-04,8.0,7.07,4018.374271,-3737.09,-11.62,stop,91.07,8.0,10.42,7.07,52
MKC,2010-03-19,2010-03-24,2010-06-17,14.12,14.7876,2333.675563,1557.95,4.73,time_stop,79.29,14.12,18.59,12.75,85
CBRE,2010-10-08,2010-10-13,2011-01-06,19.0,20.74,1656.819204,2882.87,9.16,time_stop,77.68,19.0,25.19,17.14,85
JEF,2010-12-31,2011-01-04,2011-03-30,18.7,23.6016,1725.631847,8458.32,26.21,time_stop,83.94,18.7,24.68,15.86,85
QCOM,2010-12-31,2011-01-04,2011-03-30,34.04,36.9979,901.580911,2666.82,8.69,time_stop,82.53,34.04,46.15,30.07,85
ATI,2011-01-21,2011-01-26,2011-04-20,54.13,61.3258,618.442775,4450.22,13.29,time_stop,82.12,54.13,72.14,47.58,84
HIG,2011-04-29,2011-05-03,2011-06-01,21.41,19.08,1757.697481,-4095.44,-10.88,stop,86.74,21.41,28.46,19.08,29
MAS,2011-05-20,2011-05-23,2011-06-07,9.84,8.82,3712.087712,-3786.33,-10.37,stop,79.38,9.84,13.61,8.82,15
EXPE,2011-07-08,2011-07-12,2011-08-08,40.64,35.32,850.827371,-4526.4,-13.09,stop,78.42,40.64,53.55,35.32,27
ISRG,2011-07-15,2011-07-20,2011-08-08,42.72,37.34,806.285518,-4337.82,-12.59,stop,82.04,42.72,55.75,37.34,19
MA,2011-07-01,2011-07-07,2011-09-29,29.04,30.2279,1205.407996,1431.88,4.09,time_stop,79.83,29.04,37.89,23.77,84
DHI,2012-01-13,2012-01-18,2012-04-12,12.24,13.0745,2657.483927,2217.58,6.82,time_stop,80.93,12.24,16.44,10.0,85
JBL,2012-01-13,2012-01-19,2012-04-13,18.74,20.0612,1727.281187,2282.03,7.05,time_stop,79.49,18.74,25.46,16.32,85
BLK,2012-02-24,2012-02-29,2012-05-11,138.7,125.68,235.659388,-3068.29,-9.39,stop,83.1,138.7,180.49,125.68,72
SNA,2012-04-20,2012-04-25,2012-06-04,45.59,41.99,738.895418,-2660.02,-7.9,stop,85.23,45.59,61.02,41.99,40
GS,2012-10-12,2012-10-15,2013-01-11,95.43,106.8907,336.561203,3857.22,12.01,time_stop,85.35,95.43,124.54,86.86,88
EOG,2012-11-02,2012-11-06,2013-02-01,42.5,45.8025,762.48758,2518.1,7.77,time_stop,81.17,42.5,55.77,38.31,87
BAC,2012-11-30,2012-12-05,2013-03-04,7.78,8.9193,4059.789235,4625.31,14.64,time_stop,84.52,7.78,10.26,6.96,89
