Symbol,SignalDate,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,ExitReason,Score,BreakoutLevel,Target,Stop,HoldingDays
BMY,2020-01-10,2020-01-14,2020-02-27,51.9,47.18,642.260758,-3031.47,-9.09,stop,79.88,51.9,68.27,47.18,44
KR,2020-02-14,2020-02-18,2020-05-12,25.45,29.3903,1310.377516,5163.23,15.48,time_stop,85.94,25.45,33.28,23.28,84
EXPD,2020-07-31,2020-08-03,2020-10-26,79.71,88.5075,427.097241,3757.39,11.04,time_stop,82.9,79.71,106.83,67.54,84
EW,2020-08-28,2020-08-31,2020-10-28,84.6,74.01,407.924842,-4319.92,-12.52,stop,80.41,84.6,115.64,74.01,58
CSX,2020-08-28,2020-09-02,2020-11-25,23.83,28.4845,1409.039049,6558.4,19.53,time_stop,80.23,23.83,32.18,20.95,84
IRM,2021-01-22,2021-01-25,2021-01-27,24.56,32.68,1486.331856,12069.01,33.06,target,84.77,24.56,32.68,22.28,2
RJF,2021-01-01,2021-01-06,2021-04-01,59.7,78.5457,603.727694,11377.68,31.57,time_stop,78.8,59.7,79.7,45.18,85
HST,2021-02-12,2021-02-16,2021-05-11,12.49,13.8953,3417.392944,4802.46,11.25,time_stop,75.17,12.49,16.77,10.76,84
HIG,2021-03-12,2021-03-15,2021-06-08,50.5,59.8771,821.205218,7700.51,18.57,time_stop,72.57,50.5,67.2,42.62,85
BXP,2021-05-14,2021-05-18,2021-08-11,85.39,92.0076,560.073864,3706.34,7.75,time_stop,77.1,85.39,117.07,77.06,85
PAYC,2021-10-29,2021-11-02,2021-11-22,535.14,449.52,92.052939,-7881.57,-16.0,stop,76.66,535.14,730.89,449.52,20
SBAC,2021-12-10,2021-12-14,2022-01-13,335.19,310.84,139.127119,-3387.75,-7.26,stop,66.73,335.19,455.88,310.84,30
ITW,2023-04-28,2023-05-01,2023-05-10,228.37,210.11,202.048996,-3689.41,-8.0,stop,85.88,228.37,298.0,210.11,9
HCA,2023-04-07,2023-04-11,2023-07-06,266.25,288.2506,170.909936,3760.13,8.26,time_stop,83.76,266.25,369.0,233.87,86
MCO,2023-07-21,2023-07-25,2023-08-16,352.63,323.59,128.214936,-3723.36,-8.24,stop,79.7,352.63,472.29,323.59,22
FDX,2023-07-07,2023-07-11,2023-10-03,239.01,246.8898,190.487183,1501.0,3.3,time_stop,78.56,239.01,329.09,200.75,84
TTWO,2023-07-07,2023-07-11,2023-10-03,149.04,137.56,307.596956,-3531.21,-7.7,time_stop,77.71,149.04,193.86,119.57,84
ALL,2023-12-29,2024-01-04,2024-04-01,138.58,165.9025,314.695371,8598.26,19.72,time_stop,79.57,138.58,182.47,128.24,88
GPN,2024-02-09,2024-02-14,2024-04-04,134.42,123.13,336.670523,-3801.01,-8.4,stop,83.1,134.42,175.04,123.13,50
JCI,2024-05-17,2024-05-20,2024-08-14,67.7,67.097,667.792744,-402.65,-0.89,time_stop,75.99,67.7,88.92,58.29,86
EXR,2024-06-14,2024-06-18,2024-09-12,146.6,164.2537,307.806293,5433.91,12.04,time_stop,79.0,146.6,201.25,126.14,86
PNC,2024-07-12,2024-07-15,2024-10-07,158.28,171.6182,286.168404,3816.97,8.43,time_stop,82.04,158.28,209.47,138.13,84
AMZN,2025-09-05,2025-09-10,2025-10-17,236.53,211.42,204.288637,-5129.69,-10.62,stop,83.25,236.53,311.68,211.42,37
CDNS,2025-07-25,2025-07-29,2025-10-21,335.16,333.45,143.689522,-245.71,-0.51,time_stop,86.92,335.16,443.69,304.73,84
INCY,2025-10-24,2025-10-27,2026-01-22,92.86,105.06,499.323518,6091.75,13.14,time_stop,77.73,92.86,127.29,81.09,87
HST,2025-11-07,2025-11-10,2026-02-05,17.61,18.7996,2757.006851,3279.67,6.76,time_stop,79.82,17.61,23.29,15.15,87
TMO,2026-01-02,2026-01-05,2026-02-05,601.27,553.98,73.483582,-3475.04,-7.87,stop,84.77,601.27,825.04,553.98,31
