Family,Variant,IS_TotalReturnPct,IS_Sharpe,IS_Trades,OOS_TotalReturnPct,OOS_Sharpe,OOS_Trades,IS_Return_vs_SP500_PctPts,IS_Sharpe_vs_SP500,OOS_Return_vs_SP500_PctPts,OOS_Sharpe_vs_SP500
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma50_sma50_gt_sma200,102.73,0.72,47,45.0,0.637,27,-82.43,-0.065,-87.67,-0.11
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,98.19,0.685,49,47.32,0.648,29,-86.97,-0.1,-85.35,-0.099
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,98.19,0.685,49,42.36,0.592,30,-86.97,-0.1,-90.31,-0.155
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma50_sma50_gt_sma200,93.05,0.682,45,51.1,0.724,27,-92.11,-0.103,-81.57,-0.023
Trend filters,stock_close_gt_sma50_sma50_rising__market_none,91.06,0.587,59,72.37,0.767,39,-94.1,-0.198,-60.3,0.02
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma100,90.89,0.617,54,68.72,0.765,35,-94.27,-0.168,-63.95,0.018
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma100,88.59,0.605,52,70.87,0.782,36,-96.57,-0.18,-61.8,0.035
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma50_sma50_gt_sma200,87.86,0.645,47,45.76,0.646,28,-97.3,-0.14,-86.91,-0.101
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma100,86.92,0.595,54,50.0,0.622,36,-98.24,-0.19,-82.67,-0.125
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_sma50_gt_sma200,85.43,0.587,55,65.71,0.784,32,-99.73,-0.198,-66.96,0.037
Trend filters,stock_none__market_spx_close_gt_sma50_sma50_gt_sma200,85.23,0.625,49,42.36,0.592,30,-99.93,-0.16,-90.31,-0.155
Trend filters,stock_close_gt_sma50__market_spx_close_gt_sma50_sma50_gt_sma200,85.23,0.625,49,47.32,0.648,29,-99.93,-0.16,-85.35,-0.099
Trend filters,stock_close_gt_sma200__market_spx_close_gt_sma50_sma50_gt_sma200,85.23,0.625,49,42.36,0.592,30,-99.93,-0.16,-90.31,-0.155
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma100,83.16,0.575,56,60.27,0.671,39,-102.0,-0.21,-72.4,-0.076
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma100,83.16,0.575,56,54.87,0.622,40,-102.0,-0.21,-77.8,-0.125
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_close_gt_sma100,81.63,0.58,52,65.89,0.738,37,-103.53,-0.205,-66.78,-0.009
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_none,81.07,0.545,57,70.23,0.726,40,-104.09,-0.24,-62.44,-0.021
Trend filters,stock_close_gt_sma200_sma200_rising__market_none,81.0,0.542,59,40.24,0.512,40,-104.16,-0.243,-92.43,-0.235
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_sma200_rising,79.36,0.548,55,59.15,0.725,32,-105.8,-0.237,-73.52,-0.022
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_none,77.36,0.524,61,53.55,0.603,43,-107.8,-0.261,-79.12,-0.144
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_none,77.36,0.524,61,48.38,0.556,44,-107.8,-0.261,-84.29,-0.191
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_sma50_gt_sma200,75.33,0.534,57,47.61,0.6,36,-109.83,-0.251,-85.06,-0.147
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_sma50_gt_sma200,75.33,0.534,57,42.64,0.547,37,-109.83,-0.251,-90.03,-0.2
Trend filters,stock_none__market_spx_close_gt_sma100,74.36,0.532,56,54.87,0.622,40,-110.8,-0.253,-77.8,-0.125
Trend filters,stock_close_gt_sma50__market_spx_close_gt_sma100,74.36,0.532,56,60.27,0.671,39,-110.8,-0.253,-72.4,-0.076
Trend filters,stock_close_gt_sma200__market_spx_close_gt_sma100,74.36,0.532,56,54.87,0.622,40,-110.8,-0.253,-77.8,-0.125
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200,74.22,0.514,58,63.03,0.717,36,-110.94,-0.271,-69.64,-0.03
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma200,72.39,0.504,57,61.39,0.679,37,-112.77,-0.281,-71.28,-0.068
Trend filters,stock_close_gt_sma50_sma50_rising__market_spx_close_gt_sma200_sma200_rising,71.22,0.511,54,54.85,0.689,32,-113.94,-0.274,-77.82,-0.058
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_sma50_gt_sma200,71.01,0.519,54,62.86,0.727,33,-114.15,-0.266,-69.81,-0.02
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_none,69.97,0.493,58,75.67,0.789,40,-115.19,-0.292,-57.0,0.042
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_sma200_rising,69.92,0.502,55,38.07,0.531,33,-115.24,-0.283,-94.6,-0.216
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma50_sma50_gt_sma200,69.75,0.554,47,52.97,0.718,29,-115.41,-0.231,-79.7,-0.029
Trend filters,stock_none__market_none,68.84,0.484,61,48.38,0.556,44,-116.32,-0.301,-84.29,-0.191
Trend filters,stock_close_gt_sma50__market_none,68.84,0.484,61,53.55,0.603,43,-116.32,-0.301,-79.12,-0.144
Trend filters,stock_close_gt_sma200__market_none,68.84,0.484,61,48.38,0.556,44,-116.32,-0.301,-84.29,-0.191
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_sma200_rising,65.6,0.481,54,63.25,0.725,34,-119.56,-0.304,-69.42,-0.022
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200,65.05,0.469,58,39.93,0.53,36,-120.11,-0.316,-92.74,-0.217
Trend filters,stock_close_gt_sma50_rs63_gt_spx__market_spx_sma50_gt_sma200,64.96,0.488,54,67.41,0.8,33,-120.2,-0.297,-65.26,0.053
Trend filters,stock_close_gt_sma20_sma20_gt_sma50__market_spx_close_gt_sma200_sma200_rising,64.87,0.477,54,58.83,0.69,34,-120.29,-0.308,-73.84,-0.057
Trend filters,stock_none__market_spx_sma50_gt_sma200,63.86,0.478,57,42.64,0.547,37,-121.3,-0.307,-90.03,-0.2
Trend filters,stock_close_gt_sma50__market_spx_sma50_gt_sma200,63.86,0.478,57,47.61,0.6,36,-121.3,-0.307,-85.06,-0.147
Trend filters,stock_close_gt_sma200__market_spx_sma50_gt_sma200,63.86,0.478,57,42.64,0.547,37,-121.3,-0.307,-90.03,-0.2
Trend filters,stock_close_gt_sma200_sma200_rising__market_spx_close_gt_sma200_sma200_rising,62.2,0.466,54,41.73,0.578,32,-122.96,-0.319,-90.94,-0.169
Trend filters,stock_close_gt_sma50_sma50_gt_sma200__market_spx_close_gt_sma200,61.73,0.451,60,45.23,0.548,40,-123.43,-0.334,-87.44,-0.199
Trend filters,stock_close_gt_sma200_sma50_gt_sma200__market_spx_close_gt_sma200,61.73,0.451,60,40.34,0.499,41,-123.43,-0.334,-92.33,-0.248
