Symbol,Segment,Strategy_Return_%,Strategy_MaxDD_%,Strategy_Trades,BuyHold_Return_%,BuyHold_MaxDD_%,Strategy_Sharpe,Strategy_Sortino,BuyHold_Sharpe,BuyHold_Sortino
AAPL,In-Sample,1204.3474,-45.9792,6,1636.0498,-44.3769,0.9773,1.3146,1.0598,1.4504
AAPL,Out-of-Sample,68.803,-13.823,1,130.8463,-33.4337,0.8064,0.6391,0.7005,1.0311
AMZN,In-Sample,2043.6884,-34.1038,4,2332.3599,-34.1038,1.0561,1.4865,1.0741,1.5474
AMZN,Out-of-Sample,82.1808,-30.8766,4,60.4333,-56.1453,0.5877,0.6531,0.4261,0.6208
GOOGL,In-Sample,388.6439,-30.8708,5,458.7196,-30.8708,0.7292,0.9091,0.733,1.0096
GOOGL,Out-of-Sample,193.992,-29.8866,5,329.4892,-44.3201,0.9366,1.103,1.0259,1.5427
META,In-Sample,43.1635,-37.355,4,614.5174,-53.6228,0.3161,0.1974,0.7959,1.113
META,Out-of-Sample,168.0084,-34.2093,2,119.8235,-76.7361,0.7945,0.9374,0.557,0.7326
MSFT,In-Sample,519.0075,-28.2353,8,618.6429,-28.2353,0.8254,0.9905,0.8339,1.143
MSFT,Out-of-Sample,85.5642,-31.5513,2,107.0497,-37.5565,0.6545,0.7654,0.645,0.935
NVDA,In-Sample,2411.6233,-58.7808,8,2724.2294,-56.0824,0.9837,1.1748,0.9279,1.3365
NVDA,Out-of-Sample,1195.2351,-38.0654,3,1618.5752,-66.3621,1.3438,1.7808,1.2853,2.0712
TSLA,In-Sample,13327.2955,-60.6265,5,14669.147,-60.6265,1.1241,1.6147,1.1253,1.6458
TSLA,Out-of-Sample,14.7486,-53.7657,9,76.8022,-73.6322,0.2718,0.3152,0.473,0.7414
