strategy,passed_is_dd_lt_50,universe,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,is_calmar,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe,oos_calmar
COMBINED Top1 L63 S0 none DCA1,False,COMBINED,1,63,0,none,1,-0.25043463097230456,-0.028426170775754045,-0.6700246968523871,0.14654190857255386,-0.042425556713496196,8.610072219296578,0.42491145864150703,-0.7231043772819743,0.7409000105099208,0.5876211954886466
COMBINED Top1 L63 S0 none DCA3,False,COMBINED,1,63,0,none,3,-0.14378667684523472,-0.015409982419325674,-0.6700246968523872,0.17286917610749597,-0.022999125990009053,8.610072219296578,0.42491145864150703,-0.7231043772819743,0.7409000105099208,0.5876211954886466
COMBINED Top1 L63 S0 benchmark_sma200 DCA1,False,COMBINED,1,63,0,benchmark_sma200,1,-0.23779463592856553,-0.02679942903623367,-0.7089726063640047,0.14212825651002473,-0.03780037309717176,5.064157759282098,0.3258565513735734,-0.719892761756292,0.6489636931831999,0.45264596157154696
COMBINED Top1 L63 S0 benchmark_sma200 DCA3,False,COMBINED,1,63,0,benchmark_sma200,3,-0.3149490932039122,-0.037134701062368825,-0.7091985940630107,0.09611893478686019,-0.052361498419819894,2.8049239363732754,0.23259080647831953,-0.7198927617562922,0.5496871468364875,0.3230909085832138
COMBINED Top1 L63 S0 benchmark_sma100 DCA1,False,COMBINED,1,63,0,benchmark_sma100,1,-0.291962920193237,-0.03395036706272747,-0.7099148644003577,0.10599138796611894,-0.047823152838762234,7.664377123290487,0.4019982049503441,-0.7021283189235248,0.7201561138073779,0.5725423603005669
COMBINED Top1 L63 S0 benchmark_sma100 DCA3,False,COMBINED,1,63,0,benchmark_sma100,3,-0.37186343834132485,-0.04545345417283442,-0.6993887354201698,0.03510049903814161,-0.0649902577363181,7.8173889466735265,0.40584423445768225,-0.5690485937577068,0.7230234910461188,0.7131978514834627
COMBINED Top1 L63 S0 both_sma200 DCA1,False,COMBINED,1,63,0,both_sma200,1,-0.07816331160963685,-0.008109006808346475,-0.6225859309607575,0.18807519106622464,-0.013024719006792971,6.206235535883304,0.36214598840825407,-0.7198927617562921,0.6845131487475055,0.5030554655456484
COMBINED Top1 L63 S0 both_sma200 DCA3,False,COMBINED,1,63,0,both_sma200,3,-0.302326603865528,-0.035374379161208,-0.6824383522407764,0.10049233637383499,-0.05183527427064546,3.5215146389714134,0.2663275077940701,-0.7198927617562922,0.5872193772342849,0.3699544181335037
COMBINED Top1 L63 S21 none DCA1,True,COMBINED,1,63,21,none,1,13.336869578255817,0.3052477280962804,-0.44076757165250324,0.7720931144341361,0.6925367194139561,18.051419481110393,0.5859778316888224,-0.5975527493256088,0.8503283289369787,0.980629463005819
COMBINED Top1 L63 S21 none DCA3,True,COMBINED,1,63,21,none,3,14.138339615271832,0.31237004040915606,-0.44076757165250335,0.7843732356311566,0.7086956039847355,18.051419481110393,0.5859778316888224,-0.5975527493256088,0.8503283289369787,0.980629463005819
