strategy,passed_is_dd_lt_50,universe,top_n,lookback,skip,cash_filter,dca_steps,is_return,is_cagr,is_max_drawdown,is_sharpe,is_calmar,oos_return,oos_cagr,oos_max_drawdown,oos_sharpe,oos_calmar
SP500 Top1 L63 S0 none DCA1,False,SP500,1,63,0,none,1,0.018301627009196686,0.0018160088647325434,-0.6719554473957432,0.2268243518372375,0.002702573320553823,10.816979458208424,0.47176209791996393,-0.43428301143871695,0.7935182764544649,1.0863010651903793
SP500 Top1 L63 S0 none DCA3,False,SP500,1,63,0,none,3,0.16318530185888824,0.015237352130308413,-0.6719554473957432,0.25073870716825397,0.022676134540411706,10.816979458208424,0.47176209791996393,-0.43428301143871695,0.7935182764544649,1.0863010651903793
SP500 Top1 L63 S0 benchmark_sma200 DCA1,False,SP500,1,63,0,benchmark_sma200,1,-0.07737199987353527,-0.008023860021820206,-0.6439801422043422,0.20015965603652536,-0.012459794170600596,4.517701346951876,0.3064069520017627,-0.49429984636876967,0.6235768093072921,0.6198807348468596
SP500 Top1 L63 S0 benchmark_sma200 DCA3,False,SP500,1,63,0,benchmark_sma200,3,-0.03413911090724442,-0.003468942590537094,-0.65028354845727,0.19470962325715088,-0.005334507690940051,3.4016515689030955,0.26101444098416926,-0.4815441251261928,0.5697323138892696,0.5420363936861823
SP500 Top1 L63 S0 benchmark_sma100 DCA1,False,SP500,1,63,0,benchmark_sma100,1,-0.09054812486625752,-0.009450281820074014,-0.6404030975169712,0.1894563750062815,-0.014756770941170491,4.360492782442734,0.300510841650131,-0.3895447038533706,0.6169152181487878,0.7714412201667281
SP500 Top1 L63 S0 benchmark_sma100 DCA3,False,SP500,1,63,0,benchmark_sma100,3,-0.3364999264540629,-0.040208768574286236,-0.6948669579630282,0.08753330564786098,-0.057865420298810095,2.8471155152627277,0.23471975942127776,-0.3895447038533706,0.5353426683919946,0.6025489683197673
SP500 Top1 L63 S0 both_sma200 DCA1,False,SP500,1,63,0,both_sma200,1,0.11585719590014953,0.01102714903977664,-0.6418101241468651,0.24043107582115802,0.017181326103938653,5.371196887391316,0.33614427342832376,-0.42082330589431305,0.6584997399666214,0.7987777024705569
SP500 Top1 L63 S0 both_sma200 DCA3,False,SP500,1,63,0,both_sma200,3,0.07255737824050157,0.007032074532169252,-0.599222979442689,0.21828965122690522,0.011735321864173962,4.069808616846474,0.2892134770360957,-0.4062142210301688,0.604740283942228,0.7119728016972018
SP500 Top1 L63 S21 none DCA1,False,SP500,1,63,21,none,1,4.241149455105354,0.1802451155738889,-0.5775151178514134,0.5671557076019252,0.3121045839362139,2.0563436111301496,0.19104940188577801,-0.5675995510302689,0.49631232997827024,0.3365918833779869
SP500 Top1 L63 S21 none DCA3,False,SP500,1,63,21,none,3,4.5341439770169405,0.18668532928805015,-0.5775151178514133,0.5786245365138083,0.32325617722804223,2.0563436111301496,0.19104940188577801,-0.5675995510302689,0.49631232997827024,0.3365918833779869
SP500 Top1 L63 S21 benchmark_sma200 DCA1,False,SP500,1,63,21,benchmark_sma200,1,3.1378222478983053,0.152663451644673,-0.5091049858843012,0.521891001100254,0.2998663456015871,0.8612153249516148,0.1020993430722259,-0.6074208331108558,0.3658573885071038,0.16808666661848345
SP500 Top1 L63 S21 benchmark_sma200 DCA3,True,SP500,1,63,21,benchmark_sma200,3,2.4793995098565835,0.13285069987533982,-0.48592839113545816,0.4868843679399971,0.273395632564112,0.764671747306279,0.09295098576513405,-0.6338239168370472,0.35178996101358984,0.1466511175990086
SP500 Top1 L63 S21 benchmark_sma100 DCA1,False,SP500,1,63,21,benchmark_sma100,1,1.7674721541565819,0.10720104958182564,-0.6424350758036309,0.4336491165423136,0.16686674439082635,0.8671332712398125,0.10264699278691425,-0.5599086803277695,0.36535900490398526,0.18332809687255586
SP500 Top1 L63 S21 benchmark_sma100 DCA3,False,SP500,1,63,21,benchmark_sma100,3,1.1419134129818271,0.07917973606522088,-0.6385163655069375,0.37448351457778056,0.12400580524252922,0.6902980919493769,0.08561092594990849,-0.5793986667844481,0.338864860854111,0.14775823773470653
SP500 Top1 L63 S21 both_sma200 DCA1,False,SP500,1,63,21,both_sma200,1,2.4577561111645987,0.13214374620979452,-0.5251879378067237,0.4831439082202194,0.25161230237246085,0.5301949978106402,0.06883633330968775,-0.6667171656905292,0.31698701316207295,0.10324667917975819
SP500 Top1 L63 S21 both_sma200 DCA3,False,SP500,1,63,21,both_sma200,3,1.9075475449677635,0.11268370088706625,-0.5761145039089506,0.4457063872350238,0.19559254301446097,0.46536884931426115,0.06162027796886349,-0.6891322486112694,0.3052217195306284,0.08941720271114854
SP500 Top1 L126 S0 none DCA1,False,SP500,1,126,0,none,1,0.032241014938866996,0.0031795659757181127,-0.6147112522304505,0.22584539719958646,0.00517245448847928,17.907766072435535,0.5841004160661896,-0.5355805131784438,0.8921752849282957,1.0905931072805481
SP500 Top1 L126 S0 none DCA3,False,SP500,1,126,0,none,3,0.21234342583072485,0.0194501683058923,-0.6147112522304505,0.259667359319255,0.031641145717307584,17.907766072435535,0.5841004160661896,-0.5355805131784438,0.8921752849282957,1.0905931072805481
