strategy,signal_date,trade_date,selected_ticker,selected_company,selected_score,nasdaq100_date_added,date_source,skipped_not_yet_nasdaq100_count,first_skipped_tickers,prior_holding,equity_before_rebalance
Nasdaq-100 Top1 current-member baseline,2019-12-31,2020-01-02,PDD,PDD Holdings,0.770064091986985,2020-08-24,Wikipedia Nasdaq-100 changes table,0,,CASH,1.0
Nasdaq-100 Top1 current-member baseline,2020-01-31,2020-02-03,TSLA,"Tesla, Inc.",0.7888817113529452,2013-07-15,Wikipedia Nasdaq-100 changes table,0,,PDD,0.909090909090909
Nasdaq-100 Top1 current-member baseline,2020-02-28,2020-03-02,TSLA,"Tesla, Inc.",1.6948836408124461,2013-07-15,Wikipedia Nasdaq-100 changes table,0,,TSLA,0.959788601056945
Nasdaq-100 Top1 current-member baseline,2020-03-31,2020-04-01,TSLA,"Tesla, Inc.",2.087225503880085,2013-07-15,Wikipedia Nasdaq-100 changes table,0,,TSLA,0.6801077660389336
Nasdaq-100 Top1 current-member baseline,2020-04-30,2020-05-01,DXCM,DexCom,0.739020895002303,2020-04-20,Wikipedia Nasdaq-100 changes table,0,,TSLA,1.0188122494169256
Nasdaq-100 Top1 current-member baseline,2020-05-29,2020-06-01,TSLA,"Tesla, Inc.",1.4337529042314907,2013-07-15,Wikipedia Nasdaq-100 changes table,0,,DXCM,1.1773283546887436
Nasdaq-100 Top1 current-member baseline,2020-06-30,2020-07-01,ZS,Zscaler,1.365161362514701,2021-12-20,Wikipedia Nasdaq-100 changes table,0,,TSLA,1.4860682252067516
Nasdaq-100 Top1 current-member baseline,2020-07-31,2020-08-03,PDD,PDD Holdings,1.4261781370414242,2020-08-24,Wikipedia Nasdaq-100 changes table,0,,ZS,1.7817862764033383
Nasdaq-100 Top1 current-member baseline,2020-08-31,2020-09-01,PDD,PDD Holdings,1.5649622996218127,2020-08-24,Wikipedia Nasdaq-100 changes table,0,,PDD,1.712791678231455
Nasdaq-100 Top1 current-member baseline,2020-09-30,2020-10-01,TSLA,"Tesla, Inc.",4.174017995285337,2013-07-15,Wikipedia Nasdaq-100 changes table,0,,PDD,1.435088197606143
Nasdaq-100 Top1 current-member baseline,2020-10-30,2020-11-02,TSLA,"Tesla, Inc.",1.94381188143001,2013-07-15,Wikipedia Nasdaq-100 changes table,0,,TSLA,1.2828404006851013
Nasdaq-100 Top1 current-member baseline,2020-11-30,2020-12-01,TSLA,"Tesla, Inc.",1.3301305472318021,2013-07-15,Wikipedia Nasdaq-100 changes table,0,,TSLA,1.94571735941977
Nasdaq-100 Top1 current-member baseline,2020-12-31,2021-01-04,MSTR,MicroStrategy,1.7609716637224797,2024-12-23,Wikipedia Nasdaq-100 changes table,0,,TSLA,2.3425188289551127
Nasdaq-100 Top1 current-member baseline,2021-01-29,2021-02-01,MSTR,MicroStrategy,1.996888905961078,2024-12-23,Wikipedia Nasdaq-100 changes table,0,,MSTR,3.490399826786395
Nasdaq-100 Top1 current-member baseline,2021-02-26,2021-03-01,MSTR,MicroStrategy,2.697795325141502,2024-12-23,Wikipedia Nasdaq-100 changes table,0,,MSTR,4.492270490475997
Nasdaq-100 Top1 current-member baseline,2021-03-31,2021-04-01,MSTR,MicroStrategy,4.000333967587178,2024-12-23,Wikipedia Nasdaq-100 changes table,0,,MSTR,3.8736832588829273
Nasdaq-100 Top1 current-member baseline,2021-04-30,2021-05-03,MSTR,MicroStrategy,3.186247093101903,2024-12-23,Wikipedia Nasdaq-100 changes table,0,,MSTR,3.792154088070994
Nasdaq-100 Top1 current-member baseline,2021-05-28,2021-06-01,MSTR,MicroStrategy,1.423539364903092,2024-12-23,Wikipedia Nasdaq-100 changes table,0,,MSTR,2.6514750347051628
Nasdaq-100 Top1 current-member baseline,2021-06-30,2021-07-01,FANG,Diamondback Energy,0.862541427589512,2022-12-19,Wikipedia Nasdaq-100 changes table,0,,MSTR,3.660604092505399
Nasdaq-100 Top1 current-member baseline,2021-07-30,2021-08-02,FANG,Diamondback Energy,0.6739736609219937,2022-12-19,Wikipedia Nasdaq-100 changes table,0,,FANG,2.929993178714474
Nasdaq-100 Top1 current-member baseline,2021-08-31,2021-09-01,FTNT,Fortinet,0.6754178500113119,2021-12-20,Wikipedia Nasdaq-100 changes table,0,,FANG,2.928749613217713
Nasdaq-100 Top1 current-member baseline,2021-09-30,2021-10-01,FTNT,Fortinet,0.6907559441043187,2021-12-20,Wikipedia Nasdaq-100 changes table,0,,FTNT,2.6855326876875445
Nasdaq-100 Top1 current-member baseline,2021-10-29,2021-11-01,DDOG,Datadog,0.7631284686528661,2021-12-20,Wikipedia Nasdaq-100 changes table,0,,FTNT,3.102146566836645
Nasdaq-100 Top1 current-member baseline,2021-11-30,2021-12-01,TSLA,"Tesla, Inc.",0.840957230808149,2013-07-15,Wikipedia Nasdaq-100 changes table,0,,DDOG,3.38724170511519
Nasdaq-100 Top1 current-member baseline,2021-12-31,2022-01-03,TSLA,"Tesla, Inc.",0.6129032040557227,2013-07-15,Wikipedia Nasdaq-100 changes table,0,,TSLA,3.3494501867378617
Nasdaq-100 Top1 current-member baseline,2022-01-31,2022-02-01,DDOG,Datadog,0.6028845030747563,2021-12-20,Wikipedia Nasdaq-100 changes table,0,,TSLA,2.7291999104593803
Nasdaq-100 Top1 current-member baseline,2022-02-28,2022-03-01,FANG,Diamondback Energy,0.6855610904233194,2022-12-19,Wikipedia Nasdaq-100 changes table,0,,DDOG,2.957110084852463
