strategy,top_n,signal_date,trade_date,action,ticker,company,nasdaq100_date_added,date_source,price,old_weight,new_weight,rank,score,skipped_not_yet_nasdaq100_before_buy,equity_before_trade
Nasdaq-100 Top1 PIT membership,1,2019-12-31,2020-01-02,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,28.299999237060547,0.0,1.0,1,0.4693386705117728,3,1.0
Nasdaq-100 Top1 PIT membership,1,2020-04-30,2020-05-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,50.33333206176758,1.0,0.0,,,,1.7785630183287442
Nasdaq-100 Top1 PIT membership,1,2020-04-30,2020-05-01,BUY,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,82.75,0.0,1.0,1,0.739020895002303,0,1.7785630183287442
Nasdaq-100 Top1 PIT membership,1,2020-05-29,2020-06-01,SELL,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,95.625,1.0,0.0,,,,2.055288080092884
Nasdaq-100 Top1 PIT membership,1,2020-05-29,2020-06-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,57.20000076293945,0.0,1.0,1,1.4337529042314907,0,2.055288080092884
Nasdaq-100 Top1 PIT membership,1,2020-07-31,2020-08-03,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,96.61333465576172,1.0,0.0,,,,3.471472595235808
Nasdaq-100 Top1 PIT membership,1,2020-07-31,2020-08-03,BUY,REGN,Regeneron Pharmaceuticals,2012-12-24,Wikipedia Nasdaq-100 changes table,630.579945221257,0.0,1.0,1,0.8025983268585326,4,3.471472595235808
Nasdaq-100 Top1 PIT membership,1,2020-08-31,2020-09-01,SELL,REGN,Regeneron Pharmaceuticals,2012-12-24,Wikipedia Nasdaq-100 changes table,611.4989530131073,1.0,0.0,,,,3.366427799500578
Nasdaq-100 Top1 PIT membership,1,2020-08-31,2020-09-01,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,89.37000274658203,0.0,1.0,1,1.5649622996218127,0,3.366427799500578
Nasdaq-100 Top1 PIT membership,1,2020-09-30,2020-10-01,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,74.87999725341797,1.0,0.0,,,,2.8206120245428092
Nasdaq-100 Top1 PIT membership,1,2020-09-30,2020-10-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,146.9199981689453,0.0,1.0,1,4.174017995285337,0,2.8206120245428092
Nasdaq-100 Top1 PIT membership,1,2021-03-31,2021-04-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,229.4566650390625,1.0,0.0,,,,4.405174493512025
Nasdaq-100 Top1 PIT membership,1,2021-03-31,2021-04-01,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,141.00999450683594,0.0,1.0,1,1.3815469679832497,2,4.405174493512025
Nasdaq-100 Top1 PIT membership,1,2021-04-30,2021-05-03,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,133.0500030517578,1.0,0.0,,,,4.156503103593037
Nasdaq-100 Top1 PIT membership,1,2021-04-30,2021-05-03,BUY,AMAT,Applied Materials,,No add date found; assumed already member before test window,128.6474312803209,0.0,1.0,1,1.3421271782490432,2,4.156503103593037
Nasdaq-100 Top1 PIT membership,1,2021-07-30,2021-08-02,SELL,AMAT,Applied Materials,,No add date found; assumed already member before test window,135.39034163190564,1.0,0.0,,,,4.374361536712787
Nasdaq-100 Top1 PIT membership,1,2021-07-30,2021-08-02,BUY,NVDA,Nvidia,,No add date found; assumed already member before test window,19.65497762771269,0.0,1.0,1,0.5407523063203368,2,4.374361536712787
Nasdaq-100 Top1 PIT membership,1,2021-10-29,2021-11-01,SELL,NVDA,Nvidia,,No add date found; assumed already member before test window,25.59488846504044,1.0,0.0,,,,5.696332896358326
Nasdaq-100 Top1 PIT membership,1,2021-10-29,2021-11-01,BUY,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,156.8175048828125,0.0,1.0,1,0.43694977225484966,4,5.696332896358326
Nasdaq-100 Top1 PIT membership,1,2021-11-30,2021-12-01,SELL,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,141.8524932861328,1.0,0.0,,,,5.152734859160543
Nasdaq-100 Top1 PIT membership,1,2021-11-30,2021-12-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,386.8999938964844,0.0,1.0,1,0.840957230808149,0,5.152734859160543
Nasdaq-100 Top1 PIT membership,1,2022-01-31,2022-02-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,311.7366638183594,1.0,0.0,,,,4.1517094853328915
Nasdaq-100 Top1 PIT membership,1,2022-01-31,2022-02-01,BUY,DDOG,Datadog,2021-12-20,Wikipedia Nasdaq-100 changes table,147.88999938964844,0.0,1.0,1,0.6028845030747563,0,4.1517094853328915
Nasdaq-100 Top1 PIT membership,1,2022-02-28,2022-03-01,SELL,DDOG,Datadog,2021-12-20,Wikipedia Nasdaq-100 changes table,160.24000549316406,1.0,0.0,,,,4.498410666585814
Nasdaq-100 Top1 PIT membership,1,2022-02-28,2022-03-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,289.8933410644531,0.0,1.0,1,0.1645971323542179,3,4.498410666585814
Nasdaq-100 Top1 PIT membership,1,2022-03-31,2022-04-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,360.3833312988281,1.0,0.0,,,,5.592236840010549
Nasdaq-100 Top1 PIT membership,1,2022-03-31,2022-04-01,BUY,QCOM,Qualcomm,,No add date found; assumed already member before test window,138.63044940793944,0.0,1.0,1,0.322674315264714,1,5.592236840010549
Nasdaq-100 Top1 PIT membership,1,2022-04-29,2022-05-02,SELL,QCOM,Qualcomm,,No add date found; assumed already member before test window,128.28382000342376,1.0,0.0,,,,5.174862429316651
Nasdaq-100 Top1 PIT membership,1,2022-04-29,2022-05-02,BUY,VRTX,Vertex Pharmaceuticals,,No add date found; assumed already member before test window,264.1499938964844,0.0,1.0,1,0.40945048908610926,1,5.174862429316651
Nasdaq-100 Top1 PIT membership,1,2022-06-30,2022-07-01,SELL,VRTX,Vertex Pharmaceuticals,,No add date found; assumed already member before test window,280.1700134277344,1.0,0.0,,,,5.488704561077868
Nasdaq-100 Top1 PIT membership,1,2022-06-30,2022-07-01,BUY,EXC,Exelon,2019-11-21,Wikipedia Nasdaq-100 changes table,39.42972562810287,0.0,1.0,1,0.23527330696732052,2,5.488704561077868
Nasdaq-100 Top1 PIT membership,1,2022-07-29,2022-08-01,SELL,EXC,Exelon,2019-11-21,Wikipedia Nasdaq-100 changes table,40.48525374405027,1.0,0.0,,,,5.635636397200439
Nasdaq-100 Top1 PIT membership,1,2022-07-29,2022-08-01,BUY,TMUS,T-Mobile US,2015-12-21,Wikipedia Nasdaq-100 changes table,137.49199170874357,0.0,1.0,1,0.2672827696615574,0,5.635636397200439
Nasdaq-100 Top1 PIT membership,1,2022-08-31,2022-09-01,SELL,TMUS,T-Mobile US,2015-12-21,Wikipedia Nasdaq-100 changes table,137.9631716128819,1.0,0.0,,,,5.654949511981818
Nasdaq-100 Top1 PIT membership,1,2022-08-31,2022-09-01,BUY,CEG,Constellation Energy,2022-02-02,Wikipedia Nasdaq-100 changes table,79.25524266217225,0.0,1.0,1,0.3344562993329263,0,5.654949511981818
