year,strategy,return_pct,max_drawdown_pct
2020,NASDAQ100 Top3 L126 S21 none DCA3,227.63,-19.49
2021,NASDAQ100 Top3 L126 S21 none DCA3,13.05,-17.14
2022,NASDAQ100 Top3 L126 S21 none DCA3,30.34,-6.73
2023,NASDAQ100 Top3 L126 S21 none DCA3,43.12,-13.03
2024,NASDAQ100 Top3 L126 S21 none DCA3,-19.76,-22.75
2025,NASDAQ100 Top3 L126 S21 none DCA3,81.07,-12.08
2026,NASDAQ100 Top3 L126 S21 none DCA3,71.85,-2.8
2020,QQQ buy-and-hold,47.81,-15.89
2021,QQQ buy-and-hold,26.05,-5.78
2022,QQQ buy-and-hold,-25.74,-25.8
2023,QQQ buy-and-hold,38.8,-7.87
2024,QQQ buy-and-hold,23.54,-4.9
2025,QQQ buy-and-hold,21.37,-8.86
2026,QQQ buy-and-hold,16.12,-5.9
