date,NASDAQ100 Top3 L126 S21 none DCA3,QQQ buy-and-hold
2020-01-01,0.0,0.0
2020-01-02,0.0,0.0
2020-02-03,-0.007785945496629698,-0.051149114471741086
2020-03-02,-0.1949329362205312,-0.15888176269696686
2020-04-01,0.0,-0.023543495478174803
2020-05-01,0.0,0.0
2020-06-01,0.0,0.0
2020-07-01,0.0,0.0
2020-08-03,0.0,0.0
2020-09-01,-0.05271440745998324,-0.0531884205667571
2020-10-01,0.0,-0.08658663578511228
2020-11-02,0.0,0.0
2020-12-01,0.0,0.0
2021-01-04,0.0,0.0
2021-02-01,-0.09244577719294966,0.0
2021-03-01,-0.155306146563141,0.0
2021-04-01,-0.07799423290245722,0.0
2021-05-03,-0.0532078957308576,-0.011585251899977278
2021-06-01,0.0,0.0
2021-07-01,0.0,0.0
2021-08-02,0.0,0.0
2021-09-01,-0.08430627799639401,-0.05784813846723169
2021-10-01,0.0,0.0
2021-11-01,-0.08912576548074491,0.0
2021-12-01,-0.1713645521113195,0.0
2022-01-03,-0.33404093066883545,-0.08675595984723472
2022-02-01,-0.37498238809548,-0.13356712230265944
2022-03-01,-0.28798539069973894,-0.08969161847215801
2022-04-01,-0.3338453068480216,-0.2150938890996148
2022-05-02,-0.3138390799724954,-0.22101530506616407
2022-06-01,-0.32835973272606545,-0.298755096462204
2022-07-01,-0.3173530282649555,-0.21152376679269425
2022-08-01,-0.157241015527687,-0.2540837553546238
2022-09-01,-0.15577030177042794,-0.32237658827005566
2022-10-03,-0.18529206322540615,-0.2910729872839184
2022-11-01,-0.06939605863930798,-0.260373929662878
2022-12-01,-0.13200020048955896,-0.32181453445836894
2023-01-03,-0.05005283082704015,-0.2567854809618396
2023-02-01,-0.12581548013079458,-0.2596886975128252
2023-03-01,-0.1567719143514209,-0.1940448376656676
2023-04-03,-0.1738243318295174,-0.18565100042296379
2023-05-01,0.0,-0.12082436643100913
2023-06-01,0.0,-0.06305814924492237
2023-07-03,0.0,-0.032069006662214794
2023-08-01,-0.004240337803381955,-0.03690475479828992
2023-09-01,-0.07195208097570205,-0.0909357801491798
2023-10-02,-0.07867685127617363,-0.10822781144308347
2023-11-01,0.0,-0.016875048174775142
2023-12-01,-0.005455579607286931,0.0
2024-01-02,0.0,0.0
2024-02-01,0.0,0.0
2024-03-01,-0.07883038901200101,0.0
2024-04-01,-0.18036053026024268,-0.049037112351640655
2024-05-01,-0.08496542686851949,0.0
2024-06-03,-0.06320349240927203,0.0
2024-07-01,-0.1744108316487739,-0.017248430335540355
2024-08-01,-0.1644333973995865,-0.014248638460395813
2024-09-03,-0.1578282530796028,0.0
2024-10-01,-0.19503249330614636,-0.0045109709325665825
2024-11-01,-0.22749624491517328,0.0
2024-12-02,-0.21961025446695537,0.0
2025-01-02,-0.17999861247293347,-0.0016139681255820104
2025-02-03,-0.19981910604391395,-0.005405429095066583
2025-03-03,-0.27901897951865484,-0.09003141186001884
2025-04-01,-0.12684963310827657,-0.05866057059570129
2025-05-01,0.0,0.0
2025-06-02,0.0,0.0
2025-07-01,-0.019709665049109648,0.0
2025-08-01,0.0,0.0
2025-09-02,0.0,0.0
2025-10-01,0.0,0.0
2025-11-03,-0.013033301098816508,-0.03382084361804749
2025-12-01,0.0,-0.022438691079133988
2026-01-02,0.0,-0.024582823627380956
2026-02-02,0.0,-0.055861839817870296
2026-03-02,-0.027987846746781453,-0.08210648049974312
2026-04-01,0.0,0.0
2026-05-22,0.0,0.0
