entry_date,exit_date,symbol,exit_to,entry_price,exit_price,return_pct,outcome,holding_calendar_days,holding_trading_days
2020-01-02,2020-02-03,KLAC,REMOVED,167.8234,155.2818,-7.47,loss,32,21
2020-01-02,2020-02-03,LRCX,REMOVED,27.5194,27.912,1.43,win,32,21
2020-02-03,2020-03-02,AMD,REMOVED,46.4,47.42,2.2,win,28,19
2020-03-02,2020-04-01,AAPL,REMOVED,68.1434,59.506,-12.68,loss,30,22
2020-02-03,2020-04-01,SWKS,REMOVED,96.7824,74.1479,-23.39,loss,58,41
2020-04-01,2020-05-01,AMD,REMOVED,44.18,51.07,15.6,win,30,21
2020-04-01,2020-05-01,REGN,REMOVED,480.1741,519.9356,8.28,win,30,21
2020-05-01,2020-07-01,DXCM,REMOVED,82.75,102.24,23.55,win,61,42
2020-01-02,2020-08-03,TSLA,REMOVED,28.3,96.6133,241.39,win,214,147
2020-05-01,2020-09-01,ZM,REMOVED,136.0,439.51,223.17,win,123,85
2020-07-01,2020-10-01,DOCU,REMOVED,171.25,218.8,27.77,win,92,64
2020-08-03,2020-10-01,MRNA,REMOVED,74.98,69.57,-7.22,loss,59,42
2020-10-01,2020-11-02,MELI,REMOVED,1097.99,1229.45,11.97,win,32,22
2020-09-01,2020-11-02,PDD,REMOVED,89.37,91.91,2.84,win,62,43
2020-11-02,2020-12-01,DOCU,REMOVED,204.21,222.0,8.71,win,29,20
2020-12-01,2021-01-04,ALGN,REMOVED,487.46,549.61,12.75,win,34,22
2020-11-02,2021-01-04,ZM,REMOVED,462.29,340.4,-26.37,loss,63,42
2021-01-04,2021-02-01,MRNA,REMOVED,107.23,173.03,61.36,win,28,19
2021-02-01,2021-03-01,PDD,REMOVED,173.53,181.5,4.59,win,28,19
2021-01-04,2021-04-01,PTON,REMOVED,152.51,114.99,-24.6,loss,87,61
2020-10-01,2021-04-01,TSLA,REMOVED,146.92,229.4567,56.18,win,182,125
2021-04-01,2021-05-03,BIDU,REMOVED,224.0,210.55,-6.0,loss,32,21
2021-04-01,2021-05-03,PDD,REMOVED,141.01,133.05,-5.64,loss,32,21
2021-05-03,2021-06-01,LRCX,REMOVED,59.658,62.1922,4.25,win,29,20
2021-06-01,2021-08-02,ASML,REMOVED,654.1424,736.3664,12.57,win,62,43
2021-03-01,2021-08-02,MRNA,REMOVED,154.463,360.0,133.07,win,154,107
2021-05-03,2021-09-01,AMAT,REMOVED,128.4877,130.3213,1.43,win,121,85
2021-08-02,2021-09-01,GOOG,REMOVED,134.3812,144.464,7.5,win,30,22
2021-09-01,2021-10-01,ASML,REMOVED,801.2419,711.7097,-11.17,loss,30,21
2021-08-02,2021-11-01,NVDA,REMOVED,19.655,25.5949,30.22,win,91,64
2021-11-01,2021-12-01,DXCM,REMOVED,156.8175,141.8525,-9.54,loss,30,21
2021-09-01,2022-01-03,MRNA,REMOVED,382.837,247.12,-35.45,loss,124,85
2021-10-01,2022-01-03,TEAM,REMOVED,393.0,380.43,-3.2,loss,94,64
2022-01-03,2022-02-01,AMD,REMOVED,145.14,116.75,-19.56,loss,29,20
2022-02-01,2022-03-01,DDOG,REMOVED,147.89,160.24,8.35,win,28,19
2022-01-03,2022-04-01,LCID,REMOVED,385.5,253.9,-34.14,loss,88,62
2021-12-01,2022-04-01,TSLA,REMOVED,386.9,360.3833,-6.85,loss,121,84
2022-04-01,2022-05-02,MU,REMOVED,76.6804,66.7305,-12.98,loss,31,20
2022-04-01,2022-05-02,QCOM,REMOVED,138.6305,128.2838,-7.46,loss,31,20
2022-03-01,2022-06-01,DLTR,REMOVED,141.72,160.41,13.19,win,92,64
2022-06-01,2022-07-01,KHC,REMOVED,31.4516,31.6342,0.58,win,30,21
2022-07-01,2022-08-01,AEP,REMOVED,82.9274,84.8969,2.37,win,31,20
2022-05-02,2022-08-01,EXC,REMOVED,40.5963,40.4853,-0.27,loss,91,62
2022-05-02,2022-08-01,VRTX,REMOVED,264.15,279.79,5.92,win,91,62
2022-08-01,2022-09-01,PDD,REMOVED,47.48,69.45,46.27,win,31,23
2022-08-01,2022-09-01,TMUS,REMOVED,137.492,137.9632,0.34,win,31,23
2022-09-01,2022-10-03,ADP,REMOVED,223.6191,210.9674,-5.66,loss,32,21
2022-09-01,2022-10-03,DLTR,REMOVED,134.86,137.51,1.96,win,32,21
2022-10-03,2022-11-01,JD,REMOVED,44.3568,36.3532,-18.04,loss,29,21
2022-11-01,2022-12-01,BIIB,REMOVED,283.44,305.51,7.79,win,30,21
2022-08-01,2022-12-01,CEG,REMOVED,64.0452,94.3684,47.35,win,122,86
2022-10-03,2022-12-01,PDD,REMOVED,62.41,79.24,26.97,win,59,42
2022-12-01,2023-01-03,DXCM,REMOVED,116.39,114.3,-1.8,loss,33,21
2022-12-01,2023-01-03,ENPH,REMOVED,322.11,269.17,-16.44,loss,33,21
2023-01-03,2023-02-01,CEG,REMOVED,83.6669,83.1366,-0.63,loss,29,20
2023-01-03,2023-02-01,GFS,REMOVED,53.93,59.45,10.24,win,29,20
2022-12-01,2023-02-01,NFLX,REMOVED,30.399,35.386,16.41,win,62,41
2023-02-01,2023-03-01,GILD,REMOVED,75.1697,71.8859,-4.37,loss,28,19
2023-02-01,2023-03-01,ROST,REMOVED,114.9526,103.324,-10.12,loss,28,19
2023-03-01,2023-04-03,BIIB,REMOVED,267.97,276.34,3.12,win,33,23
2023-03-01,2023-04-03,NFLX,REMOVED,32.155,34.183,6.31,win,33,23
2023-04-03,2023-05-01,BKNG,REMOVED,103.8515,105.2467,1.34,win,28,19
2023-02-01,2023-05-01,PDD,REMOVED,102.31,67.69,-33.84,loss,89,61
2023-05-01,2023-06-01,AMD,REMOVED,91.03,117.29,28.85,win,31,22
2023-06-01,2023-07-03,ALGN,REMOVED,283.65,350.7,23.64,win,32,21
2023-07-03,2023-08-01,AMD,REMOVED,115.16,114.26,-0.78,loss,29,20
2023-08-01,2023-09-01,PANW,REMOVED,124.945,121.625,-2.66,loss,31,23
2023-09-01,2023-11-01,ADBE,REMOVED,564.8,535.0,-5.28,loss,61,42
2023-05-01,2023-11-01,META,REMOVED,236.762,299.4997,26.5,win,184,128
2023-04-03,2023-12-01,NVDA,REMOVED,27.4847,46.4925,69.16,win,242,168
2023-11-01,2023-12-01,TSLA,REMOVED,204.04,233.14,14.26,win,30,21
2023-11-01,2023-12-01,ZS,REMOVED,159.6,197.89,23.99,win,30,21
2023-12-01,2024-01-02,CEG,REMOVED,118.777,114.6215,-3.5,loss,32,20
2023-12-01,2024-01-02,FANG,REMOVED,142.009,144.0982,1.47,win,32,20
2024-01-02,2024-02-01,ZS,REMOVED,218.1,236.61,8.49,win,30,21
2024-02-01,2024-03-01,INTC,REMOVED,42.5797,42.9619,0.9,win,29,20
2023-12-01,2024-03-01,PDD,REMOVED,143.32,126.9,-11.46,loss,91,61
2024-03-01,2024-04-01,ZS,REMOVED,227.0,192.5,-15.2,loss,31,20
2024-01-02,2024-05-01,CRWD,REMOVED,251.47,290.44,15.5,win,120,83
2024-03-01,2024-06-03,AMD,REMOVED,197.91,170.82,-13.69,loss,94,64
2024-05-01,2024-06-03,DASH,REMOVED,128.15,110.25,-13.97,loss,33,22
2024-06-03,2024-07-01,MU,REMOVED,127.2375,129.591,1.85,win,28,19
2024-07-01,2024-09-03,ARM,REMOVED,163.43,129.865,-20.54,loss,64,44
2024-06-03,2024-09-03,CEG,REMOVED,212.9493,193.5459,-9.11,loss,92,63
2024-09-03,2024-10-01,BKR,REMOVED,33.4107,34.6772,3.79,win,28,20
2024-09-03,2024-10-01,CHTR,REMOVED,345.53,323.44,-6.39,loss,28,20
2024-04-01,2024-10-01,NVDA,REMOVED,90.2481,121.7217,34.87,win,183,127
2024-10-01,2024-11-01,AAPL,REMOVED,227.8123,219.3259,-3.73,loss,31,23
2024-10-01,2024-11-01,AZN,REMOVED,151.1068,138.878,-8.09,loss,31,23
2024-10-01,2024-11-01,MELI,REMOVED,2060.0,2030.4399,-1.43,loss,31,23
2024-11-01,2024-12-02,ARM,REMOVED,144.17,134.2,-6.92,loss,31,20
2024-11-01,2024-12-02,AVGO,REMOVED,165.9594,160.722,-3.16,loss,31,20
2024-11-01,2024-12-02,CEG,REMOVED,260.1039,254.8302,-2.03,loss,31,20
2024-12-02,2025-01-02,ILMN,REMOVED,142.91,134.0,-6.23,loss,31,21
2024-12-02,2025-01-02,TSLA,REMOVED,352.38,390.1,10.7,win,31,21
