date,equity,units,exposure,allocation
2010-06-25,1.0,1.0,0.0,TQQQ
2010-06-28,0.9940002213151687,1.0,0.67,TQQQ
2010-06-29,0.9196827441007813,2.0,0.67,TQQQ
2010-06-30,0.889847107622002,1.0,0.67,SOXL
2010-07-01,0.8840352170786557,1.0,0.67,TQQQ
2010-07-02,0.8807949379172901,1.0,0.67,TQQQ
2010-07-06,0.8838790881379226,1.0,0.67,TQQQ
2010-07-07,0.9398406558211659,1.0,0.67,TQQQ
2010-07-08,0.9504639460006474,1.0,0.67,TQQQ
2010-07-09,0.9683068197457343,1.0,0.67,TQQQ
2010-07-12,0.9756737796204912,1.0,0.67,TQQQ
2010-07-13,0.9980021306330652,1.0,0.67,TQQQ
2010-07-14,1.0086982009518424,1.0,0.67,TQQQ
2010-07-15,1.0110569066879496,1.0,0.67,TQQQ
2010-07-16,0.9565361141045748,2.0,0.67,TQQQ
2010-07-19,0.9854445410486876,2.0,1.34,TQQQ
2010-07-20,1.0271625451145476,1.0,1.34,TQQQ
2010-07-21,1.0030629747798299,1.0,0.67,TQQQ
2010-07-22,1.048374761588353,1.0,0.67,TQQQ
2010-07-23,1.06665922646822,1.0,0.67,TQQQ
2010-07-26,1.082365640795341,1.0,0.67,TQQQ
2010-07-27,1.0822107374738048,1.0,0.67,TQQQ
2010-07-28,1.0673894431111968,1.0,0.67,TQQQ
2010-07-29,1.0503565408452078,1.0,0.67,TQQQ
2010-07-30,1.055162389050031,1.0,0.67,TQQQ
2010-08-02,1.0931975030507821,1.0,0.67,TQQQ
2010-08-03,1.0856261068768935,1.0,0.67,TQQQ
2010-08-04,1.1066352024639503,1.0,0.67,TQQQ
2010-08-05,1.1022582426146479,1.0,0.67,TQQQ
2010-08-06,1.098794592225012,1.0,0.67,TQQQ
2010-08-09,1.11166719110788,1.0,0.67,TQQQ
2010-08-10,1.0958775247229497,1.0,0.67,TQQQ
2010-08-11,1.0354390100126596,2.0,0.67,TQQQ
2010-08-12,0.9963323279687187,2.0,1.34,TQQQ
