date,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2010-06-29,BUY_EXTRA_1,TQQQ,2.0,0.1928,-11.95,,,,
2010-06-30,RESET_ON_ROTATION,,,0.4291,,TQQQ,SOXL,2.0,
2010-07-01,RESET_ON_ROTATION,,,0.1815,,SOXL,TQQQ,1.0,
2010-07-16,BUY_EXTRA_1,TQQQ,2.0,0.2035,-8.05,,,,
2010-07-20,SELL_EXTRAS,TQQQ,1.0,0.2147,,,,2.0,price rebounded 5% from DCA low
2010-08-11,BUY_EXTRA_1,TQQQ,2.0,0.2166,-10.18,,,,
2010-08-18,SELL_EXTRAS,TQQQ,1.0,0.2173,,,,2.0,price rebounded 5% from DCA low
2010-08-18,BUY_EXTRA_1,TQQQ,2.0,0.2173,-9.89,,,,
2010-08-24,BUY_EXTRA_2,TQQQ,3.0,0.1912,-20.71,,,,
2010-09-01,SELL_EXTRAS,TQQQ,1.0,0.2053,,,,3.0,extra shares max holding days 10
2010-09-01,BUY_EXTRA_1,TQQQ,2.0,0.2053,-14.84,,,,
2010-09-03,SELL_EXTRAS,TQQQ,1.0,0.2232,,,,2.0,price rebounded 5% from DCA low
2010-09-07,BUY_EXTRA_1,TQQQ,2.0,0.2178,-9.68,,,,
2010-09-10,SELL_EXTRAS,TQQQ,1.0,0.2308,,,,2.0,price rebounded 5% from DCA low
2010-11-16,BUY_EXTRA_1,TQQQ,2.0,0.3093,-12.36,,,,
2010-11-18,SELL_EXTRAS,TQQQ,1.0,0.3268,,,,2.0,price rebounded 5% from DCA low
2010-11-23,BUY_EXTRA_1,TQQQ,2.0,0.3203,-9.26,,,,
2010-11-24,SELL_EXTRAS,TQQQ,1.0,0.339,,,,2.0,price rebounded 5% from DCA low
2010-11-30,BUY_EXTRA_1,TQQQ,2.0,0.3196,-9.47,,,,
2010-12-01,SELL_EXTRAS,TQQQ,1.0,0.3399,,,,2.0,price rebounded 5% from DCA low
2011-01-04,RESET_ON_ROTATION,,,0.7777,,TQQQ,SOXL,1.0,
2011-01-19,BUY_EXTRA_1,SOXL,2.0,0.9136,-8.06,,,,
2011-01-24,SELL_EXTRAS,SOXL,1.0,0.9277,,,,2.0,price rebounded 5% from DCA low
2011-01-25,BUY_EXTRA_1,SOXL,2.0,0.9083,-8.59,,,,
2011-01-27,SELL_EXTRAS,SOXL,1.0,0.985,,,,2.0,price rebounded 5% from DCA low
2011-01-28,BUY_EXTRA_1,SOXL,2.0,0.9053,-8.9,,,,
2011-02-01,SELL_EXTRAS,SOXL,1.0,0.9819,,,,2.0,price rebounded 5% from DCA low
2011-02-22,BUY_EXTRA_1,SOXL,2.0,0.9858,-12.93,,,,
2011-02-25,SELL_EXTRAS,SOXL,1.0,1.053,,,,2.0,price rebounded 5% from DCA low
2011-02-28,BUY_EXTRA_1,SOXL,2.0,1.0211,-9.81,,,,
2011-03-03,SELL_EXTRAS,SOXL,1.0,1.0592,,,,2.0,price rebounded 5% from DCA low
2011-03-04,BUY_EXTRA_1,SOXL,2.0,1.0258,-9.39,,,,
2011-03-09,BUY_EXTRA_2,SOXL,3.0,0.8616,-23.9,,,,
2011-03-18,SELL_EXTRAS,SOXL,1.0,0.7685,,,,3.0,extra shares max holding days 10
2011-03-18,BUY_EXTRA_1,SOXL,2.0,0.7685,-32.12,,,,
2011-03-21,SELL_EXTRAS,SOXL,1.0,0.8082,,,,2.0,price rebounded 5% from DCA low
2011-03-21,BUY_EXTRA_1,SOXL,2.0,0.8082,-28.61,,,,
2011-03-22,BUY_EXTRA_2,SOXL,3.0,0.7892,-30.29,,,,
2011-03-24,SELL_EXTRAS,SOXL,1.0,0.8704,,,,3.0,price rebounded 5% from DCA low
2011-03-24,BUY_EXTRA_1,SOXL,2.0,0.8704,-23.12,,,,
2011-03-25,BUY_EXTRA_2,SOXL,3.0,0.8631,-23.76,,,,
2011-04-04,RESET_ON_ROTATION,,,0.4192,,SOXL,TQQQ,3.0,
2011-05-16,BUY_EXTRA_1,TQQQ,2.0,0.4189,-9.24,,,,
2011-05-31,SELL_EXTRAS,TQQQ,1.0,0.4388,,,,2.0,extra shares max holding days 10
2011-06-01,BUY_EXTRA_1,TQQQ,2.0,0.4108,-10.99,,,,
2011-06-09,RESET_ON_ROTATION,,,0.6983,,TQQQ,SOXL,2.0,
2011-06-10,RESET_ON_ROTATION,,,0.3588,,SOXL,TQQQ,1.0,
2011-07-12,BUY_EXTRA_1,TQQQ,2.0,0.417,-8.43,,,,
2011-07-19,SELL_EXTRAS,TQQQ,1.0,0.4467,,,,2.0,price rebounded 5% from DCA low
2011-07-29,BUY_EXTRA_1,TQQQ,2.0,0.4261,-8.03,,,,
2011-08-04,BUY_EXTRA_2,TQQQ,3.0,0.3443,-25.69,,,,
2011-08-08,RESET_ON_ROTATION,,,0.3519,,TQQQ,SOXL,3.0,
2011-08-09,RESET_ON_ROTATION,,,0.3155,,SOXL,TQQQ,1.0,
2011-08-10,BUY_EXTRA_1,TQQQ,2.0,0.2783,-11.79,,,,
2011-08-11,SELL_EXTRAS,TQQQ,1.0,0.3141,,,,2.0,price rebounded 5% from DCA low
2011-08-18,BUY_EXTRA_1,TQQQ,2.0,0.2753,-18.05,,,,
2011-08-19,BUY_EXTRA_2,TQQQ,3.0,0.2599,-22.64,,,,
2011-08-23,SELL_EXTRAS,TQQQ,1.0,0.2947,,,,3.0,price rebounded 5% from DCA low
2011-08-23,BUY_EXTRA_1,TQQQ,2.0,0.2947,-12.29,,,,
2011-08-26,SELL_EXTRAS,TQQQ,1.0,0.3079,,,,2.0,price rebounded 5% from DCA low
