Strategy,Year,AnnualReturnPct,MaxDrawdownPct,Trades
CupHandle IS,2010,-6.16,-17.05,5
CupHandle IS,2011,4.92,-9.52,4
CupHandle IS,2012,0.76,-11.28,6
CupHandle IS,2013,-3.11,-8.22,4
CupHandle IS,2014,-1.85,-6.96,3
CupHandle IS,2015,30.37,-12.05,6
CupHandle IS,2016,2.71,-16.94,6
CupHandle IS,2017,1.89,-10.89,4
CupHandle IS,2018,11.88,-11.81,3
CupHandle IS,2019,9.83,-15.21,6
CupHandle OOS,2020,0.83,-14.81,6
CupHandle OOS,2021,26.92,-10.84,5
CupHandle OOS,2022,-20.35,-20.98,1
CupHandle OOS,2023,13.73,-9.69,6
CupHandle OOS,2024,22.92,-13.65,5
CupHandle OOS,2025,46.91,-13.35,5
CupHandle OOS,2026,55.5,-13.09,2
SMH IS,2010,14.5,-20.3,0
SMH IS,2011,-6.91,-26.07,0
SMH IS,2012,7.07,-16.93,0
SMH IS,2013,28.25,-7.05,0
SMH IS,2014,31.59,-14.52,0
SMH IS,2015,-0.1,-23.66,0
SMH IS,2016,36.98,-13.45,0
SMH IS,2017,38.25,-9.14,0
SMH IS,2018,-11.37,-27.02,0
SMH IS,2019,63.25,-17.96,0
SMH OOS,2020,52.02,-33.62,0
SMH OOS,2021,41.85,-15.58,0
SMH OOS,2022,-34.97,-45.14,0
SMH OOS,2023,74.72,-14.42,0
SMH OOS,2024,43.96,-24.82,0
SMH OOS,2025,47.58,-32.65,0
SMH OOS,2026,60.44,-14.93,0
