Date,Equity,Cash,PositionValue,OpenPositions,OpenWatches
2020-01-02,102534.88090738628,66666.66666666666,35868.21424071963,1,1
2020-01-03,102169.6241318731,66666.66666666666,35502.95746520644,1,1
2020-01-06,102016.2169549627,66666.66666666666,35349.550288296035,1,1
2020-01-07,101858.93101825073,32695.351498770295,69163.57951948044,2,0
2020-01-08,101772.17355686928,32695.351498770295,69076.82205809899,2,0
2020-01-09,102659.97409392163,32695.351498770295,69964.62259515133,2,0
2020-01-10,101690.46015033868,32695.351498770295,68995.10865156839,2,0
2020-01-13,103131.92313089754,32695.351498770295,70436.57163212725,2,0
2020-01-14,103150.05378532578,32695.351498770295,70454.70228655549,2,0
2020-01-15,102380.6620975039,32695.351498770295,69685.3105987336,2,0
2020-01-16,103478.19515353258,32695.351498770295,70782.84365476228,2,0
2020-01-17,104284.32911019136,32695.351498770295,71588.97761142107,2,0
2020-01-21,104083.16626844712,32695.351498770295,71387.81476967683,2,0
2020-01-22,104374.51345851281,32695.351498770295,71679.16195974252,2,0
2020-01-23,105500.54558188173,32695.351498770295,72805.19408311143,2,0
2020-01-24,103846.87602929771,32695.351498770295,71151.52453052741,2,0
2020-01-27,101221.39158925612,32695.351498770295,68526.04009048583,2,0
2020-01-28,102850.57646184452,32695.351498770295,70155.22496307423,2,0
2020-01-29,100245.57044624281,32695.351498770295,67550.21894747252,2,0
2020-01-30,101255.84629257744,32695.351498770295,68560.49479380714,2,0
2020-01-31,98600.80529449899,64266.66839625953,34334.13689823946,1,1
2020-02-03,99345.92945094846,64266.66839625953,35079.26105468893,1,1
2020-02-04,100390.56405185122,64266.66839625953,36123.89565559169,1,1
2020-02-05,100675.46389088141,64266.66839625953,36408.79549462188,1,1
2020-02-06,100295.59650994513,64266.66839625953,36028.9281136856,1,1
2020-02-07,100595.10695439842,64266.66839625953,36328.43855813889,1,1
2020-02-10,102443.30534675496,64266.66839625953,38176.63695049544,1,1
2020-02-11,103568.29688414071,64266.66839625953,39301.628487881186,1,0
2020-02-12,103634.0432152006,64266.66839625953,39367.374818941076,1,0
