Symbol,SignalDate,TradeStartDate,ExpireDate,Score,BreakoutLevel,Target,TargetReturnPct,Stop,CupLowDate,LeftRimDate,RightRimDate,HandleLowDate,CupDepthPct,HandleDepthPctOfCup,CupWidthDays,HandleWidthDays,VolumeNote,CandidateJson
AMKR,2010-01-11,2010-01-12,2010-01-14,78.43,7.02,9.23,31.48,6.45,2009-11-27,2009-10-13,2009-12-22,2009-12-22,30.78,24.05,49,12,volume condition PASS: handle avg volume 0.95x cup avg; handle avg 0.95x cup avg; latest day 0.63x handle avg,"{""score"": 78.43, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 218, ""bottom_idx"": 250, ""right_rim_idx"": 267, ""handle_low_idx"": 267, ""last_idx"": 279, ""left_rim_date"": ""2009-10-13"", ""bottom_date"": ""2009-11-27"", ""right_rim_date"": ""2009-12-22"", ""handle_low_date"": ""2009-12-22"", ""last_date"": ""2010-01-11"", ""left_rim_price"": 7.16, ""bottom_price"": 4.96, ""right_rim_price"": 6.98, ""handle_low_price"": 6.45, ""last_close"": 6.7, ""cup_depth_pct"": 30.78, ""handle_depth_pct_of_cup"": 24.05, ""right_rim_gap_pct"": 2.6, ""cup_width_weeks"": 49, ""handle_width_weeks"": 12, ""breakout_level"": 7.02, ""projected_target"": 9.23, ""volume_note"": ""volume condition PASS: handle avg volume 0.95x cup avg; handle avg 0.95x cup avg; latest day 0.63x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.95x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
AMKR,2010-01-19,2010-01-20,2010-01-22,78.25,6.92,9.12,31.79,6.14,2009-11-27,2009-10-13,2010-01-11,2010-01-15,30.78,35.44,61,5,volume condition PASS: handle avg volume 0.82x cup avg; handle avg 0.82x cup avg; latest day 0.94x handle avg,"{""score"": 78.25, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 218, ""bottom_idx"": 250, ""right_rim_idx"": 279, ""handle_low_idx"": 283, ""last_idx"": 284, ""left_rim_date"": ""2009-10-13"", ""bottom_date"": ""2009-11-27"", ""right_rim_date"": ""2010-01-11"", ""handle_low_date"": ""2010-01-15"", ""last_date"": ""2010-01-19"", ""left_rim_price"": 7.16, ""bottom_price"": 4.96, ""right_rim_price"": 6.92, ""handle_low_price"": 6.14, ""last_close"": 6.3, ""cup_depth_pct"": 30.78, ""handle_depth_pct_of_cup"": 35.44, ""right_rim_gap_pct"": 3.38, ""cup_width_weeks"": 61, ""handle_width_weeks"": 5, ""breakout_level"": 6.92, ""projected_target"": 9.12, ""volume_note"": ""volume condition PASS: handle avg volume 0.82x cup avg; handle avg 0.82x cup avg; latest day 0.94x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.82x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
TER,2010-01-19,2010-01-20,2010-01-22,58.31,10.64,13.84,30.08,9.41,2009-11-03,2009-10-01,2010-01-12,2010-01-15,30.08,38.51,70,4,volume condition PASS: handle avg volume 0.98x cup avg; handle avg 0.98x cup avg; latest day 0.91x handle avg,"{""score"": 58.31, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 210, ""bottom_idx"": 233, ""right_rim_idx"": 280, ""handle_low_idx"": 283, ""last_idx"": 284, ""left_rim_date"": ""2009-10-01"", ""bottom_date"": ""2009-11-03"", ""right_rim_date"": ""2010-01-12"", ""handle_low_date"": ""2010-01-15"", ""last_date"": ""2010-01-19"", ""left_rim_price"": 9.11, ""bottom_price"": 7.44, ""right_rim_price"": 10.64, ""handle_low_price"": 9.41, ""last_close"": 9.71, ""cup_depth_pct"": 30.08, ""handle_depth_pct_of_cup"": 38.51, ""right_rim_gap_pct"": 14.43, ""cup_width_weeks"": 70, ""handle_width_weeks"": 4, ""breakout_level"": 10.64, ""projected_target"": 13.84, ""volume_note"": ""volume condition PASS: handle avg volume 0.98x cup avg; handle avg 0.98x cup avg; latest day 0.91x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 0.98x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
AMD,2010-03-17,2010-03-18,2010-03-22,78.41,9.74,12.8,31.42,8.59,2010-02-05,2009-12-28,2010-03-10,2010-03-10,30.48,16.34,49,5,volume condition PASS: handle avg volume 0.86x cup avg; handle avg 0.86x cup avg; latest day 1.26x handle avg,"{""score"": 78.41, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 270, ""bottom_idx"": 297, ""right_rim_idx"": 319, ""handle_low_idx"": 319, ""last_idx"": 324, ""left_rim_date"": ""2009-12-28"", ""bottom_date"": ""2010-02-05"", ""right_rim_date"": ""2010-03-10"", ""handle_low_date"": ""2010-03-10"", ""last_date"": ""2010-03-17"", ""left_rim_price"": 10.04, ""bottom_price"": 6.98, ""right_rim_price"": 9.09, ""handle_low_price"": 8.59, ""last_close"": 9.67, ""cup_depth_pct"": 30.48, ""handle_depth_pct_of_cup"": 16.34, ""right_rim_gap_pct"": 9.46, ""cup_width_weeks"": 49, ""handle_width_weeks"": 5, ""breakout_level"": 9.74, ""projected_target"": 12.8, ""volume_note"": ""volume condition PASS: handle avg volume 0.86x cup avg; handle avg 0.86x cup avg; latest day 1.26x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.86x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
AMD,2010-03-24,2010-03-25,2010-03-29,86.92,9.74,12.8,31.42,8.79,2010-02-05,2009-12-28,2010-03-17,2010-03-22,30.48,31.05,54,5,volume condition PASS: handle avg volume 0.74x cup avg; handle avg 0.74x cup avg; latest day 0.76x handle avg,"{""score"": 86.92, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 270, ""bottom_idx"": 297, ""right_rim_idx"": 324, ""handle_low_idx"": 327, ""last_idx"": 329, ""left_rim_date"": ""2009-12-28"", ""bottom_date"": ""2010-02-05"", ""right_rim_date"": ""2010-03-17"", ""handle_low_date"": ""2010-03-22"", ""last_date"": ""2010-03-24"", ""left_rim_price"": 10.04, ""bottom_price"": 6.98, ""right_rim_price"": 9.74, ""handle_low_price"": 8.79, ""last_close"": 9.23, ""cup_depth_pct"": 30.48, ""handle_depth_pct_of_cup"": 31.05, ""right_rim_gap_pct"": 2.99, ""cup_width_weeks"": 54, ""handle_width_weeks"": 5, ""breakout_level"": 9.74, ""projected_target"": 12.8, ""volume_note"": ""volume condition PASS: handle avg volume 0.74x cup avg; handle avg 0.74x cup avg; latest day 0.76x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.74x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
AMD,2010-03-31,2010-04-01,2010-04-06,87.42,9.74,12.8,31.42,8.79,2010-02-05,2009-12-28,2010-03-17,2010-03-22,30.48,31.05,54,10,volume condition PASS: handle avg volume 0.67x cup avg; handle avg 0.67x cup avg; latest day 0.89x handle avg,"{""score"": 87.42, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 270, ""bottom_idx"": 297, ""right_rim_idx"": 324, ""handle_low_idx"": 327, ""last_idx"": 334, ""left_rim_date"": ""2009-12-28"", ""bottom_date"": ""2010-02-05"", ""right_rim_date"": ""2010-03-17"", ""handle_low_date"": ""2010-03-22"", ""last_date"": ""2010-03-31"", ""left_rim_price"": 10.04, ""bottom_price"": 6.98, ""right_rim_price"": 9.74, ""handle_low_price"": 8.79, ""last_close"": 9.27, ""cup_depth_pct"": 30.48, ""handle_depth_pct_of_cup"": 31.05, ""right_rim_gap_pct"": 2.99, ""cup_width_weeks"": 54, ""handle_width_weeks"": 10, ""breakout_level"": 9.74, ""projected_target"": 12.8, ""volume_note"": ""volume condition PASS: handle avg volume 0.67x cup avg; handle avg 0.67x cup avg; latest day 0.89x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.67x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
AMD,2010-04-08,2010-04-09,2010-04-13,88.63,9.83,12.89,31.13,8.79,2010-02-05,2009-12-28,2010-03-17,2010-03-22,30.48,31.05,54,15,volume condition PASS: handle avg volume 0.73x cup avg; handle avg 0.73x cup avg; latest day 1.37x handle avg,"{""score"": 88.63, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 270, ""bottom_idx"": 297, ""right_rim_idx"": 324, ""handle_low_idx"": 327, ""last_idx"": 339, ""left_rim_date"": ""2009-12-28"", ""bottom_date"": ""2010-02-05"", ""right_rim_date"": ""2010-03-17"", ""handle_low_date"": ""2010-03-22"", ""last_date"": ""2010-04-08"", ""left_rim_price"": 10.04, ""bottom_price"": 6.98, ""right_rim_price"": 9.74, ""handle_low_price"": 8.79, ""last_close"": 9.42, ""cup_depth_pct"": 30.48, ""handle_depth_pct_of_cup"": 31.05, ""right_rim_gap_pct"": 2.99, ""cup_width_weeks"": 54, ""handle_width_weeks"": 15, ""breakout_level"": 9.83, ""projected_target"": 12.89, ""volume_note"": ""volume condition PASS: handle avg volume 0.73x cup avg; handle avg 0.73x cup avg; latest day 1.37x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.73x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
AMKR,2010-04-08,2010-04-09,2010-04-13,76.75,6.85,8.93,30.36,6.38,2009-11-27,2009-09-16,2010-03-30,2010-04-01,29.59,16.96,134,6,volume condition PASS: handle avg volume 0.74x cup avg; handle avg 0.74x cup avg; latest day 1.03x handle avg,"{""score"": 76.75, ""status"": ""near breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 199, ""bottom_idx"": 250, ""right_rim_idx"": 333, ""handle_low_idx"": 335, ""last_idx"": 339, ""left_rim_date"": ""2009-09-16"", ""bottom_date"": ""2009-11-27"", ""right_rim_date"": ""2010-03-30"", ""handle_low_date"": ""2010-04-01"", ""last_date"": ""2010-04-08"", ""left_rim_price"": 7.04, ""bottom_price"": 4.96, ""right_rim_price"": 6.73, ""handle_low_price"": 6.38, ""last_close"": 6.75, ""cup_depth_pct"": 29.59, ""handle_depth_pct_of_cup"": 16.96, ""right_rim_gap_pct"": 4.36, ""cup_width_weeks"": 134, ""handle_width_weeks"": 6, ""breakout_level"": 6.85, ""projected_target"": 8.93, ""volume_note"": ""volume condition PASS: handle avg volume 0.74x cup avg; handle avg 0.74x cup avg; latest day 1.03x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.74x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
AMD,2010-04-29,2010-04-30,2010-05-04,79.3,10.15,13.32,31.23,9.35,2010-02-05,2009-12-28,2010-04-26,2010-04-28,31.23,25.24,81,3,volume condition PASS: handle avg volume 1.04x cup avg; handle avg 1.04x cup avg; latest day 0.65x handle avg,"{""score"": 79.3, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 270, ""bottom_idx"": 297, ""right_rim_idx"": 351, ""handle_low_idx"": 353, ""last_idx"": 354, ""left_rim_date"": ""2009-12-28"", ""bottom_date"": ""2010-02-05"", ""right_rim_date"": ""2010-04-26"", ""handle_low_date"": ""2010-04-28"", ""last_date"": ""2010-04-29"", ""left_rim_price"": 10.04, ""bottom_price"": 6.98, ""right_rim_price"": 10.15, ""handle_low_price"": 9.35, ""last_close"": 9.72, ""cup_depth_pct"": 31.23, ""handle_depth_pct_of_cup"": 25.24, ""right_rim_gap_pct"": 1.08, ""cup_width_weeks"": 81, ""handle_width_weeks"": 3, ""breakout_level"": 10.15, ""projected_target"": 13.32, ""volume_note"": ""volume condition PASS: handle avg volume 1.04x cup avg; handle avg 1.04x cup avg; latest day 0.65x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""handle avg volume 1.04x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
AMKR,2010-10-12,2010-10-13,2010-10-15,71.13,6.58,8.58,30.4,6.12,2010-07-02,2010-05-13,2010-10-07,2010-10-08,29.57,22.79,102,3,volume condition PASS: handle avg volume 0.96x cup avg; handle avg 0.96x cup avg; latest day 1.02x handle avg,"{""score"": 71.13, ""status"": ""awaiting breakout"", ""scanner_bucket"": ""Cup and Handle Pattern in Force"", ""left_rim_idx"": 364, ""bottom_idx"": 399, ""right_rim_idx"": 466, ""handle_low_idx"": 467, ""last_idx"": 469, ""left_rim_date"": ""2010-05-13"", ""bottom_date"": ""2010-07-02"", ""right_rim_date"": ""2010-10-07"", ""handle_low_date"": ""2010-10-08"", ""last_date"": ""2010-10-12"", ""left_rim_price"": 6.76, ""bottom_price"": 4.76, ""right_rim_price"": 6.58, ""handle_low_price"": 6.12, ""last_close"": 6.21, ""cup_depth_pct"": 29.57, ""handle_depth_pct_of_cup"": 22.79, ""right_rim_gap_pct"": 2.75, ""cup_width_weeks"": 102, ""handle_width_weeks"": 3, ""breakout_level"": 6.58, ""projected_target"": 8.58, ""volume_note"": ""volume condition PASS: handle avg volume 0.96x cup avg; handle avg 0.96x cup avg; latest day 1.02x handle avg"", ""notes"": [""daily cup has a declining left side, rising right side, and rounded U-shape fit"", ""daily handle remains in the upper half of the cup"", ""right rim is below the left rim"", ""handle avg volume 0.96x cup avg"", ""no daily close above the handle/rim resistance yet""]}"
