date,SMH_HIST_PIT Top2 L252 S0 smh_sma100 DCA1,SMH buy-and-hold
2020-01-01,0.0,0.0
2020-01-02,-0.0833770214026327,-0.039084710921452936
2020-02-03,-0.12082119650031553,-0.07031078636394017
2020-03-02,-0.12082119650031553,-0.2110716472577444
2020-04-01,-0.12082119650031553,-0.08992271329845858
2020-05-01,-0.12082119650031553,-0.0200988029486191
2020-06-01,-0.09199867152999508,0.0
2020-07-01,-0.0087015974476784,0.0
2020-08-03,0.0,0.0
2020-09-01,-0.03788247092674257,0.0
2020-10-01,-0.11811172798998193,-0.005745511250402235
2020-11-02,0.0,0.0
2020-12-01,-0.01499396490839855,0.0
2021-01-04,-0.03457581400349363,0.0
2021-02-01,0.0,0.0
2021-03-01,-0.01830776341415985,0.0
2021-04-01,-0.07894896453581679,-0.013949326854135635
2021-05-03,-0.04225891228564993,0.0
2021-06-01,-0.05756325591397715,0.0
2021-07-01,-0.06995919244402149,0.0
2021-08-02,-0.045844120742036365,0.0
2021-09-01,-0.12172767267982465,-0.05383451310305698
2021-10-01,-0.12172767267982465,0.0
2021-11-01,-0.07097840923165533,0.0
2021-12-01,-0.07820446093783695,0.0
2022-01-03,-0.21290443205527332,-0.10925151571272784
2022-02-01,-0.21290443205527332,-0.14156756252707348
2022-03-01,-0.21290443205527332,-0.13013162673009138
2022-04-01,-0.21290443205527332,-0.2615161619907139
2022-05-02,-0.21290443205527332,-0.21069695506856267
2022-06-01,-0.21290443205527332,-0.35689043028333456
2022-07-01,-0.21290443205527332,-0.24510112773710158
2022-08-01,-0.22265807080554467,-0.32849340443903163
2022-09-01,-0.22265807080554467,-0.3984259240823501
2022-10-03,-0.22265807080554467,-0.37905554447822365
2022-11-01,-0.22265807080554467,-0.26379696551991727
2022-12-01,-0.2689379846202121,-0.32885090834176756
2023-01-03,-0.2689379846202121,-0.2256345832457407
2023-02-01,-0.2253259784066276,-0.2188445245404269
2023-03-01,-0.1756695553092389,-0.1492864553898744
2023-04-03,-0.20952590769840285,-0.19438063587318288
2023-05-01,-0.005305405554284048,-0.05874072642073347
2023-06-01,0.0,-0.004744698328680741
2023-07-03,0.0,0.0
2023-08-01,0.0,-0.014028986787822495
2023-09-01,-0.09542057336239762,-0.09018601916049818
2023-10-02,-0.09542057336239762,-0.12820192830403
2023-11-01,-0.09542057336239762,0.0
2023-12-01,0.0,0.0
2024-01-02,0.0,0.0
2024-02-01,0.0,0.0
2024-03-01,0.0,0.0
2024-04-01,-0.046773752402200164,-0.06368076588850202
2024-05-01,0.0,0.0
2024-06-03,0.0,0.0
2024-07-01,-0.11304396889380208,-0.06498094691797618
2024-08-01,-0.11067012144086796,-0.08478936701243878
2024-09-03,-0.05432141768698706,-0.058888903949728455
2024-10-01,-0.014824888427172556,-0.06440618054073421
2024-11-01,-0.014824888427172556,-0.06762457303644975
2024-12-02,-0.014824888427172556,-0.058989452217323324
2025-01-02,-0.014824888427172556,-0.09189326189046998
2025-02-03,-0.014824888427172556,-0.09420231522656874
2025-03-03,-0.014824888427172556,-0.18814172704937493
2025-04-01,-0.014824888427172556,-0.172863614822781
2025-05-01,-0.014824888427172556,-0.0795399417674777
2025-06-02,0.0,0.0
2025-07-01,0.0,0.0
2025-08-01,-0.006860884370872844,0.0
2025-09-02,0.0,0.0
2025-10-01,0.0,0.0
2025-11-03,0.0,-0.05123877277871458
2025-12-01,0.0,0.0
2026-01-02,0.0,0.0
2026-02-02,-0.021670572942657396,-0.0040364674589842275
2026-03-02,-0.11448822381297163,-0.02657568062786353
2026-04-01,0.0,0.0
2026-05-22,0.0,0.0
