date,equity,units,exposure,allocation
2010-06-25,1.0,1.0,0.0,TQQQ
2010-06-28,0.9940002217234842,1.0,0.67,TQQQ
2010-06-29,0.9196826581162073,2.0,0.67,TQQQ
2010-06-30,0.8898470690965238,1.0,0.67,SOXL
2010-07-01,0.8840353232974935,1.0,0.67,TQQQ
2010-07-02,0.8807949467393235,1.0,0.67,TQQQ
2010-07-06,0.8838792434206918,1.0,0.67,TQQQ
2010-07-07,0.939840665818016,1.0,0.67,TQQQ
2010-07-08,0.9504640041633057,1.0,0.67,TQQQ
2010-07-09,0.9683068320034088,1.0,0.67,TQQQ
2010-07-12,0.9756740719452335,1.0,0.67,TQQQ
2010-07-13,0.9980021897151033,1.0,0.67,TQQQ
2010-07-14,1.0086982606670913,1.0,0.67,TQQQ
2010-07-15,1.0110570578575937,1.0,0.67,TQQQ
2010-07-16,0.9565361276485169,2.0,0.67,TQQQ
2010-07-19,0.9854449324965843,2.0,1.34,TQQQ
2010-07-20,1.0271626605281252,2.0,1.34,TQQQ
2010-07-21,0.978963418910194,2.0,1.34,TQQQ
2010-07-22,1.0674097744400173,2.0,1.34,TQQQ
2010-07-23,1.1046424820661334,2.0,1.34,TQQQ
2010-07-26,1.1371742033370917,2.0,1.34,TQQQ
2010-07-27,1.1368486108805331,2.0,1.34,TQQQ
2010-07-28,1.1057089589866076,2.0,1.34,TQQQ
2010-07-29,1.070420659102052,2.0,1.34,TQQQ
2010-07-30,1.080216056450603,2.0,1.34,TQQQ
2010-08-02,1.1580923862976402,2.0,1.34,TQQQ
2010-08-03,1.142050582366537,2.0,1.34,TQQQ
2010-08-04,1.1862530272794372,2.0,1.34,TQQQ
2010-08-05,1.1768691032239122,2.0,1.34,TQQQ
2010-08-06,1.1694730976019243,1.0,1.34,TQQQ
2010-08-09,1.1831735096727578,1.0,0.67,TQQQ
2010-08-10,1.1663681467371216,1.0,0.67,TQQQ
2010-08-11,1.1020419115046665,2.0,0.67,TQQQ
2010-08-12,1.0604199485830772,2.0,1.34,TQQQ
2010-08-13,1.0321117292707498,2.0,1.34,TQQQ
2010-08-16,1.03993029212365,2.0,1.34,TQQQ
2010-08-17,1.0929354370508462,2.0,1.34,TQQQ
2010-08-18,1.106095869683515,2.0,1.34,TQQQ
2010-08-19,1.051592058120242,2.0,1.34,TQQQ
2010-08-20,1.0467485831621441,2.0,1.34,TQQQ
2010-08-23,1.0080407103912101,2.0,1.34,TQQQ
2010-08-24,0.9305344955048312,3.0,1.34,TQQQ
2010-08-25,0.9863337237277717,3.0,2.0,TQQQ
2010-08-26,0.9219518486681874,3.0,2.0,TQQQ
2010-08-27,0.9829533473131165,3.0,2.0,TQQQ
2010-08-30,0.9192561008180775,3.0,2.0,TQQQ
2010-08-31,0.9101483731320831,3.0,2.0,TQQQ
2010-09-01,1.0627167932510013,2.0,2.0,TQQQ
2010-09-02,1.111585430124895,2.0,1.34,TQQQ
2010-09-03,1.1874525234827695,2.0,1.34,TQQQ
2010-09-07,1.1487172403133277,2.0,1.34,TQQQ
2010-09-08,1.2030846043247116,2.0,1.34,TQQQ
2010-09-09,1.2234815734229119,2.0,1.34,TQQQ
2010-09-10,1.2411255387072386,2.0,1.34,TQQQ
2010-09-13,1.3144368629469851,2.0,1.34,TQQQ
2010-09-14,1.3367456102315012,1.0,1.34,TQQQ
2010-09-15,1.3519548965968073,1.0,0.67,TQQQ
2010-09-16,1.364725831336198,1.0,0.67,TQQQ
2010-09-17,1.3744615136901333,1.0,0.67,TQQQ
2010-09-20,1.4224363914302383,1.0,0.67,TQQQ
2010-09-21,1.4194327792993489,1.0,0.67,TQQQ
2010-09-22,1.4149217572264217,1.0,0.67,TQQQ
2010-09-23,1.4120835526564446,1.0,0.67,TQQQ
2010-09-24,1.465658144109212,1.0,0.67,TQQQ
2010-09-27,1.454416774107063,1.0,0.67,TQQQ
2010-09-28,1.4568648144185732,1.0,0.67,TQQQ
2010-09-29,1.4490028828524737,1.0,0.67,TQQQ
2010-09-30,1.43585711543743,1.0,0.67,TQQQ
2010-10-01,1.432865874393669,1.0,0.67,TQQQ
2010-10-04,1.39956058792592,2.0,0.67,TQQQ
2010-10-05,1.539176171777717,2.0,1.34,TQQQ
2010-10-06,1.4866142434659597,2.0,1.34,TQQQ
2010-10-07,1.5061452301447125,2.0,1.34,TQQQ
2010-10-08,1.5468019097666754,2.0,1.34,TQQQ
2010-10-11,1.5510042056101052,2.0,1.34,TQQQ
2010-10-12,1.5941521139351076,2.0,1.34,TQQQ
2010-10-13,1.6460600703944175,2.0,1.34,TQQQ
2010-10-14,1.6338176500698143,2.0,1.34,TQQQ
2010-10-15,1.7734701926879963,1.0,1.34,TQQQ
2010-10-18,1.7734701926879963,1.0,0.67,TQQQ
2010-10-19,1.7262206149174129,1.0,0.67,TQQQ
2010-10-20,1.7502661722424242,1.0,0.67,TQQQ
2010-10-21,1.7584460420714163,1.0,0.67,TQQQ
2010-10-22,1.7814190555104337,1.0,0.67,TQQQ
2010-10-25,1.799529910312048,1.0,0.67,TQQQ
2010-10-26,1.8067567842068375,1.0,0.67,TQQQ
2010-10-27,1.8192179786743563,1.0,0.67,TQQQ
2010-10-28,1.8262196657610001,1.0,0.67,TQQQ
2010-10-29,1.8203472878235591,1.0,0.67,TQQQ
2010-11-01,1.8231503614747884,1.0,0.67,TQQQ
2010-11-02,1.8601750961915873,1.0,0.67,TQQQ
2010-11-03,1.8781850121490098,1.0,0.67,TQQQ
2010-11-04,1.9227725089320031,1.0,0.67,TQQQ
2010-11-05,1.9243151248880137,1.0,0.67,TQQQ
2010-11-08,1.9275872792546036,1.0,0.67,TQQQ
2010-11-09,1.9067075394089592,1.0,0.67,TQQQ
2010-11-10,1.9262391373858236,1.0,0.67,TQQQ
2010-11-11,1.904534315135619,1.0,0.67,TQQQ
2010-11-12,1.8396020003446973,2.0,0.67,TQQQ
2010-11-15,1.8132053594094217,2.0,1.34,TQQQ
2010-11-16,1.6926383463786634,2.0,1.34,TQQQ
2010-11-17,1.7140978582364281,2.0,1.34,TQQQ
2010-11-18,1.8208622579217633,2.0,1.34,TQQQ
2010-11-19,1.8266030483510312,2.0,1.34,TQQQ
2010-11-22,1.8911260774428555,2.0,1.34,TQQQ
2010-11-23,1.7714319942117724,2.0,1.34,TQQQ
2010-11-24,1.9100642610503233,2.0,1.34,TQQQ
2010-11-26,1.893958360857705,2.0,1.34,TQQQ
2010-11-29,1.858631843950675,2.0,1.34,TQQQ
2010-11-30,1.763950725853961,2.0,1.34,TQQQ
2010-12-01,1.914250481782352,2.0,1.34,TQQQ
2010-12-02,1.9921424764843165,2.0,1.34,TQQQ
2010-12-03,2.014459624021991,2.0,1.34,TQQQ
2010-12-06,2.0097184417680816,1.0,1.34,TQQQ
