date,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2010-06-29,BUY_EXTRA_1,TQQQ,2.0,0.1928,-11.95,,,,
2010-06-30,RESET_ON_ROTATION,,,0.4291,,TQQQ,SOXL,2.0,
2010-07-01,RESET_ON_ROTATION,,,0.1815,,SOXL,TQQQ,1.0,
2010-07-16,BUY_EXTRA_1,TQQQ,2.0,0.2035,-8.05,,,,
2010-08-06,SELL_EXTRAS,TQQQ,1.0,0.237,,,,2.0,extra shares max holding days 15
2010-08-11,BUY_EXTRA_1,TQQQ,2.0,0.2166,-10.18,,,,
2010-08-24,BUY_EXTRA_2,TQQQ,3.0,0.1912,-20.71,,,,
2010-09-01,SELL_EXTRAS,TQQQ,1.0,0.2053,,,,3.0,extra shares max holding days 15
2010-09-01,BUY_EXTRA_1,TQQQ,2.0,0.2053,-14.84,,,,
2010-09-14,SELL_EXTRAS,TQQQ,1.0,0.244,,,,2.0,extra shares profit >= 18%
2010-10-04,BUY_EXTRA_1,TQQQ,2.0,0.261,-6.68,,,,
2010-10-15,SELL_EXTRAS,TQQQ,1.0,0.312,,,,2.0,extra shares profit >= 18%
2010-11-12,BUY_EXTRA_1,TQQQ,2.0,0.329,-6.79,,,,
2010-12-06,SELL_EXTRAS,TQQQ,1.0,0.3525,,,,2.0,extra shares max holding days 15
2011-01-04,RESET_ON_ROTATION,,,0.7777,,TQQQ,SOXL,1.0,
2011-01-19,BUY_EXTRA_1,SOXL,2.0,0.9136,-8.06,,,,
2011-02-09,SELL_EXTRAS,SOXL,1.0,1.0255,,,,2.0,extra shares max holding days 15
2011-02-22,BUY_EXTRA_1,SOXL,2.0,0.9858,-12.93,,,,
2011-03-09,BUY_EXTRA_2,SOXL,3.0,0.8616,-23.9,,,,
2011-03-15,SELL_EXTRAS,SOXL,1.0,0.7847,,,,3.0,extra shares max holding days 15
2011-03-15,BUY_EXTRA_1,SOXL,2.0,0.7847,-30.69,,,,
2011-03-16,BUY_EXTRA_2,SOXL,3.0,0.734,-35.16,,,,
2011-04-04,RESET_ON_ROTATION,,,0.4192,,SOXL,TQQQ,3.0,
2011-04-18,BUY_EXTRA_1,TQQQ,2.0,0.3963,-5.46,,,,
2011-05-10,SELL_EXTRAS,TQQQ,1.0,0.46,,,,2.0,extra shares max holding days 15
2011-05-16,BUY_EXTRA_1,TQQQ,2.0,0.4189,-9.24,,,,
2011-06-07,SELL_EXTRAS,TQQQ,1.0,0.3826,,,,2.0,extra shares max holding days 15
2011-06-07,BUY_EXTRA_1,TQQQ,2.0,0.3826,-17.09,,,,
2011-06-09,RESET_ON_ROTATION,,,0.6983,,TQQQ,SOXL,2.0,
2011-06-10,RESET_ON_ROTATION,,,0.3588,,SOXL,TQQQ,1.0,
2011-06-15,BUY_EXTRA_1,TQQQ,2.0,0.352,-5.46,,,,
2011-07-01,SELL_EXTRAS,TQQQ,1.0,0.4269,,,,2.0,extra shares profit >= 18%
2011-07-11,BUY_EXTRA_1,TQQQ,2.0,0.4274,-6.15,,,,
2011-08-01,SELL_EXTRAS,TQQQ,1.0,0.4203,,,,2.0,extra shares max holding days 15
2011-08-01,BUY_EXTRA_1,TQQQ,2.0,0.4203,-9.27,,,,
2011-08-04,BUY_EXTRA_2,TQQQ,3.0,0.3443,-25.69,,,,
2011-08-08,RESET_ON_ROTATION,,,0.3519,,TQQQ,SOXL,3.0,
2011-08-09,RESET_ON_ROTATION,,,0.3155,,SOXL,TQQQ,1.0,
2011-08-10,BUY_EXTRA_1,TQQQ,2.0,0.2783,-11.79,,,,
2011-08-15,SELL_EXTRAS,TQQQ,1.0,0.3359,,,,2.0,extra shares profit >= 18%
2011-08-18,BUY_EXTRA_1,TQQQ,2.0,0.2753,-18.05,,,,
2011-08-19,BUY_EXTRA_2,TQQQ,3.0,0.2599,-22.64,,,,
2011-08-29,SELL_EXTRAS,TQQQ,1.0,0.3341,,,,3.0,extra shares profit >= 18%
2011-09-02,BUY_EXTRA_1,TQQQ,2.0,0.3098,-9.63,,,,
2011-09-16,SELL_EXTRAS,TQQQ,1.0,0.3702,,,,2.0,extra shares profit >= 18%
2011-09-21,BUY_EXTRA_1,TQQQ,2.0,0.3473,-6.43,,,,
2011-09-30,BUY_EXTRA_2,TQQQ,3.0,0.2938,-20.86,,,,
2011-10-12,SELL_EXTRAS,TQQQ,1.0,0.3641,,,,3.0,extra shares max holding days 15
2011-10-19,BUY_EXTRA_1,TQQQ,2.0,0.3674,-6.87,,,,
2011-11-09,SELL_EXTRAS,TQQQ,1.0,0.3613,,,,2.0,extra shares max holding days 15
2011-11-09,BUY_EXTRA_1,TQQQ,2.0,0.3613,-11.13,,,,
2011-11-21,BUY_EXTRA_2,TQQQ,3.0,0.3138,-22.81,,,,
2011-12-01,SELL_EXTRAS,TQQQ,1.0,0.3546,,,,3.0,extra shares max holding days 15
2011-12-01,BUY_EXTRA_1,TQQQ,2.0,0.3546,-12.77,,,,
2011-12-14,BUY_EXTRA_2,TQQQ,3.0,0.3194,-21.45,,,,
2011-12-22,SELL_EXTRAS,TQQQ,1.0,0.3335,,,,3.0,extra shares max holding days 15
2011-12-22,BUY_EXTRA_1,TQQQ,2.0,0.3335,-17.98,,,,
2012-01-17,SELL_EXTRAS,TQQQ,1.0,0.391,,,,2.0,extra shares max holding days 15
2012-03-06,BUY_EXTRA_1,TQQQ,2.0,0.4941,-6.18,,,,
2012-03-20,SELL_EXTRAS,TQQQ,1.0,0.5832,,,,2.0,extra shares profit >= 18%
2012-04-10,BUY_EXTRA_1,TQQQ,2.0,0.5557,-9.18,,,,
