signal_date,execution_date,execution_type,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2010-06-29,2010-06-29,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.1928,-11.95,,,,
2010-06-30,2010-06-30,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.4291,,TQQQ,SOXL,2.0,
2010-07-01,2010-07-01,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.1815,,SOXL,TQQQ,1.0,
2010-07-16,2010-07-16,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.2035,-8.05,,,,
2010-07-26,2010-07-26,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.2319,,,,2.0,extra shares profit >= 12%
2010-08-11,2010-08-11,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.2166,-10.18,,,,
2010-08-23,2010-08-23,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.2028,-15.89,,,,
2010-08-25,2010-08-25,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.1969,,,,3.0,extra shares max holding days 10
2010-08-25,2010-08-25,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.1969,-18.34,,,,
2010-08-26,2010-08-26,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.1905,-21.0,,,,
2010-09-03,2010-09-03,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.2232,,,,3.0,extra shares profit >= 12%
2010-09-03,2010-09-03,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.2232,-7.43,,,,
2010-09-16,2010-09-16,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.2516,,,,2.0,extra shares profit >= 12%
2010-10-04,2010-10-04,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.261,-6.68,,,,
2010-10-13,2010-10-13,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.2949,,,,2.0,extra shares profit >= 12%
2010-11-12,2010-11-12,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.329,-6.79,,,,
2010-11-29,2010-11-29,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3322,,,,2.0,extra shares max holding days 10
2010-11-29,2010-11-29,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3322,-5.89,,,,
2010-12-13,2010-12-13,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3613,,,,2.0,extra shares max holding days 10
2011-01-04,2011-01-04,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.7777,,TQQQ,SOXL,1.0,
2011-01-19,2011-01-19,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.9136,-8.06,,,,
2011-02-02,2011-02-02,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.9985,,,,2.0,extra shares max holding days 10
2011-02-22,2011-02-22,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.9858,-12.93,,,,
2011-02-23,2011-02-23,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,0.9329,-17.6,,,,
2011-03-08,2011-03-08,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.9459,,,,3.0,extra shares max holding days 10
2011-03-08,2011-03-08,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.9459,-16.45,,,,
2011-03-09,2011-03-09,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,0.8616,-23.9,,,,
2011-03-22,2011-03-22,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.7892,,,,3.0,extra shares max holding days 10
2011-03-22,2011-03-22,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.7892,-30.29,,,,
2011-03-23,2011-03-23,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,0.8106,-28.4,,,,
